Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Sigal Prishtina,"A. Bailey, A. Lomax, D. Burns, A. Morina, V. Kakruki","Sigal Prishtina|0,10,2,5,6",3,11.8,709.0,32,13,21,61.9,3,5,60.0,3,3,100.0,0,0,0,6,0,0,4,0,11,25.3,126.6,50.1,76.6,2.71,21
GO+Peja,"C. Williams, M. Mala, D. Bracey, C. Edwards, A. Hajdari","GO+Peja|21,4,55,7,9",2,11.1,664.0,24,10,21,47.6,3,8,37.5,1,1,100.0,0,0,0,6,0,0,5,0,25,25.4,94.6,122.1,-27.6,2.17,-1
Bashkimi,"M. Armstead, I. Cousins, D. Lake, L. Zeqiri, S. Shorter","Bashkimi|0,11,20,27,7",1,9.7,579.0,24,9,15,60.0,2,8,25.0,4,6,66.7,0,0,0,3,0,0,2,0,11,18.9,127.3,62.5,64.7,2.49,13
Rahoveci 029,"K. Pullian, V. Ejupi, J. Mccorrmick, F. Rugova, A. Thomas","Rahoveci 029|1,12,5,7,99",2,9.7,580.0,15,6,13,46.2,2,5,40.0,1,2,50.0,0,0,0,1,0,0,6,0,24,19.1,78.6,144.3,-65.7,1.55,-9
Rahoveci 029,"K. Pullian, B. Rexha, P. Weekes, F. Rugova, I. Umipig","Rahoveci 029|1,35,4,7,8",2,9.4,567.0,13,4,17,23.5,2,5,40.0,3,8,37.5,0,0,0,4,0,0,4,0,21,23.5,55.2,96.1,-40.9,1.38,-8
GO+Peja,"J. Johnson, D. Berisha, M. Armstead, A. Herndon, T. Green","GO+Peja|10,11,13,32,5",3,8.7,522.0,20,5,12,41.7,4,6,66.7,6,8,75.0,0,0,0,5,0,0,4,0,21,18.7,106.7,111.4,-4.7,2.3,-1
Bora,"A. Hunter, S. Jules, A. Hot, J. Zeqiri, R. Memedi","Bora|10,13,34,37,7",3,8.7,524.0,14,6,14,42.9,2,6,33.3,0,0,0,0,0,0,3,0,0,3,0,14,16.3,85.8,114.3,-28.5,1.6,0
Golden Eagle Ylli,"A. Çallakaj, B. Huffman, L. Thomas, T. Allen, G. Morina","Golden Eagle Ylli|10,16,24,25,6",3,8.5,511.0,17,7,11,63.6,2,5,40.0,1,2,50.0,0,0,0,6,0,0,5,0,16,16.2,104.9,98.0,6.9,2.0,1
Trepça,"C. Rusell, M. Amzil, J. Payne, D. Kapiti, B. Tuna","Trepça|2,23,3,35,7",1,8.3,498.0,17,5,11,45.5,3,5,60.0,4,4,100.0,0,0,0,1,0,0,1,0,12,13.2,128.7,84.7,44.0,2.05,5
Trepça,"D. Hajrizi, S. Jones, J. Payne, K. Hasbrouck, S. Henry","Trepça|12,21,3,41,5",1,8.1,488.0,12,2,6,33.3,1,4,25.0,7,8,87.5,0,0,0,2,0,0,6,0,12,14.9,80.5,79.3,1.2,1.48,0
