Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Vëllaznimi,"D. Wilson, J. Hellems, R. Dahsyla, S. Zekiqi, Y. Anei",8,4864,29.1,182,64,113,56.6,18,43,41.9,36,44,81.8,14,47,61,30,18,9,35,32,147,70.7,72.6,68.8,33.0,34.9,64.6,68.8,46.9,28,67.1,17.7,38.9,38.1,123.6,145,54,122,44.3,21,58,36.2,16,21,76.2,23,36,59,38,20,0,37,38,139,52.9,55.2,22,32.9,47.5,104,43,34,79.1,27,12,44.4,43,18,41.9,15,11,2,4,19.6,49,29,59.2,15,4,26.7,58,21,36.2,19,12,2,4,22,67,45,22,27,44
Rahoveci 029,"B. Rexha, F. Rugova, I. Umipig, J. Roche, K. Pullian",10,4292,36.3,133,56,126,44.4,18,59,30.5,3,6,50,23,47,70,28,17,6,27,29,127,69.5,71.2,67.9,33.7,35.4,51.6,51.7,50,32.9,67.1,14.7,4.8,46.8,104.4,120,43,111,38.7,15,47,31.9,19,26,73.1,23,47,70,30,13,5,27,20,121,45.5,49,18.1,32.9,42.3,98.9,46,28,60.9,21,10,47.6,59,18,30.5,9,8,2,4,5.6,40,20,50,24,8,33.3,47,15,31.9,17,7,2,1,30,35,19,22,27,20
Golden Eagle Ylli,"A. Çallakaj, B. Huffman, G. Morina, L. Thomas, T. Allen",6,3841,28.2,116,45,94,47.9,10,30,33.3,16,23,69.6,15,55,70,30,2,8,26,26,111,69.1,69.1,69.2,34.8,34.7,53.2,55.7,66.7,29.4,69.6,16.2,24.5,31.9,105,108,40,117,34.2,14,45,31.1,14,19,73.7,24,36,60,21,16,4,14,30,111,40.2,43.1,10,30.4,38.5,97.5,49,30,61.2,15,5,33.3,30,10,33.3,10,12,2,1,7.4,37,15,40.5,35,11,31.4,45,14,31.1,4,6,0,3,19,25,11,22,22,19
GO+Peja,"A. Herndon, D. Berisha, J. Johnson, M. Mala, T. Green",7,3422,30.4,101,37,94,39.4,15,48,31.2,12,19,63.2,14,38,52,25,6,3,23,21,107,73.6,75,72.1,32.0,33.3,47.3,49.3,67.6,23.7,67.9,15.3,20.2,51.1,94.5,111,45,100,45,11,40,27.5,10,14,71.4,18,45,63,25,10,3,19,23,103,50.5,52.3,15.2,32.1,40,107.9,37,20,54.1,9,2,22.2,48,15,31.2,13,5,0,3,-13.4,41,25,61,19,9,47.4,40,11,27.5,8,7,1,2,9,29,12,20,28,29
Trepça,"A. Vining, K. Hasbrouck, M. Amzil, M. Tmusic, S. Jones",8,3572,25.4,154,54,101,53.5,23,45,51.1,23,33,69.7,18,42,60,35,17,1,13,24,106,71.4,71.3,71.5,33.7,33.6,64.9,66.7,64.8,34.6,67.7,8,32.7,44.6,145.1,73,29,93,31.2,8,38,21.1,7,11,63.6,20,34,54,15,2,3,33,37,106,35.5,37.3,25.2,32.3,40.9,68.6,41,23,56.1,15,8,53.3,45,23,51.1,5,4,1,2,76.5,38,20,52.6,17,1,5.9,38,8,21.1,14,11,2,5,28,49,50,17,11,10
Sigal Prishtina,"A. Azemi, A. Bailey, D. Burns, D. Polloshka, K. Kramer",7,3607,11.7,129,46,92,50,12,35,34.3,25,36,69.4,18,36,54,33,10,6,20,27,105,68.4,70.2,66.7,34.2,36.0,56.5,59.8,71.7,38.3,70.6,12.4,39.1,38,122.3,116,43,90,47.8,11,34,32.4,19,26,73.1,15,29,44,25,12,3,18,29,100,53.9,57.2,15.1,29.4,37.8,115.7,44,29,65.9,13,5,38.5,35,12,34.3,11,5,1,2,6.6,39,25,64.1,17,7,41.2,34,11,32.4,6,7,2,2,33,20,26,9,22,25
Vëllaznimi,"J. Hellems, R. Dahsyla, S. Zekiqi, T. Todd, Z. Reid",6,3152,16.9,92,32,89,36,10,33,30.3,18,25,72,17,28,45,12,12,1,21,25,100,75.4,76,74.7,31.6,32.1,41.6,46,37.5,28.3,68.3,15.8,28.1,37.1,92.1,106,37,76,48.7,18,36,50,14,21,66.7,13,43,56,19,12,6,30,21,98,60.5,62.2,26,31.7,47.4,108,42,21,50,14,1,7.1,33,10,30.3,5,10,0,4,-15.9,30,17,56.7,10,2,20,36,18,50,13,11,3,3,12,17,23,11,21,25
Bora,"A. Hot, A. Hunter, L. Thomas, R. Memedi, S. Jules",6,3820,25.1,116,47,94,50,12,37,32.4,10,14,71.4,13,45,58,29,7,4,17,35,100,63.1,62.8,63.3,38.2,37.9,56.4,57.9,61.7,26.5,72.6,11.6,14.9,39.4,116,107,40,101,39.6,5,37,13.5,22,25,88,17,36,53,22,11,2,10,21,101,42.1,47.8,8.2,27.4,36.6,106.2,37,30,81.1,20,5,25,37,12,32.4,7,8,0,2,9.9,40,25,62.5,24,10,41.7,37,5,13.5,6,3,1,0,8,22,13,25,20,22
Rahoveci 029,"B. Rexha, F. Rugova, I. Umipig, K. Pullian, P. Weekes",5,3259,23.1,91,33,90,36.7,11,38,28.9,14,24,58.3,15,35,50,22,9,2,13,18,95,70.3,69.7,70.9,34.4,33.9,42.8,45.2,66.7,24.6,60.3,9.6,26.7,42.2,96.2,107,39,95,41.1,14,39,35.9,15,21,71.4,23,46,69,23,5,6,19,23,96,48.4,51.3,15.4,39.7,41.1,111.2,31,15,48.4,20,7,35,38,11,28.9,5,5,1,1,-15,34,17,50,22,8,36.4,39,14,35.9,6,9,0,3,15,27,15,22,22,7
Sigal Prishtina,"A. Azemi, A. Bailey, D. Burns, D. Lekndreaj, K. Kramer",4,2783,21.7,95,35,74,47.3,12,30,40,13,16,81.2,14,26,40,25,12,4,21,23,85,70.9,72.9,68.9,32.9,34.8,55.4,58.6,71.4,33.3,70.3,16.5,21.6,40.5,112.4,85,29,66,43.9,10,27,37,17,21,81,11,28,39,20,10,2,19,19,80,51.5,56.5,20.2,29.7,40.9,106.4,34,18,52.9,10,5,50,30,12,40,9,8,0,2,6,23,13,56.5,16,6,37.5,27,10,37,10,7,1,1,22,20,25,12,30,27
