Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",8,26.8,1608.0,55,18,45,40.0,6,19,31.6,13,19,68.4,0,0,0,9,0,0,6,0,70,57.0,96.5,119.8,-23.3,2.05,-15
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi","BKM Mimel Lučenec|11,13,3,7,8",6,16.7,1002.0,31,10,23,43.5,1,7,14.3,10,17,58.8,0,0,0,4,0,0,3,0,43,32.1,96.5,135.4,-39.0,1.86,-12
Spišskí Rytieri,"Juraj Páleník, Isaiah Malik Hill, Tomáš Mrviš, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|26,3,33,62,8",6,16.2,970.0,22,9,26,34.6,1,10,10.0,3,5,60.0,0,0,0,6,0,0,1,0,32,28.0,78.5,82.0,-3.5,1.36,-10
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Shaun Gregory Willett, Jalil Omar Beaubrun","BKM Mimel Lučenec|11,13,3,6,7",3,15.5,928.0,43,17,31,54.8,3,8,37.5,6,9,66.7,0,0,0,6,0,0,3,0,24,36.4,118.0,76.6,41.4,2.78,19
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Oleksandr Belikov, Jordan Lamont Jones, Lukáš Bolek","Nitra Blue Wings|0,11,13,4,77",5,15.3,916.0,35,11,23,47.8,1,5,20.0,12,13,92.3,0,0,0,3,0,0,5,0,24,32.4,108.1,71.1,37.0,2.29,11
Iskra Svit,"Sevon Marquise Witt, Róbert Rožánek, Tyrin Ja´Quain Atwood, Jasean Jatar Jackson, Samuel Thomas Hines Jr","Iskra Svit|1,17,24,7,8",3,13.6,815.0,25,9,22,40.9,1,6,16.7,6,9,66.7,0,0,0,3,0,0,4,0,15,28.8,86.9,47.5,39.4,1.84,10
BC Komárno,"Aaron Jamal Naseem Gray, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Tyler Terell Millin, Carrington Roderick Wiggins","BC Komárno|1,2,20,30,4",3,13.0,778.0,30,12,24,50.0,3,8,37.5,3,4,75.0,0,0,0,3,0,0,5,0,30,29.5,101.6,106.0,-4.4,2.31,0
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi","BKM Mimel Lučenec|0,13,3,7,8",3,11.5,690.0,34,12,17,70.6,4,7,57.1,6,6,100.0,0,0,0,4,0,0,5,0,17,23.7,143.7,71.9,71.9,2.96,17
Spišskí Rytieri,"Cameron Deshaun Jones, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|1,26,3,62,8",3,11.0,658.0,23,8,18,44.4,3,7,42.9,4,5,80.0,0,0,0,2,0,0,4,0,29,23.2,99.0,120.4,-21.4,2.1,-6
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Boris Bojanovský, William Glen Carius, Keith Andre Wesson Jr, Gabriel Jerome Dorsey","Patrioti Levice|0,15,25,5,7",3,10.3,619.0,20,7,16,43.8,2,6,33.3,4,7,57.1,0,0,0,0,0,0,5,0,18,23.1,86.5,80.8,5.7,1.94,2
