Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Spišskí Rytieri,"Juraj Páleník, Isaiah Malik Hill, Tomáš Mrviš, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|26,3,33,62,8",3,Isaiah Malik Hill,8,Caleb Jamerson Kenney,3,6,0,3,3,1.0,2.0
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Boris Bojanovský, William Glen Carius, Keith Andre Wesson Jr, Novak Musić","Patrioti Levice|0,15,25,5,8",0,Rickey Isaiah Justin Mc Gill,25,William Glen Carius,2,6,2,0,1,2.0,6.0
BC Prievidza,"Anderson Sage Tolbert Iii, Naje' Abdean Smith, Bonke Robert Maring, James Edward Bishop Iv, Noah Craig Reynolds","BC Prievidza|1,23,24,5,9",23,Naje' Abdean Smith,9,Noah Craig Reynolds,2,6,2,0,1,2.0,6.0
BC Prievidza,"Anderson Sage Tolbert Iii, Dávid Novák, Naje' Abdean Smith, Jaaden Allister Luke Lewis, Noah Craig Reynolds","BC Prievidza|1,10,23,55,9",9,Noah Craig Reynolds,55,Jaaden Allister Luke Lewis,2,5,1,1,1,2.0,5.0
BC Slovan Bratislava,"David Abrhám, Raynere Zynique Thornton, Shamiel Shawn Stevenson, Marko Radovanović, Lester Fezell Medford Jr","BC Slovan Bratislava|14,3,4,6,8",8,Lester Fezell Medford Jr,6,Marko Radovanović,2,5,1,1,1,2.0,5.0
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun","BKM Mimel Lučenec|0,11,13,3,7",0,Donavan Ashley Yap Jr,3,Eric Dean Lewis Boone Jr,2,5,1,1,2,1.0,2.5
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Shaun Gregory Willett, Jalil Omar Beaubrun","BKM Mimel Lučenec|11,13,3,6,7",3,Eric Dean Lewis Boone Jr,7,Jalil Omar Beaubrun,2,5,1,1,1,2.0,5.0
Iskra Svit,"Sevon Marquise Witt, Július Matušek, Róbert Rožánek, Jasean Jatar Jackson, Maishe Ramel Dailey","Iskra Svit|1,15,17,7,98",7,Jasean Jatar Jackson,15,Július Matušek,2,5,1,1,1,2.0,5.0
Iskra Svit,"Donavan Ashley Yap Jr, Július Matušek, Róbert Rožánek, Tyrin Ja´Quain Atwood, Jasean Jatar Jackson","Iskra Svit|0,15,17,24,7",24,Tyrin Ja´Quain Atwood,15,Július Matušek,2,5,1,1,1,2.0,5.0
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Omotayo Jordan Ogundiran, Tanner Matthew Stuckman, Keith Andre Wesson Jr, Gabriel Jerome Dorsey","Patrioti Levice|0,1,24,5,7",1,Omotayo Jordan Ogundiran,24,Tanner Matthew Stuckman,2,5,1,1,1,2.0,5.0
BC Slovan Bratislava,"David Abrhám, Milan Szabó, Shamiel Shawn Stevenson, Marko Radovanović, Lester Fezell Medford Jr","BC Slovan Bratislava|14,21,4,6,8",8,Lester Fezell Medford Jr,21,Milan Szabó,2,4,0,2,1,2.0,4.0
BC Komárno,"Aaron Jamal Naseem Gray, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Tyler Terell Millin, Carrington Roderick Wiggins","BC Komárno|1,2,20,30,4",1,Aaron Jamal Naseem Gray,30,Tyler Terell Millin,2,4,0,2,1,2.0,4.0
BC Komárno,"Aaron Jamal Naseem Gray, Kimani Esque Tyrone Lawrence, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Martin Pospišil","BC Komárno|1,14,2,20,7",2,Corey Kaydon Mckeithan,20,Elijah Gregory Ormiston,2,4,0,2,1,2.0,4.0
Iskra Svit,"Sevon Marquise Witt, Róbert Rožánek, Tyrin Ja´Quain Atwood, Avery Kordell Sullivan, Jasean Jatar Jackson","Iskra Svit|1,17,24,5,7",7,Jasean Jatar Jackson,1,Sevon Marquise Witt,2,4,0,2,1,2.0,4.0
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Shaun Gregory Willett, Jalil Omar Beaubrun","BKM Mimel Lučenec|11,13,3,6,7",7,Jalil Omar Beaubrun,6,Shaun Gregory Willett,2,4,0,2,1,2.0,4.0
MBK Baník Handlová,"Jordan Lamont Harris, Djimon Tyler Henson, Juraj Láštic, Jakub Petráš, Jeremy Lamar Mc Laughlin","MBK Baník Handlová|1,18,24,32,71",1,Jordan Lamont Harris,32,Jakub Petráš,2,4,0,2,1,2.0,4.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Adam Antoni, Isaiah Malik Hill, Tomáš Mrviš, Samuel Kincel","Spišskí Rytieri|11,16,3,33,42",3,Isaiah Malik Hill,11,Joshua Stephen Jefferson,1,3,1,0,1,1.0,3.0
MBK Baník Handlová,"Jovan Sljivancanin, Marko Gutalj, Deng Thowat Deang, Bryce Davien Mcbride, Nemanja Nikolič","MBK Baník Handlová|13,14,3,4,9",9,Nemanja Nikolič,4,Bryce Davien Mcbride,1,3,1,0,1,1.0,3.0
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Adam Monček, David Lee Early, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,10,32,33,4",4,Clarence Edward Rupert Iii,32,David Lee Early,1,3,1,0,1,1.0,3.0
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Todd Jacob Wolfe, David Lee Early, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,3,32,33,4",32,David Lee Early,3,Todd Jacob Wolfe,1,3,1,0,1,1.0,3.0
BC Prievidza,"Anderson Sage Tolbert Iii, Dávid Novák, Joseph Toussaint, Davontrey Shauni Zhmere Thomas, Noah Craig Reynolds","BC Prievidza|1,10,15,4,9",15,Joseph Toussaint,4,Davontrey Shauni Zhmere Thomas,1,3,1,0,1,1.0,3.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,11,Joshua Stephen Jefferson,1,3,1,0,1,1.0,3.0
Iskra Svit,"Róbert Rožánek, Šimon Turza, Messiah Jahnee - Jermain Mallory, Jasean Jatar Jackson, Nikola Petojevic","Iskra Svit|17,20,23,7,8",17,Róbert Rožánek,20,Šimon Turza,1,3,1,0,1,1.0,3.0
