Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney",22,12952,522,193,389,49.6,63,168,37.5,73,109,67,61,116,177,109,37,9,58,83,416,75.3,77.2,73.4,31.1,32.7,57.7,59.7,56.5,29.5,67.4,9.6,28,43.2,125.3,493,189,360,52.5,50,126,39.7,65,83,78.3,56,146,202,95,30,18,72,105,396,59.4,62.2,15.4,32.6,35,124.5,0.8,99,70,70.7,118,58,49.2,166,62,37.3,26,20,2,8,94,69,73.4,139,70,50.4,125,50,40,36,23,5,6
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi",15,8199,295,111,227,48.9,33,90,36.7,40,49,81.6,41,93,134,64,24,13,56,49,253,73.4,74.1,72.7,32.4,33.0,56.2,59.3,57.7,35,67.4,15.2,21.6,39.6,116.6,282,114,246,46.3,30,86,34.9,24,36,66.7,45,76,121,56,27,12,42,55,248,52.4,53.8,13.8,32.6,35,113.5,3.1,55,39,70.9,81,39,48.1,90,33,36.7,18,22,2,11,60,38,63.3,100,46,46,86,30,34.9,20,10,0,10
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi",14,7260,262,92,201,45.8,35,91,38.5,43,60,71.7,41,77,118,47,19,11,36,46,213,70.6,70.6,70.6,34.0,34.0,54.5,57.6,51.1,38.7,70.6,11.6,29.9,45.3,122.7,248,87,195,44.6,28,70,40,46,53,86.8,32,65,97,42,10,7,36,58,213,51.8,56.8,14.2,29.4,35.9,116.2,6.5,40,29,72.5,69,28,40.6,91,35,38.5,9,9,5,8,46,29,63,78,30,38.5,70,28,40,14,11,3,5
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek",19,6555,228,90,203,44.3,15,63,23.8,33,46,71.7,48,83,131,47,19,11,34,61,200,71.2,73.5,68.9,32.6,34.8,48,51.1,52.2,40.7,71.6,11.2,22.7,31,113.5,170,64,175,36.6,14,68,20.6,28,39,71.8,33,70,103,35,14,13,37,49,188,40.6,44.2,16.1,28.4,38.9,90.3,23.2,70,45,64.3,69,29,42,63,15,23.8,13,9,4,6,51,27,52.9,56,23,41.1,68,14,20.6,18,11,1,6
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Oleksandr Belikov, Jordan Lamont Jones, Lukáš Bolek",19,5123,194,63,138,45.7,15,44,34.1,53,68,77.9,23,60,83,31,18,5,32,44,169,79.9,79.6,80.2,30.2,29.9,51.1,57.8,49.2,28,66.7,13.9,49.3,31.9,114.2,186,67,147,45.6,17,58,29.3,35,60,58.3,30,59,89,31,12,8,35,49,171,51.4,53.6,16.8,33.3,39.5,108.6,5.6,47,28,59.6,47,20,42.6,44,15,34.1,17,4,1,6,48,33,68.8,41,17,41.5,58,17,29.3,11,15,0,5
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Samuel Kincel, Caleb Jamerson Kenney",17,4761,168,60,134,44.8,28,59,47.5,20,31,64.5,26,44,70,34,11,8,30,42,145,72.8,73.4,72.2,32.7,33.3,55.2,56.9,56.7,34.2,60.3,14.2,23.1,44,115.4,186,75,146,51.4,19,47,40.4,17,23,73.9,29,50,79,33,10,9,22,25,143,57.9,59.6,12.4,39.7,32.2,129.9,-14.5,44,25,56.8,31,7,22.6,59,28,47.5,12,8,1,7,47,30,63.8,52,26,50,47,19,40.4,9,7,2,3
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Boris Bojanovský, William Glen Carius, Keith Andre Wesson Jr, Gabriel Jerome Dorsey",7,4275,155,55,120,45.8,12,38,31.6,33,43,76.7,21,52,73,23,15,6,24,26,136,75.9,76.5,75.3,31.4,31.9,50.8,55.8,41.8,30,72.2,12.9,35.8,31.7,113.8,137,48,118,40.7,27,67,40.3,14,20,70,20,49,69,26,12,3,33,47,134,52.1,54,20.7,27.8,56.8,102.1,11.7,34,22,64.7,48,21,43.8,38,12,31.6,8,6,1,7,19,12,63.2,32,9,28.1,67,27,40.3,11,13,1,5
Iskra Svit,"Sevon Marquise Witt, Július Matušek, Róbert Rožánek, Tyrin Ja´Quain Atwood, Jasean Jatar Jackson",15,4201,147,53,124,42.7,17,48,35.4,24,34,70.6,27,44,71,31,12,8,25,30,131,72.9,75.1,70.6,32.0,34.0,49.6,52.9,58.5,36,69.8,12.8,27.4,38.7,111.8,122,48,111,43.2,9,38,23.7,17,20,85,19,48,67,23,14,7,28,33,123,47.3,50.9,18.9,30.2,34.2,98.7,13.1,31,16,51.6,45,20,44.4,48,17,35.4,7,9,1,5,26,18,69.2,47,21,44.7,38,9,23.7,13,6,3,4
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Todd Jacob Wolfe, David Lee Early, Filip Halada, Clarence Edward Rupert Iii",7,3940,127,43,98,43.9,11,34,32.4,30,44,68.2,16,39,55,32,14,3,24,16,120,72.7,73.3,72,32.7,33.3,49.5,54.1,74.4,25.8,58.2,13.8,44.9,34.7,105.5,119,47,112,42,10,39,25.6,15,23,65.2,28,46,74,29,13,6,29,36,118,46.4,48.7,19.2,41.8,34.8,100.7,4.8,32,21,65.6,32,11,34.4,34,11,32.4,8,12,1,3,33,15,45.5,40,22,55,39,10,25.6,10,8,4,5
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Oleksandr Belikov, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones",14,3962,150,58,115,50.4,13,34,38.2,21,32,65.6,22,42,64,29,13,6,18,40,120,72.7,72.7,72.6,33.0,33.0,56.1,58.1,50,37.9,79.2,10.2,27.8,29.6,124.9,139,49,101,48.5,20,45,44.4,21,27,77.8,11,36,47,32,10,1,23,30,119,58.4,61.6,16.9,20.8,44.6,115.9,9,43,28,65.1,36,15,41.7,34,13,38.2,6,9,1,1,31,16,51.6,24,12,50,45,20,44.4,10,8,0,3
