Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Joshua Stephen Jefferson, Juraj Páleník, Marko Stevanović",22,12952,69.7,522,193,389,49.6,63,168,37.5,73,109,67,61,116,177,109,37,9,58,83,417,75.3,77.2,73.4,31.1,32.7,57.7,59.7,56.5,29.5,67.4,9.6,28,43.2,125.3,493,189,360,52.5,50,126,39.7,65,83,78.3,56,146,202,95,30,18,72,105,396,59.4,62.2,15.4,32.6,35,124.5,99,70,70.7,118,58,49.2,166,62,37.3,26,20,2,8,0.8,94,69,73.4,139,70,50.4,125,50,40,36,23,5,6,71,116,85,68,130,59
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Tervell Tyshawn Beck",15,8199,70.7,295,111,227,48.9,33,90,36.7,40,49,81.6,41,93,134,64,24,13,56,49,253,73.4,74.1,72.7,32.4,33.0,56.2,59.3,57.7,35,67.4,15.2,21.6,39.6,116.6,282,114,246,46.3,30,86,34.9,24,36,66.7,45,76,121,56,27,12,42,55,248,52.4,53.8,13.8,32.6,35,113.5,55,39,70.9,81,39,48.1,90,33,36.7,18,22,2,11,3.1,60,38,63.3,100,46,46,86,30,34.9,20,10,0,10,44,84,51,22,78,60
BKM Mimel Lučenec,"Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Tervell Tyshawn Beck, Tevin Michael Smith",14,7260,26.2,262,92,201,45.8,35,91,38.5,43,60,71.7,41,77,118,47,19,11,36,46,214,70.6,70.6,70.6,34.0,34.0,54.5,57.6,51.1,38.7,70.6,11.6,29.9,45.3,122.7,248,87,195,44.6,28,70,40,46,53,86.8,32,65,97,42,10,7,36,58,213,51.8,56.8,14.2,29.4,35.9,116.2,40,29,72.5,69,28,40.6,91,35,38.5,9,9,5,8,6.5,46,29,63,78,30,38.5,70,28,40,14,11,3,5,54,64,51,29,63,43
Nitra Blue Wings,"Dimitrius Paul Underwood, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek, Tristan Ekong Ikpe",20,6661,34.3,233,92,206,44.7,15,63,23.8,34,47,72.3,49,85,134,47,20,11,35,62,204,71.2,73.6,68.9,32.6,34.8,48.3,51.4,51.1,41.2,71.4,11.3,22.8,30.6,114.1,170,64,178,36,14,68,20.6,28,39,71.8,34,70,104,35,14,13,38,50,191,39.9,43.6,16.3,28.6,38.2,88.9,72,47,65.3,70,29,41.4,63,15,23.8,13,10,4,6,25.2,51,27,52.9,59,23,39,68,14,20.6,18,12,1,6,50,72,43,16,45,21
Nitra Blue Wings,"Dimitrius Paul Underwood, Jordan Lamont Jones, Lukáš Bolek, Oleksandr Belikov, Tristan Ekong Ikpe",20,5309,7.9,195,63,144,43.8,15,47,31.9,54,70,77.1,26,62,88,31,18,5,32,47,174,78.8,78.5,79.2,30.6,30.3,49,55.8,49.2,29.5,67.4,13.5,48.6,32.6,112.3,188,68,150,45.3,17,60,28.3,35,60,58.3,30,62,92,32,12,9,36,52,175,51,53.3,16.9,32.6,40,107.4,48,28,58.3,49,20,40.8,47,15,31.9,17,4,1,6,5,48,33,68.8,42,18,42.9,60,17,28.3,11,16,0,5,30,55,46,47,49,30
Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Joshua Stephen Jefferson, Juraj Páleník, Samuel Kincel",17,4761,31.0,168,60,134,44.8,28,59,47.5,20,31,64.5,26,44,70,34,11,8,30,42,146,72.8,73.4,72.2,32.7,33.3,55.2,56.9,56.7,34.2,60.3,14.2,23.1,44,115.4,186,75,146,51.4,19,47,40.4,17,23,73.9,29,50,79,33,10,9,22,25,143,57.9,59.6,12.4,39.7,32.2,129.9,44,25,56.8,31,7,22.6,59,28,47.5,12,8,1,7,-14.5,47,30,63.8,52,26,50,47,19,40.4,9,7,2,3,28,59,34,32,38,34
Iskra Svit,"Jasean Jatar Jackson, Július Matušek, Róbert Rožánek, Sevon Marquise Witt, Tyrin Ja´Quain Atwood",16,4403,28.2,157,57,129,44.2,18,49,36.7,25,36,69.4,27,46,73,34,12,8,25,33,137,72.8,74.7,70.9,32.1,33.8,51.2,54.2,59.6,35.5,67.6,12.3,27.9,38,114.5,131,50,118,42.4,10,41,24.4,21,24,87.5,22,49,71,25,14,7,29,34,130,46.6,50.9,18.4,32.4,34.7,100.7,31,16,51.6,49,23,46.9,49,18,36.7,7,9,1,5,13.8,27,18,66.7,50,22,44,41,10,24.4,13,7,3,4,26,29,33,24,41,23
Patrioti Levice,"Boris Bojanovský, Gabriel Jerome Dorsey, Keith Andre Wesson Jr, Rickey Isaiah Justin Mc Gill, William Glen Carius",7,4275,28.2,155,55,120,45.8,12,38,31.6,33,43,76.7,21,52,73,23,15,6,24,26,136,75.9,76.5,75.3,31.4,31.9,50.8,55.8,41.8,30,72.2,12.9,35.8,31.7,113.8,137,48,118,40.7,27,67,40.3,14,20,70,20,49,69,26,12,3,33,47,134,52.1,54,20.7,27.8,56.8,102.1,34,22,64.7,48,21,43.8,38,12,31.6,8,6,1,7,11.7,19,12,63.2,32,9,28.1,67,27,40.3,11,13,1,5,29,50,24,21,35,30
Košice Wolves,"Clarence Edward Rupert Iii, David Lee Early, Derrick Deshaun Carter-Hollinger Iii, Filip Halada, Todd Jacob Wolfe",7,3940,20.7,127,43,98,43.9,11,34,32.4,30,44,68.2,16,39,55,32,14,3,24,16,120,72.7,73.3,72,32.7,33.3,49.5,54.1,74.4,25.8,58.2,13.8,44.9,34.7,105.5,119,47,112,42,10,39,25.6,15,23,65.2,28,46,74,29,13,6,29,36,118,46.4,48.7,19.2,41.8,34.8,100.7,32,21,65.6,32,11,34.4,34,11,32.4,8,12,1,3,4.8,33,15,45.5,40,22,55,39,10,25.6,10,8,4,5,20,35,30,33,25,26
Nitra Blue Wings,"Dimitrius Paul Underwood, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Oleksandr Belikov, Tristan Ekong Ikpe",14,3962,20.3,150,58,115,50.4,13,34,38.2,21,32,65.6,22,42,64,29,13,6,18,40,120,72.7,72.7,72.6,33.0,33.0,56.1,58.1,50,37.9,79.2,10.2,27.8,29.6,124.9,139,49,101,48.5,20,45,44.4,21,27,77.8,11,36,47,32,10,1,23,30,120,58.4,61.6,16.9,20.8,44.6,115.9,43,28,65.1,36,15,41.7,34,13,38.2,6,9,1,1,9,31,16,51.6,24,12,50,45,20,44.4,10,8,0,3,30,23,28,19,30,19
