Canonical,Team,Numbers,Variations
Jacob Nicholas Evans Iii,BC Slovan Bratislava,1,Jacob Nicholas Evans Iii
David Abrhám,BC Slovan Bratislava,14,David Abrhám
Tomáš Pavelka,BC Slovan Bratislava,20,Tomáš Pavelka
Viktor Kovačević,BC Slovan Bratislava,25,Viktor Kovačević
Maroš Golian,BC Slovan Bratislava,51,Maroš Golian
Matej Majerčák,BC Slovan Bratislava,5,Matej Majerčák
Marko Radovanović,BC Slovan Bratislava,6,Marko Radovanović
Lester Fezell Medford Jr,BC Slovan Bratislava,8,Lester Fezell Medford Jr
Róbert Hudec,BC Slovan Bratislava,9,Róbert Hudec
Ivan Židzik,BC Slovan Bratislava,19,Ivan Židzik
Milan Szabó,BC Slovan Bratislava,21,Milan Szabó
Maroš Zelizňák,BC Slovan Bratislava,11/33,Maroš Zelizňák
Donavan Ashley Yap Jr,BKM Lučenec,0,Donavan Ashley Yap Jr
Eric Dean Lewis Boone Jr,BKM Lučenec,3,Eric Dean Lewis Boone Jr
Jalil Omar Beaubrun,BKM Lučenec,7,Jalil Omar Beaubrun
Matej Siládi,BKM Lučenec,8,Matej Siládi
Atin Carl Wright,BKM Lučenec,10,Atin Carl Wright
Šimon Ďurian,BKM Lučenec,1/14,Šimon Ďurian
Matúš Skubeň,BKM Lučenec,0/4,Matúš Skubeň
Jayden Xavier Brown,BKM Lučenec,5,Jayden Xavier Brown
Greg Allen Gantt Jr,BKM Lučenec,11,Greg Allen Gantt Jr
Lukáš Kulčár,BKM Lučenec,34,Lukáš Kulčár
Sevon Marquise Witt,Iskra Svit,1,Sevon Marquise Witt; Sai Witt
Rocket Watts,Iskra Svit,2,Rocket Watts
Július Matušek,Iskra Svit,15,Július Matušek
Šimon Turza,Iskra Svit,20,Šimon Turza
Daniel Blaško,Iskra Svit,6,Daniel Blaško
Nikola Petojevic,Iskra Svit,8,Nikola Petojevic
Dávid Harabin,Iskra Svit,13,Dávid Harabin
Róbert Rožánek,Iskra Svit,17,Róbert Rožánek
Messiah Jahnee - Jermain Mallory,Iskra Svit,22/23,Messiah Jahnee - Jermain Mallory
Isaiah Malik Hill,Spišskí Rytieri,3,Isaiah Malik Hill
Caleb Jamerson Kenney,Spišskí Rytieri,8,Caleb Jamerson Kenney
Joshua Stephen Jefferson,Spišskí Rytieri,11,Joshua Stephen Jefferson
Josef John Fahrenholtz,Spišskí Rytieri,24,Josef John Fahrenholtz
Juraj Páleník,Spišskí Rytieri,26,Juraj Páleník
Dmytro Sokolovskyi,Spišskí Rytieri,1/17,Dmytro Sokolovskyi
Matej Zuščák,Spišskí Rytieri,12,Matej Zuščák
Adam Antoni,Spišskí Rytieri,16,Adam Antoni
Tomáš Mrviš,Spišskí Rytieri,33,Tomáš Mrviš
Samuel Kincel,Spišskí Rytieri,42,Samuel Kincel
Jan Balogáč,Spišskí Rytieri,78,Jan Balogáč
Austin Calvin Johnson,MBK Baník Handlová,0,Austin Calvin Johnson
Bryce Davien Mcbride,MBK Baník Handlová,4,Bryce Davien Mcbride
Jovan Sljivancanin,MBK Baník Handlová,13,Jovan Sljivancanin
Marko Gutalj,MBK Baník Handlová,14,Marko Gutalj
Juraj Láštic,MBK Baník Handlová,24,Juraj Láštic
Deng Thowat Deang,MBK Baník Handlová,3,Deng Thowat Deang
Peter Kováčik,MBK Baník Handlová,10,Peter Kováčik
Marko Vranský,MBK Baník Handlová,14/25,Marko Vranský
Jakub Petráš,MBK Baník Handlová,32,Jakub Petráš
Viliam Ďurečko,MBK Baník Handlová,74,Viliam Ďurečko
Jordan Lamont Jones,Nitra Blue Wings,4,Jordan Lamont Jones
Adam Galko,Nitra Blue Wings,6,Adam Galko
Oleksandr Belikov,Nitra Blue Wings,13/31,Oleksandr Belikov
Guy Evers Kennedy Ragland Jr,Nitra Blue Wings,19,Guy Evers Kennedy Ragland Jr
Lukáš Bolek,Nitra Blue Wings,3/77,Lukáš Bolek
Tristan Ekong Ikpe,Nitra Blue Wings,0,Tristan Ekong Ikpe
Martin Chlupis,Nitra Blue Wings,17/3,Martin Chlupis
Radoslav Teličák,Nitra Blue Wings,8,Radoslav Teličák
Dimitrius Paul Underwood,Nitra Blue Wings,11,Dimitrius Paul Underwood
Ladislav Gergely,Nitra Blue Wings,17,Ladislav Gergely
Ľubomír Urban,Nitra Blue Wings,30/33,Ľubomír Urban
Marek Foltín,Nitra Blue Wings,11/56,Marek Foltín
Derrick Deshaun Carter-Hollinger Iii,Košice Wolves,0,Derrick Deshaun Carter-Hollinger Iii
Todd Jacob Wolfe,Košice Wolves,3,Todd Jacob Wolfe
Clarence Edward Rupert Iii,Košice Wolves,4,Clarence Edward Rupert Iii
David Lee Early,Košice Wolves,32,David Lee Early
Filip Halada,Košice Wolves,33,Filip Halada
Matúš Makula,Košice Wolves,2,Matúš Makula
Róbert Seman,Košice Wolves,5,Róbert Seman
Alex Nagy,Košice Wolves,8,Alex Nagy
Adam Monček,Košice Wolves,10,Adam Monček
Samuel Petráš,Košice Wolves,13,Samuel Petráš
Michal Batka,Košice Wolves,14,Michal Batka
Oleksandr Peresunko,Košice Wolves,21,Oleksandr Peresunko
Rickey Isaiah Justin Mc Gill,Patrioti Levice,0,Rickey Isaiah Justin Mc Gill
Keith Andre Wesson Jr,Patrioti Levice,5,Keith Andre Wesson Jr
Gabriel Jerome Dorsey,Patrioti Levice,7,Gabriel Jerome Dorsey
Novak Music,Patrioti Levice,8,Novak Music
William Glen Carius,Patrioti Levice,25,William Glen Carius
Patrik Pažický,Patrioti Levice,3,Patrik Pažický
Daniel Chaban,Patrioti Levice,21,Daniel Chaban
Samuel Solčánsky,Patrioti Levice,31,Samuel Solčánsky
Alex Krajčovič,Patrioti Levice,47,Alex Krajčovič
Aatu Albert Kivimäki,Patrioti Levice,12,Aatu Albert Kivimäki
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray
Tyron Desean Henry,BC Komárno,3,Tyron Desean Henry
Samuel Volárik,BC Komárno,11,Samuel Volárik
Yuri Shamar Covington,BC Komárno,5,Yuri Shamar Covington
Martin Pospišil,BC Komárno,7,Martin Pospišil
Samuel Kalinay,BC Komárno,9,Samuel Kalinay
Martin Koller,BC Komárno,13,Martin Koller
Gergely Balogh,BC Komárno,17,Gergely Balogh
Elijah Gregory Ormiston,BC Komárno,20,Elijah Gregory Ormiston
Donavan Ashley Yap,BKM Mimel Lučenec,0,Donavan Ashley Yap
