Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Samuel Volárik, Tyler Terell Millin",9,39.3,26,11,15,73.3,2,5,40.0,2,2,100.0,1,6,7,1,1,0,3,5,17,0,26,2.9,35.6,139.6,95.0,44.7,80.0,81.9,9.1,15.1,8,8,100,2,1,50,5,2,40,2,1,0,0,2,10,10
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Tyler Terell Millin",9,39.0,14,4,8,50.0,1,4,25.0,5,8,62.5,2,5,7,3,3,1,0,4,9,4,18,2.0,21.3,106.6,113.3,-6.8,56.2,60.8,75.0,0.0,4,3,75,0,0,0,4,1,25,0,0,0,0,5,5,5
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Samuel Volárik, Tyler Terell Millin",5,31.5,14,5,8,62.5,2,3,66.7,2,2,100.0,1,5,6,3,2,1,0,3,8,0,14,2.8,24.0,113.1,93.9,19.2,75.0,78.8,60.0,0.0,5,3,60,0,0,0,3,2,66.7,0,0,0,0,4,3,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Kimani Esque Tyrone Lawrence, Martin Pospišil",3,21.1,9,3,4,75.0,1,2,50.0,2,2,100.0,1,4,5,0,1,1,0,0,4,0,9,3.0,19.8,121.0,105.9,15.0,87.5,92.2,0.0,0.0,0,0,0,2,2,100,2,1,50,0,0,0,0,0,2,4
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Kimani Esque Tyrone Lawrence, Samuel Volárik, Tyron Desean Henry",5,20.4,2,1,3,33.3,0,1,0.0,0,0,0,1,5,6,3,2,0,2,4,4,0,2,0.4,4.9,103.3,135.5,-32.2,33.3,33.3,300.0,25.0,2,1,50,0,0,0,1,0,0,0,0,0,1,2,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Samuel Volárik, Tyler Terell Millin",10,19.9,11,5,6,83.3,1,2,50.0,0,0,0,0,5,5,0,0,0,0,3,6,0,11,1.1,27.8,78.2,98.8,-20.6,91.7,91.7,0.0,0.0,4,4,100,0,0,0,2,1,50,0,0,0,0,0,7,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Martin Pospišil, Samuel Volárik",6,18.9,11,3,4,75.0,1,1,100.0,4,4,100.0,1,2,3,1,0,0,0,0,5,0,11,1.8,33.7,125.5,116.0,9.5,87.5,95.5,33.3,0.0,2,2,100,1,0,0,1,1,100,0,0,0,0,0,8,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Kimani Esque Tyrone Lawrence, Samuel Volárik",3,18.6,12,5,7,71.4,0,1,0.0,2,2,100.0,2,2,4,0,1,0,1,0,7,0,12,4.0,32.3,124.0,103.4,20.6,71.4,76.1,0.0,11.3,1,1,100,5,4,80,1,0,0,0,1,0,0,2,8,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Kimani Esque Tyrone Lawrence, Martin Koller",2,17.5,2,0,5,0.0,0,4,0.0,2,2,100.0,0,3,3,2,1,0,1,3,7,2,4,2.0,11.3,76.5,98.9,-22.4,0.0,17.0,0,11.3,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Martin Pospišil, Tyler Terell Millin",5,16.4,9,3,4,75.0,0,0,0,3,3,100.0,2,3,5,3,2,0,0,0,3,0,9,1.8,28.8,102.3,78.4,23.8,75.0,84.6,100.0,0.0,3,3,100,1,0,0,0,0,0,0,0,0,0,2,6,4
