Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
GO+Peja,"J. Johnson, D. Berisha, M. Armstead, A. Herndon, T. Green","GO+Peja|10,11,13,32,5",10,J. Johnson,11,D. Berisha,3,9,3,0,1,3.0,9.0
Golden Eagle Ylli,"A. Çallakaj, B. Huffman, L. Thomas, T. Allen, G. Morina","Golden Eagle Ylli|10,16,24,25,6",25,T. Allen,6,G. Morina,2,6,2,0,1,2.0,6.0
Vëllaznimi,"Z. Reid, L. Colimerio, J. Ismajli, R. Dahsyla, M. Warrick","Vëllaznimi|1,23,3,55,6",23,L. Colimerio,6,M. Warrick,2,6,2,0,2,1.0,3.0
Golden Eagle Ylli,"J. Gray, D. Sabeckis, S. Bamforth, E. Kastrati, T. Smith","Golden Eagle Ylli|0,12,2,28,55",2,S. Bamforth,55,T. Smith,3,6,0,3,1,3.0,6.0
Vëllaznimi,"Z. Reid, Y. Anei, J. Ismajli, R. Dahsyla, M. Warrick","Vëllaznimi|1,10,3,55,6",6,M. Warrick,55,R. Dahsyla,2,5,1,1,1,2.0,5.0
Sigal Prishtina,"A. Bailey, A. Azemi, D. Haxhosaj, D. Burns, T. Vissariou","Sigal Prishtina|0,1,12,2,7",2,D. Burns,0,A. Bailey,2,5,1,1,1,2.0,5.0
GO+Peja,"J. Johnson, M. Mala, T. Green, C. Edwards, A. Hajdari","GO+Peja|10,4,5,7,9",10,J. Johnson,5,T. Green,2,5,1,1,1,2.0,5.0
Rahoveci 029,"K. Pullian, K. Ujkani, J. Johnson, B. Rexha, A. Thomas","Rahoveci 029|1,24,25,35,99",1,K. Pullian,35,B. Rexha,2,5,1,1,1,2.0,5.0
GO+ Peja,"J. Johnson, D. Berisha, M. Armstread, T. Green, C. Edwards","GO+ Peja|10,11,13,5,7",10,J. Johnson,7,C. Edwards,2,4,0,2,1,2.0,4.0
Golden Eagle Ylli,"A. Çallakaj, B. Huffman, L. Thomas, T. Allen, G. Morina","Golden Eagle Ylli|10,16,24,25,6",6,G. Morina,16,B. Huffman,2,4,0,2,1,2.0,4.0
Bashkimi,"I. Cousins, L. Zeqiri, T. Bickerstaff, K. Anderson, V. Bunjaku","Bashkimi|11,27,3,5,6",5,K. Anderson,3,T. Bickerstaff,2,4,0,2,1,2.0,4.0
Bashkimi,"M. Armstead, I. Cousins, D. Lake, L. Zeqiri, S. Shorter","Bashkimi|0,11,20,27,7",0,M. Armstead,20,D. Lake,2,4,0,2,1,2.0,4.0
GO+Peja,"S. Llapi, S. Flatten, A. Herndon, O. Williams, A. Hajdari","GO+Peja|0,1,32,8,9",8,O. Williams,32,A. Herndon,2,4,0,2,1,2.0,4.0
Sigal Prishtina,"A. Bailey, A. Lomax, D. Burns, A. Morina, V. Kakruki","Sigal Prishtina|0,10,2,5,6",0,A. Bailey,2,D. Burns,2,4,0,2,1,2.0,4.0
GO+ Peja,"J. Johnson, D. Berisha, M. Armstread, T. Green, C. Edwards","GO+ Peja|10,11,13,5,7",13,M. Armstread,10,J. Johnson,1,3,1,0,1,1.0,3.0
Golden Eagle Ylli,"L. Shoshi, J. Reece, L. Thomas, T. Allen, E. Kastrati","Golden Eagle Ylli|1,20,24,25,28",24,L. Thomas,25,T. Allen,1,3,1,0,1,1.0,3.0
Bashkimi,"J. Palokaj, I. Cousins, D. Lake, L. Zeqiri, K. Anderson","Bashkimi|0,11,20,27,5",5,K. Anderson,27,L. Zeqiri,1,3,1,0,1,1.0,3.0
GO+Peja,"S. Flatten, M. Armstead, A. Herndon, T. Green, A. Hajdari","GO+Peja|1,13,32,5,9",13,M. Armstead,13,M. Armstead,1,3,1,0,1,1.0,3.0
GO+Peja,"J. Johnson, D. Berisha, M. Armstead, A. Herndon, T. Green","GO+Peja|10,11,13,32,5",13,M. Armstead,10,J. Johnson,1,3,1,0,1,1.0,3.0
Vëllaznimi,"Z. Reid, L. Colimerio, J. Ismajli, R. Dahsyla, M. Warrick","Vëllaznimi|1,23,3,55,6",55,R. Dahsyla,1,Z. Reid,1,3,1,0,1,1.0,3.0
Rahoveci 029,"J. Jones, B. Rexha, P. Weekes, F. Rugova, I. Umipig","Rahoveci 029|30,35,4,7,8",7,F. Rugova,8,I. Umipig,1,3,1,0,1,1.0,3.0
Bora,"T. Jackson, D. Taylor, J. Zeqiri, G. Singleton, R. Memedi","Bora|15,21,37,5,7",21,D. Taylor,7,R. Memedi,1,3,1,0,1,1.0,3.0
Trepça,"C. Rusell, M. Amzil, J. Payne, D. Kapiti, B. Tuna","Trepça|2,23,3,35,7",3,J. Payne,7,B. Tuna,1,3,1,0,1,1.0,3.0
Rahoveci 029,"K. Pullian, E. Peci, P. Weekes, F. Rugova, I. Umipig","Rahoveci 029|1,2,4,7,8",1,K. Pullian,2,E. Peci,1,3,1,0,1,1.0,3.0
Vëllaznimi,"Z. Reid, Y. Anei, A. Koshi, R. Dahsyla, M. Warrick","Vëllaznimi|1,10,11,55,6",6,M. Warrick,1,Z. Reid,1,3,1,0,1,1.0,3.0
Sigal Prishtina,"A. Bailey, A. Azemi, D. Burns, L. Autrey, D. Polloshka","Sigal Prishtina|0,1,2,24,44",24,L. Autrey,1,A. Azemi,1,3,1,0,1,1.0,3.0
GO+Peja,"S. Flatten, J. Johnson, M. Armstead, C. Edwards, A. Hajdari","GO+Peja|1,10,13,7,9",1,S. Flatten,9,A. Hajdari,1,3,1,0,1,1.0,3.0
Bashkimi,"J. Palokaj, I. Cousins, D. Lake, L. Zeqiri, K. Anderson","Bashkimi|0,11,20,27,5",11,I. Cousins,27,L. Zeqiri,1,3,1,0,1,1.0,3.0
GO+Peja,"J. Johnson, D. Berisha, M. Armstead, T. Green, C. Edwards","GO+Peja|10,11,13,5,7",10,J. Johnson,5,T. Green,1,3,1,0,1,1.0,3.0
Trepça,"M. Tmusic, D. Hajrizi, C. Brown, J. Payne, B. Tuna","Trepça|11,12,22,3,7",3,J. Payne,12,D. Hajrizi,1,3,1,0,1,1.0,3.0
