Canonical,Team,Numbers,Variations
Z. Ried,Vëllaznimi,1,Z. Ried
A. Bedra,Vëllaznimi,2,A. Bedra
J. Ismajli,Vëllaznimi,3/6,J. Ismajli
A. Koshi,Vëllaznimi,11/21,A. Koshi
R. Dahsyla,Vëllaznimi,25/55,R. Dahsyla
U. Ahmeti,Vëllaznimi,0,U. Ahmeti
O. Dylazeka,Vëllaznimi,7,O. Dylazeka
D. Dedushaj,Vëllaznimi,10/25,D. Dedushaj
S. Zekiqi,Vëllaznimi,11/21,S. Zekiqi
E. Cingu,Vëllaznimi,56,E. Cingu
J. Palokaj,Bashkimi,0,J. Palokaj
T. Brickerstaff,Bashkimi,3,T. Brickerstaff
K. Anderson,Bashkimi,5,K. Anderson
I. Cousins,Bashkimi,11,I. Cousins
L. Zeqiri,Bashkimi,27,L. Zeqiri
A. Morina,Bashkimi,1/5,A. Morina
J. Bailey,Bashkimi,4,J. Bailey
V. Bunjaku,Bashkimi,6,V. Bunjaku
B. Bytyqi,Bashkimi,10,B. Bytyqi
V. Gjeçaj,Bashkimi,13,V. Gjeçaj
D. Lake,Bashkimi,20,D. Lake
M. Ismaili,Bashkimi,22,M. Ismaili
C. Russell,Trepça,2,C. Russell
J. Payne,Trepça,3,J. Payne
M. Tmusic,Trepça,11,M. Tmusic
S. Jones,Trepça,21,S. Jones
C. Brown,Trepça,22,C. Brown
A. Gashi,Trepça,0/5/6,A. Gashi
A. Arslanagic,Trepça,4,A. Arslanagic
B. Tuna,Trepça,7,B. Tuna
E. Asllani,Trepça,10,E. Asllani
D. Hajrizi,Trepça,12,D. Hajrizi
M. Amzil,Trepça,23,M. Amzil
D. Kapiti,Trepça,35,D. Kapiti
M. Mala,GO+ Peja,4,M. Mala
T. Green,GO+ Peja,5,T. Green
J. Johnson,GO+ Peja,0/10/25/30,J. Johnson
D. Berisha,GO+ Peja,11,D. Berisha
A. Herndon,GO+ Peja,32,A. Herndon
C. Edwards,GO+ Peja,7,C. Edwards
A. Hajdari,GO+ Peja,9,A. Hajdari
M. Armstread,GO+ Peja,13,M. Armstread
D. Ademaj,GO+ Peja,2/21/22,D. Ademaj
O. Sallabegolli,GO+ Peja,23,O. Sallabegolli
S. Nila,GO+ Peja,30/66,S. Nila
L. Basic,Golden Eagle Ylli,4,L. Basic
G. Morina,Golden Eagle Ylli,6,G. Morina
B. Huffman,Golden Eagle Ylli,16,B. Huffman
T. Allen,Golden Eagle Ylli,25/3,T. Allen
E. Kastrati,Golden Eagle Ylli,28,E. Kastrati
L. Shoshi,Golden Eagle Ylli,1,L. Shoshi
A. Shala,Golden Eagle Ylli,7,A. Shala
A. Qallaku,Golden Eagle Ylli,10,A. Qallaku
S. Ahmeti,Golden Eagle Ylli,15,S. Ahmeti
J. Reece,Golden Eagle Ylli,20,J. Reece
L. Thomas,Golden Eagle Ylli,24,L. Thomas
A. Azemi,Sigal Prishtina,1,A. Azemi
D. Burns,Sigal Prishtina,2,D. Burns
M. Janjeva,Sigal Prishtina,23,M. Janjeva
L. Autrey,Sigal Prishtina,24,L. Autrey
K. Kramer,Sigal Prishtina,33,K. Kramer
A. Bailey,Sigal Prishtina,0,A. Bailey
V. Kakruki,Sigal Prishtina,6,V. Kakruki
L. Zeneli,Sigal Prishtina,14,L. Zeneli
A. Ibishi,Sigal Prishtina,16,A. Ibishi
M. Syla,Sigal Prishtina,27,M. Syla
B. Istrefi,Sigal Prishtina,34,B. Istrefi
D. Polloshka,Sigal Prishtina,44,D. Polloshka
G. Singleton,Bora,5,G. Singleton
R. Ukaj,Bora,6,R. Ukaj
R. Memedi,Bora,7,R. Memedi
T. Jackson,Bora,15,T. Jackson
A. Mekic,Bora,22,A. Mekic
Y. Pllana,Bora,8,Y. Pllana
G. Zeqiri,Bora,9,G. Zeqiri
O. Kurtaj,Bora,11,O. Kurtaj
S. Jules,Bora,13,S. Jules
R. Sylejmani,Bora,23,R. Sylejmani
J. Zeqiri,Bora,37,J. Zeqiri
K. Pullian,Rahoveci 029,1,K. Pullian
P. Weeks,Rahoveci 029,4,P. Weeks
F. Rugova,Rahoveci 029,7,F. Rugova
I. Umipig,Rahoveci 029,8,I. Umipig
B. Rexha,Rahoveci 029,35,B. Rexha
E. Ross,Rahoveci 029,0,E. Ross
E. Peci,Rahoveci 029,2,E. Peci
A. Berisha,Rahoveci 029,3,A. Berisha
H. Durguti,Rahoveci 029,11,H. Durguti
V. Ejupi,Rahoveci 029,12,V. Ejupi
K. Ujkani,Rahoveci 029,24,K. Ujkani
J. Baily,Bashkimi,4,J. Baily
T. Bickerstaff,Bashkimi,3,T. Bickerstaff
V. Gjecaj,Bashkimi,13,V. Gjecaj
P. Weekes,Rahoveci 029,4,P. Weekes
J. Jones,Rahoveci 029,30,J. Jones
D. Lekndreaj,Sigal Prishtina,13,D. Lekndreaj
D. Haxhosaj,Sigal Prishtina,12,D. Haxhosaj
R. Memed,Bora,7,R. Memed
A. Hot,Bora,34,A. Hot
S. Flatten,GO+Peja,1,S. Flatten
M. Armstead,GO+Peja,0/13,M. Armstead
A. Çallakaj,Golden Eagle Ylli,10,A. Çallakaj
M. Warrick,Vëllaznimi,3/6,M. Warrick
Y. Anei,Vëllaznimi,10,Y. Anei
L. Colimerio,Vëllaznimi,23,L. Colimerio
V. Haliti,Trepça,1,V. Haliti
B. Zekiqi,Trepça,8,B. Zekiqi
C. Rusell,Trepça,2,C. Rusell
Z. Reid,Vëllaznimi,1,Z. Reid
D. Taylor,Bora,21,D. Taylor
H. Lebovci,Bora,35,H. Lebovci
S. Flateen,GO+Peja,1,S. Flateen
S. Llapi,GO+Peja,0,S. Llapi
D. Morris,GO+Peja,2,D. Morris
J. Hoxha,GO+Peja,23,J. Hoxha
J. Roche,Rahoveci 029,0/15,J. Roche
K. Ezeagu,Vëllaznimi,4,K. Ezeagu
F. Jashari,Bashkimi,2,F. Jashari
E. Hasanaj,GO+Peja,22/24,E. Hasanaj
Z. Ride,Vëllaznimi,1,Z. Ride
T. Cheese,Bora,4,T. Cheese
T. Chese,Bora,4,T. Chese
N. Sylka,Rahoveci 029,11/30,N. Sylka
A. Scott,Golden Eagle Ylli,12,A. Scott
E. Williams Jr,Sigal Prishtina,50,E. Williams Jr
J. Hellems,Vëllaznimi,9,J. Hellems
S. Henry,Trepça,5,S. Henry
T. Vissariou,Sigal Prishtina,7,T. Vissariou
A. Patty,Rahoveci 029,30/32,A. Patty
A. Hunter,Bora,10,A. Hunter
C. Payton Jr,Bora,1,C. Payton Jr
C. Payton,Bora,1,C. Payton
T. Vissarious,Sigal Prishtina,7,T. Vissarious
T. Todd,Vëllaznimi,6,T. Todd
A. Hhajdari,GO+Peja,9,A. Hhajdari
A. Bojku,GO+Peja,23,A. Bojku
I. Nwamu,Bashkimi,8,I. Nwamu
E. Haxhimurati,Rahoveci 029,30,E. Haxhimurati
K. Hasbrouck,Trepça,41,K. Hasbrouck
A. Gordon,Vëllaznimi,3,A. Gordon
V. Bunajku,Bashkimi,6,V. Bunajku
S. Shorter,Bashkimi,7,S. Shorter
S. Bamforth,Golden Eagle Ylli,2,S. Bamforth
D. Hall,Golden Eagle Ylli,0,D. Hall
J. Jonson,Rahoveci 029,25,J. Jonson
A. Thomas,Rahoveci 029,99,A. Thomas
K. Dukes,Sigal Prishtina,10,K. Dukes
E. Clarance,Sigal Prishtina,8,E. Clarance
L. Loxha,Sigal Prishtina,16,L. Loxha
N. Zuka,Sigal Prishtina,27,N. Zuka
D. Wilson,Vëllaznimi,5,D. Wilson
A. Rushiti,Vëllaznimi,4,A. Rushiti
F. Shoshaj,Peja,3,F. Shoshaj
A. Vining,Trepça,4,A. Vining
O. Williams,GO+Peja,8,O. Williams
A. Sinani,Sigal Prishtina,15,A. Sinani
M. Cena,Rahoveci 029,30,M. Cena
E. Clarence,Sigal Prishtina,8,E. Clarence
L. Routt,GO+Peja,31,L. Routt
D. Thomas,Golden Eagle Ylli,8,D. Thomas
J. Gray,Golden Eagle Ylli,0,J. Gray
D. Conger,Golden Eagle Ylli,3,D. Conger
K. Wooten,Bashkimi,1,K. Wooten
J. Mccormick,Rahoveci 029,5,J. Mccormick
N. Mccloud,Rahoveci 029,4,N. Mccloud
G. Hoti,Sigal Prishtina,13/16/24,G. Hoti
J. Nzeakor,Bashkimi,32,J. Nzeakor
A. Lomax,Sigal Prishtina,10,A. Lomax
