# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 191
# Qualified players exported: 93
# Total stints used: 2862
# Garbage time stints excluded: 78
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Trepça,41,K. Hasbrouck,689,3.94,4.5,8.44
Bora,4,T. Cheese,716,2.19,2.6,4.79
Trepça,21,S. Jones,765,1.89,2.88,4.77
Trepça,23,M. Amzil,946,1.26,3.0,4.26
Bora,7,R. Memedi,767,2.6,1.64,4.24
Bora,10,A. Hunter,985,3.8,0.44,4.24
Trepça,7,B. Tuna,642,2.82,0.97,3.79
Bashkimi,27,L. Zeqiri,1281,1.75,1.51,3.25
Sigal Prishtina,0,A. Bailey,1430,0.84,2.38,3.22
Bashkimi,0,M. Armstead,347,1.01,1.84,2.85
Golden Eagle Ylli,2,S. Bamforth,693,1.99,0.85,2.84
Rahoveci 029,11,H. Durguti,328,1.58,1.19,2.77
Bashkimi,0,J. Palokaj,362,2.48,0.25,2.73
Vëllaznimi,23,L. Colimerio,457,0.85,1.86,2.71
Bashkimi,20,D. Lake,928,0.43,2.11,2.54
GO+Peja,32,A. Herndon,540,2.27,0.24,2.51
Trepça,11,M. Tmusic,1199,0.89,1.52,2.41
Trepça,22,C. Brown,368,2.19,-0.03,2.16
Sigal Prishtina,2,D. Burns,1110,1.09,1.04,2.13
Vëllaznimi,6,T. Todd,359,-2.1,4.22,2.12
Rahoveci 029,8,I. Umipig,928,1.51,0.61,2.12
Vëllaznimi,25,R. Dahsyla,1128,2.02,-0.32,1.7
Sigal Prishtina,10,A. Lomax,265,0.78,0.9,1.67
Bashkimi,11,I. Cousins,901,1.39,0.19,1.59
Golden Eagle Ylli,16,B. Huffman,631,-1.35,2.8,1.45
Bashkimi,8,I. Nwamu,625,-0.55,1.96,1.41
Golden Eagle Ylli,28,E. Kastrati,977,1.36,0.02,1.38
Rahoveci 029,5,J. Mccorrmick,276,1.73,-0.39,1.35
Trepça,3,J. Payne,1026,1.26,0.05,1.31
Trepça,4,A. Vining,436,2.26,-1.01,1.25
Golden Eagle Ylli,10,A. Çallakaj,639,-2.74,3.9,1.16
GO+Peja,10,J. Johnson,777,1.55,-0.48,1.07
Golden Eagle Ylli,1,L. Shoshi,783,-2.01,2.98,0.96
Sigal Prishtina,6,V. Kakruki,592,-0.6,1.44,0.85
GO+Peja,7,C. Edwards,949,0.47,0.28,0.75
GO+Peja,5,T. Green,892,0.01,0.67,0.69
Vëllaznimi,10,Y. Anei,756,1.68,-1.1,0.57
Bashkimi,7,S. Shorter,574,1.1,-0.63,0.47
Rahoveci 029,35,B. Rexha,869,-0.15,0.58,0.43
Bora,6,R. Ukaj,477,-1.95,2.36,0.42
Vëllaznimi,9,J. Hellems,1096,-0.45,0.72,0.27
Bashkimi,5,K. Anderson,880,0.16,0.03,0.2
GO+Peja,9,A. Hajdari,740,-0.68,0.8,0.12
Vëllaznimi,3,M. Warrick,524,2.06,-2.14,-0.09
Bashkimi,6,V. Bunjaku,748,-0.69,0.55,-0.15
Trepça,12,D. Hajrizi,787,0.73,-0.94,-0.21
Rahoveci 029,7,F. Rugova,1386,-0.26,0.0,-0.26
Vëllaznimi,3,A. Gordon,341,-1.18,0.86,-0.32
Sigal Prishtina,13,D. Lekndreaj,262,0.09,-0.44,-0.35
Golden Eagle Ylli,24,L. Thomas,384,-1.39,0.97,-0.42
Trepça,5,S. Henry,523,0.39,-0.86,-0.48
Golden Eagle Ylli,25,T. Allen,934,1.28,-1.9,-0.62
Sigal Prishtina,24,L. Autrey,300,1.33,-1.96,-0.63
GO+Peja,1,S. Flatten,560,0.03,-0.74,-0.71
Trepça,4,A. Arslanagic,391,-0.49,-0.24,-0.73
GO+Peja,3,F. Shoshaj,300,-2.99,2.25,-0.74
Vëllaznimi,5,D. Wilson,632,-0.31,-0.46,-0.76
GO+Peja,4,M. Mala,1138,0.59,-1.5,-0.92
GO+Peja,11,D. Berisha,572,0.44,-1.41,-0.98
GO+Peja,0,S. Llapi,268,-1.59,0.53,-1.06
Golden Eagle Ylli,4,L. Basic,381,-2.23,1.1,-1.13
