Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Sigal Prishtina,A. Bailey,00,A. Bailey,24,32.3,774.9,421.0,17.5,141.0,284.0,49.6,39.0,108.0,36.1,100.0,147.0,68,35.0,112.0,147.0,29.0,34.0,21.0,62.0,71.0,360.7,25.7,30.0,2.1,10.5,0,421.0,17.5,30.0,22,1.7,20,8,46.8,29.5,13,1.45,-1.72,3.17,4.2,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahoveci 029,K. Pullian,1,K. Pullian,24,32.3,774.3,395.0,16.5,142.0,363.0,39.1,41.0,150.0,27.3,70.0,103.0,68,33.0,85.0,118.0,131.0,39.0,6.0,76.0,56.0,433.3,30.3,27.7,9.2,8.3,28,423.0,17.6,29.7,45,4.5,42,17,45.5,57.5,10,1.35,-1.34,2.69,1.9,1.0,175.0,82.0,46.9,38.0,19.0,50,150.0,41.0,27.3,38.0,33.0,0.0,5.0,59.0,115.0,91.0
Bora,S. Jules,13,S. Jules,24,27.1,649.7,338.0,14.1,129.0,211.0,61.1,2.0,9.0,22.2,78.0,107.0,72.9,58.0,108.0,166.0,17.0,5.0,25.0,43.0,51.0,233.4,19.8,28.7,1.4,14.1,3,341.0,14.2,29.0,30,3.0,19,13,60.7,28.7,10,1.31,-0.95,2.26,5.0,2.6,181.0,117.0,64.6,19.0,8.0,42.1,9.0,2.0,22.2,10.0,21.0,0.0,12.0,80.0,51.0,66.0
Bashkimi,L. Zeqiri,27,L. Zeqiri,24,28.3,680.1,284.0,11.8,105.0,225.0,46.7,44.0,108.0,40.7,30.0,42.0,71.4,29.0,77.0,106.0,35.0,23.0,2.0,27.0,68.0,231.8,18.4,22.6,2.8,8.4,5,289.0,12.0,23.0,33,2.5,29,7,51.4,38.1,13,2.38,-1.8,4.18,3.1,3.3,82.0,48.0,58.5,34.0,12.0,35.3,108.0,44.0,40.7,10.0,11.0,0.0,6.0,32.0,70.0,66.0
Trepça,M. Amzil,23,M. Amzil,24,22.2,533.6,248.0,10.3,95.0,190.0,50,14.0,57.0,24.6,44.0,68.0,64.7,47.0,81.0,128.0,30.0,22.0,9.0,35.0,44.0,199.6,20.6,25.5,3.1,13.1,0,248.0,10.3,25.5,10,2.5,5,7,61.9,11.1,4,3.55,-1.23,4.77,4.1,3.6,108.0,72.0,66.7,25.0,9.0,36,57.0,14.0,24.6,14.0,12.0,1.0,8.0,58.0,69.0,49.0
Golden Eagle Ylli,E. Kastrati,28,E. Kastrati,24,22.3,534.2,185.0,7.7,66.0,150.0,44,33.0,87.0,37.9,20.0,33.0,60.6,12.0,31.0,43.0,30.0,15.0,3.0,25.0,60.0,170.4,17.5,19.0,3.1,4.4,0,185.0,7.7,19.0,11,1.2,11,2,46.3,14.9,9,-1.69,-4.35,2.66,2.5,3.6,42.0,25.0,59.5,21.0,8.0,38.1,87.0,33.0,37.9,12.0,8.0,0.0,5.0,10.0,34.0,39.0
Golden Eagle Ylli,L. Shoshi,1,L. Shoshi,24,17.5,418.9,172.0,7.2,68.0,118.0,57.6,3.0,10.0,30,33.0,50.0,66,28.0,77.0,105.0,18.0,10.0,21.0,25.0,54.0,131.5,17.2,22.6,2.4,13.8,0,172.0,7.2,22.6,11,1.6,7,4,62.8,9.8,7,0.89,-3.84,4.72,5.0,3.2,80.0,56.0,70,28.0,9.0,32.1,10.0,3.0,30,10.0,7.0,0.0,8.0,25.0,41.0,19.0
Rahoveci 029,B. Rexha,35,B. Rexha,24,19.7,473.5,160.0,6.7,63.0,124.0,50.8,25.0,64.0,39.1,9.0,15.0,60,32.0,52.0,84.0,12.0,19.0,3.0,15.0,60.0,109.1,12.5,18.4,1.4,9.6,7,167.0,7.0,19.2,8,2.0,10,4,34.0,12.8,4,-1.14,-4.01,2.87,3.6,3.5,49.0,35.0,71.4,11.0,3.0,27.3,64.0,25.0,39.1,12.0,2.0,0.0,1.0,32.0,43.0,33.0
Vëllaznimi,R. Dahsyla,25/55,R. Dahsyla,24,25.1,602.4,158.0,6.6,53.0,145.0,36.6,26.0,84.0,31,26.0,42.0,61.9,15.0,55.0,70.0,45.0,30.0,6.0,39.0,74.0,180.0,16.3,14.2,4.0,6.3,7,165.0,6.9,14.8,12,1.5,13,4,40.7,18.8,8,-2.76,-6.17,3.41,2.5,3.7,54.0,27.0,50,7.0,0.0,0,84.0,26.0,31,21.0,16.0,0.0,2.0,18.0,51.0,35.0
Trepça,D. Kapiti,35,D. Kapiti,24,16.2,388.2,150.0,6.2,64.0,112.0,57.1,1.0,7.0,14.3,21.0,47.0,44.7,29.0,56.0,85.0,13.0,9.0,10.0,16.0,64.0,114.9,16.3,21.2,1.8,12.0,2,152.0,6.3,21.5,6,1.2,4,7,42.4,7.1,5,0.2,-4.42,4.62,4.6,4.1,89.0,54.0,60.7,16.0,9.0,56.2,7.0,1.0,14.3,7.0,4.0,0.0,5.0,36.0,19.0,33.0
