Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Elias Pura, Jalin Anderson, Luukas Koskelo",8,36.5,11,5,9,55.6,1,5,20.0,0,0,0,1,2,3,1,2,0,1,1,9,2,13,1.6,20.7,114.8,153.5,-38.7,61.1,61.1,20.0,9.1,2,2,100,1,1,100,5,1,20,1,0,0,1,0,0,4,6,4
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Elias Pura, Jalin Anderson, Luukas Koskelo, Tevaun Kokko, Tomas Pihlajamäki",5,31.1,9,3,7,42.9,0,3,0.0,3,4,75.0,0,1,1,0,0,1,0,4,8,0,9,1.8,14.6,115.5,125.6,-10.1,42.9,51.4,0.0,0.0,3,2,66.7,1,1,100,3,0,0,0,0,0,0,0,0,1,0,2
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Elias Pura, Jalin Anderson, Luukas Koskelo, Robert Hall III, Tevaun Kokko, Tomas Pihlajamäki",7,29.4,15,5,8,62.5,2,3,66.7,3,3,100.0,1,3,4,2,2,0,3,5,11,4,19,2.7,33.6,109.7,107.3,2.5,75.0,80.5,40.0,20.9,4,2,50,1,1,100,3,2,66.7,1,2,0,0,0,2,0,5,5
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Elias Pura, Jalin Anderson, Luukas Koskelo, Robert Hall III, Tevaun Kokko",7,26.4,7,3,5,60.0,1,2,50.0,0,1,0.0,3,2,5,2,2,1,1,1,3,0,7,1.0,14.8,124.5,124.0,0.5,70.0,64.3,66.7,11.8,2,1,50,1,1,100,2,1,50,0,0,1,0,0,0,2,0,0
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Elias Pura, Jalin Anderson, Luukas Koskelo, Onni Mäkynen, Robert Hall III",3,19.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,5,1.7,86.1,137.7,29.1,108.6,100.0,100.0,100.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Elias Pura, Jalin Anderson, Luukas Koskelo, Onni Mäkynen, Tevaun Kokko, Vesa Heinonen",3,19.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,1,2,2,4,0,3,1.0,19.3,122.0,76.3,45.6,75.0,75.0,0.0,50.0,1,0,0,0,0,0,1,1,100,0,1,2,0,0,0,0,0,0
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Jalin Anderson, Robert Hall III, Tevaun Kokko",2,18.2,7,2,4,50.0,1,3,33.3,2,2,100.0,2,2,4,2,0,3,0,0,3,3,10,5.0,50.6,172.1,179.2,-7.1,62.5,71.7,100.0,0.0,0,0,0,1,1,100,3,1,33.3,0,0,0,0,0,0,2,0,0
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Elias Pura, Jalin Anderson, Luukas Koskelo, Onni Mäkynen, Robert Hall III, Tevaun Kokko, Vesa Heinonen",4,16.8,4,1,2,50.0,0,1,0.0,2,2,100.0,1,1,2,0,0,0,1,1,3,0,4,1.0,26.7,107.0,146.5,-39.5,50.0,69.4,0.0,25.8,1,1,100,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Dean Keeler, Elias Pura, Jalin Anderson, Tevaun Kokko, Tomas Pihlajamäki",1,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,78.7,200.0,-121.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne,"Jalin Anderson, Onni Mäkynen, Robert Hall III, Vesa Heinonen",2,14.5,0,0,3,0.0,0,1,0.0,0,0,0,1,1,2,2,0,0,0,3,2,6,6,3.0,50.9,67.9,108.1,-40.2,0.0,0.0,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
