Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Lahti Basketball,Luerensley Williams III,4,Luerensley Williams III,31,30.7,950.3,601.0,19.4,215.0,457.0,47,81.0,192.0,42.2,90.0,125.0,72,48.0,75.0,123.0,88.0,51.0,13.0,72.0,77.0,514.6,26.4,23.7,3.5,4.8,139,740.0,23.9,29.2,36,2.8,27,13,55.0,39.7,13,2.85,0.19,2.66,2.4,2.0,171.0,96.0,56.1,75.0,25.0,33.3,192.0,81.0,42.2,67.0,26.0,40.0,23.0,0.0,9.0,102.0,154.0,119.0
Tapiolan Honka,Taye Donald,3,Taye Donald,31,28.2,873.4,456.0,14.7,157.0,381.0,41.2,48.0,169.0,28.4,94.0,124.0,75.8,16.0,113.0,129.0,179.0,53.0,16.0,96.0,79.0,494.9,27.2,17.6,6.9,5.0,348,804.0,25.9,31.1,32,2.7,20,14,61.2,33.2,12,1.78,-3.14,4.92,2.0,1.8,151.0,80.0,53,40.0,15.0,37.5,169.0,48.0,28.4,61.0,21.0,64.0,25.0,0.0,7.0,53.0,156.0,87.0
KTP-Basket,Hannes Pöllä,44,Hannes Pöllä,31,21.7,672.1,426.0,13.7,147.0,270.0,54.4,13.0,31.0,41.9,119.0,166.0,71.7,82.0,127.0,209.0,31.0,5.0,33.0,52.0,73.0,300.5,23.3,17.9,1.3,8.8,63,489.0,15.8,20.5,31,3.9,22,9,59.7,28.0,8,4.88,0.15,4.73,5.0,2.1,162.0,93.0,57.4,39.0,14.0,35.9,31.0,13.0,41.9,32.0,0.0,12.0,21.0,3.0,16.0,131.0,20.0,65.0
Tapiolan Honka,Isaiah Kelly,35,Isaiah Kelly,31,24.8,768.4,385.0,12.4,155.0,311.0,49.8,31.0,90.0,34.4,44.0,95.0,46.3,68.0,133.0,201.0,98.0,29.0,34.0,80.0,84.0,350.2,21.8,14.9,3.8,7.8,195,580.0,18.7,22.4,8,0.9,11,3,32.5,18.3,9,1.57,-3.83,5.4,4.3,2.6,170.0,95.0,55.9,26.0,10.0,38.5,90.0,31.0,34.4,34.0,3.0,46.0,19.0,0.0,15.0,68.0,139.0,81.0
Tampereen Pyrintö,Valtteri Mervola,5,Valtteri Mervola,31,28.0,869.5,291.0,9.4,109.0,258.0,42.2,34.0,104.0,32.7,39.0,43.0,90.7,17.0,58.0,75.0,114.0,35.0,4.0,52.0,79.0,299.4,17.9,12.2,4.8,3.1,220,511.0,16.5,21.4,19,1.7,17,5,49.5,21.2,11,-1.7,-4.8,3.09,1.8,3.0,79.0,48.0,60.8,70.0,24.0,34.3,104.0,34.0,32.7,30.0,8.0,36.0,10.0,0.0,6.0,46.0,54.0,47.0
Lahti Basketball,Vili Nyman,10,Vili Nyman,31,27.2,844.2,287.0,9.3,121.0,280.0,43.2,16.0,71.0,22.5,29.0,44.0,65.9,39.0,154.0,193.0,49.0,22.0,9.0,40.0,41.0,288.3,16.7,11.3,1.9,7.6,82,369.0,11.9,14.5,23,1.8,20,5,51.8,22.2,13,-3.61,-5.46,1.85,3.8,4.3,126.0,75.0,59.5,67.0,21.0,31.3,71.0,16.0,22.5,38.0,4.0,23.0,15.0,0.0,2.0,48.0,111.0,61.0
Kauhajoki,Eemi Luukkonen,7,Eemi Luukkonen,31,26.1,810.5,264.0,8.5,107.0,231.0,46.3,24.0,77.0,31.2,26.0,51.0,51,56.0,107.0,163.0,63.0,18.0,12.0,65.0,94.0,251.9,16.3,11.1,2.7,6.9,146,410.0,13.2,17.3,24,2.2,15,5,69.8,23.2,11,-2.82,-6.32,3.5,3.9,3.6,117.0,60.0,51.3,24.0,11.0,45.8,77.0,24.0,31.2,30.0,1.0,25.0,27.0,0.0,13.0,72.0,57.0,52.0
Kauhajoki,Oliver Kandén,14,Oliver Kandén,31,28.0,866.9,260.0,8.4,83.0,206.0,40.3,56.0,153.0,36.6,38.0,45.0,84.4,29.0,73.0,102.0,21.0,15.0,3.0,16.0,47.0,204.3,12.4,11.0,0.9,4.3,46,306.0,9.9,12.9,28,2.8,16,4,78.8,19.8,10,-0.81,-3.5,2.69,3.1,4.2,34.0,20.0,58.8,18.0,6.0,33.3,153.0,56.0,36.6,9.0,14.0,10.0,6.0,0.0,0.0,49.0,73.0,44.0
KTP-Basket,Jesper Granlund,35,Jesper Granlund,31,26.6,825.3,253.0,8.2,95.0,214.0,44.4,21.0,77.0,27.3,42.0,57.0,73.7,46.0,61.0,107.0,34.0,43.0,10.0,33.0,77.0,217.0,13.7,10.6,1.4,4.5,72,325.0,10.5,13.6,20,2.9,9,11,72.3,14.8,7,1.19,-4.38,5.57,2.6,4.2,82.0,52.0,63.4,44.0,16.0,36.4,77.0,21.0,27.3,39.0,4.0,10.0,13.0,0.0,10.0,50.0,69.0,53.0
Kauhajoki,Antti Ahonen,8,Antti Ahonen,31,18.5,574.8,201.0,6.5,69.0,209.0,33,42.0,140.0,30,21.0,26.0,80.8,21.0,79.0,100.0,36.0,12.0,2.0,32.0,71.0,222.2,20.3,8.5,1.5,4.2,85,286.0,9.2,12.1,18,2.0,13,3,62.8,16.3,9,-4.38,-6.79,2.41,3.4,4.2,53.0,23.0,43.4,12.0,2.0,16.7,140.0,42.0,30,14.0,3.0,17.0,9.0,0.0,6.0,50.0,27.0,26.0
