Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil",11,13263,333,136,274,49.6,21,94,22.3,40,50,80,33,101,134,79,28,9,30,0,249,52.1,52.6,51.6,45.6,46.5,53.5,56.2,58.1,23.9,73.2,7.4,18.2,34.3,114.6,324,116,254,45.7,48,133,36.1,44,56,78.6,37,105,142,73,13,9,46,0,245,55.1,58.1,14.2,26.8,52.4,113.7,0.9,113,71,62.8,0,0,0,0,0,0,8,6,1,15,79,47,59.5,1,1,100,0,0,0,22,11,1,12
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Ben Middlebrooks, Zach Harvey, Nathan Dawit",15,9010,345,120,237,50.6,40,106,37.7,65,86,75.6,42,90,132,74,35,10,49,0,236,74.6,74.8,74.4,32.1,32.3,59.1,62.8,61.7,34.4,73.2,12.3,36.3,44.7,122.9,287,104,223,46.6,23,80,28.7,56,67,83.6,33,80,113,40,24,17,61,0,242,51.8,56.8,19.5,26.8,35.9,102.8,20.1,73,53,72.6,0,0,0,0,0,0,16,7,5,21,83,45,54.2,1,1,100,0,0,0,21,16,0,24
Borås Basket,"KJ Jenkins, Ali Sow, Oskar Palmquist, AJ Clayton, John Brändmark",11,7800,263,91,204,44.6,31,110,28.2,50,65,76.9,35,81,116,52,14,5,32,0,183,67.8,70.2,65.3,34.2,36.7,52.2,56.5,57.1,30.2,74.3,10.1,31.9,53.9,115.3,248,92,198,46.5,24,68,35.3,40,51,78.4,28,81,109,43,19,3,21,0,158,52.5,56.3,8.7,25.7,34.3,116.8,-1.5,46,34,73.9,0,0,0,0,0,0,12,9,3,8,56,30,53.6,0,0,0,0,0,0,9,4,0,8
Sloga Uppsala,"Jonathan Ninkingira, Richie Springs, Marko Dujkovic, Milutin Vujicic, Markeith Browning II",9,6172,236,91,181,50.3,18,64,28.1,36,50,72,31,91,122,44,14,7,33,0,153,79,79.4,78.5,30.2,30.6,55.2,58.1,48.4,33,74.6,11.8,27.6,35.4,115.5,200,71,189,37.6,26,92,28.3,32,41,78,31,63,94,50,16,5,27,0,134,44.4,48.3,11.5,25.4,48.7,99,16.5,68,44,64.7,0,0,0,0,0,0,14,3,1,15,59,30,50.8,0,0,0,0,0,0,12,3,1,11
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton  Lindqvist",12,6243,234,85,189,45,30,88,34.1,34,40,85,37,59,96,40,27,5,18,0,152,72,71.7,72.4,33.5,33.2,52.9,56.6,47.1,34.3,73.8,6.8,21.2,46.6,125.5,213,82,159,51.6,23,67,34.3,26,36,72.2,21,71,92,41,7,9,35,0,165,58.8,60.9,16.7,26.2,42.1,113.2,12.3,53,33,62.3,1,0,0,0,0,0,5,4,1,8,59,42,71.2,1,1,100,0,0,0,13,14,2,6
Högsbo Basket,"Amen Jenkins Cheeseman, Isaiah Hill, Tony Vitali, Jonathan Peleg, Anes Zekovic",9,5073,201,73,140,52.1,28,56,50,27,32,84.4,16,57,73,45,16,3,30,0,147,78.4,79.1,77.6,30.3,30.9,62.1,65.2,61.6,23.5,71.2,13.1,22.9,40,120.2,194,71,145,49,26,65,40,26,36,72.2,23,52,75,44,22,3,26,0,145,57.9,60.3,13.9,28.7,44.8,118.2,2,45,29,64.4,0,0,0,0,0,0,13,12,0,5,47,31,66,0,0,0,0,0,0,11,4,1,10
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Johansson",17,4744,215,73,139,52.5,37,73,50.7,32,39,82.1,24,53,77,48,19,3,26,0,146,79.3,79.7,78.9,30.1,30.4,65.8,68.8,65.8,34.8,71.6,11.3,28.1,52.5,136.4,178,64,136,47.1,18,66,27.3,32,36,88.9,21,45,66,41,17,3,26,0,132,53.7,58.6,14.6,28.4,48.5,114.1,22.3,32,21,65.6,0,0,0,0,0,0,12,9,0,5,48,35,72.9,0,0,0,0,0,0,9,10,0,7
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Dartaye Ruffin, Anton Johansson",18,4369,165,61,119,51.3,22,54,40.7,21,28,75,8,52,60,36,11,6,21,0,142,78.3,79.2,77.4,30.3,31.0,60.5,62.8,59,13.1,74.3,11.2,23.5,45.4,114.4,162,60,130,46.2,24,63,38.1,18,23,78.3,18,53,71,32,11,7,20,0,130,55.4,57.8,12.5,25.7,48.5,115,-0.6,38,28,73.7,0,0,0,0,0,0,9,3,0,9,38,28,73.7,1,0,0,0,0,0,7,3,1,9
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Brayden Parker",12,6493,198,72,160,45,24,75,32,30,35,85.7,29,47,76,40,16,3,16,0,132,59.4,59.1,59.6,40.6,40.3,52.5,56.4,55.6,33.3,66.2,6.9,21.9,46.9,123.7,196,72,139,51.8,21,50,42,31,44,70.5,24,58,82,39,9,8,27,0,146,59.4,61.9,14.6,33.8,36,121.6,2.1,51,29,56.9,1,0,0,0,0,0,1,8,0,7,41,28,68.3,0,0,0,1,0,0,13,6,1,7
Köping Stars,"Marreon Jamar Jackson, Dragos Andrei Diculescu, Lawrence Townsend III, Sekou Sylla, Romeo Myrthil",8,5389,189,75,159,47.2,19,59,32.2,20,30,66.7,22,56,78,41,12,6,29,0,131,80.2,79.7,80.7,30.1,29.8,53.1,54.9,54.7,24.7,75.7,12,18.9,37.1,105.6,231,84,152,55.3,29,62,46.8,34,45,75.6,18,67,85,49,14,10,27,0,150,64.8,67.2,13.6,24.3,40.8,127.6,-22,58,39,67.2,0,0,0,0,0,0,10,9,0,10,62,41,66.1,0,0,0,0,0,0,7,7,2,11
