Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
AJ Clayton,Borås Basket,23,AJ Clayton,"Ali Sow, John Brändmark, Justin Vander Baan, Oskar Palmquist",1,40.0,2,1,3,33.3,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2.0,16.4,123.3,136.5,-13.2,33.3,33.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Sow,Borås Basket,1,Ali Sow,"AJ Clayton, John Brändmark, Justin Vander Baan, Oskar Palmquist",1,40.0,4,2,3,66.7,0,1,0.0,0,0,0,0,2,2,1,0,0,1,0,4,0,4,4.0,32.9,123.3,136.5,-13.2,66.7,66.7,50.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
John Brändmark,Borås Basket,66,John Brändmark,"AJ Clayton, Ali Sow, Justin Vander Baan, Oskar Palmquist",1,40.0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,2,2,2.0,16.4,123.3,136.5,-13.2,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Justin Vander Baan,Borås Basket,18,Justin Vander Baan,"AJ Clayton, Ali Sow, John Brändmark, Oskar Palmquist",1,40.0,5,2,2,100.0,0,0,0,1,2,50.0,1,0,1,1,0,0,0,0,2,2,7,7.0,57.5,123.3,136.5,-13.2,100.0,86.8,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Oskar Palmquist,Borås Basket,2,Oskar Palmquist,"AJ Clayton, Ali Sow, John Brändmark, Justin Vander Baan",1,40.0,2,1,2,50.0,0,1,0.0,0,0,0,1,1,2,0,0,0,0,0,1,0,2,2.0,16.4,123.3,136.5,-13.2,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amen Jenkins Cheeseman,Högsbo Basket,0,Amen Jenkins Cheeseman,"Anes Zekovic, Isaiah Hill, Jan Tratnik, Tony Vitali",1,40.0,3,1,6,16.7,1,3,33.3,0,0,0,0,2,2,1,0,0,1,0,7,2,5,5.0,22.6,99.3,150.4,-51.2,25.0,25.0,100.0,12.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Anes Zekovic,Högsbo Basket,6,Anes Zekovic,"Amen Jenkins Cheeseman, Isaiah Hill, Jan Tratnik, Tony Vitali",1,40.0,7,3,7,42.9,1,4,25.0,0,0,0,0,2,2,0,1,0,0,0,7,0,7,7.0,31.6,99.3,150.4,-51.2,50.0,50.0,0.0,0.0,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Isaiah Hill,Högsbo Basket,1,Isaiah Hill,"Amen Jenkins Cheeseman, Anes Zekovic, Jan Tratnik, Tony Vitali",1,40.0,6,1,3,33.3,1,1,100.0,3,4,75.0,1,0,1,2,0,0,0,0,4,5,11,11.0,49.6,99.3,150.4,-51.2,50.0,63.0,200.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Jan Tratnik,Högsbo Basket,9,Jan Tratnik,"Amen Jenkins Cheeseman, Anes Zekovic, Isaiah Hill, Tony Vitali",1,40.0,0,0,1,0.0,0,1,0.0,0,0,0,0,2,2,3,1,0,1,0,2,7,7,7.0,31.6,99.3,150.4,-51.2,0.0,0.0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tony Vitali,Högsbo Basket,22,Tony Vitali,"Amen Jenkins Cheeseman, Anes Zekovic, Isaiah Hill, Jan Tratnik",1,40.0,6,3,4,75.0,0,0,0,0,2,0.0,2,2,4,2,2,0,0,0,3,2,8,8.0,36.1,99.3,150.4,-51.2,75.0,61.5,66.7,0.0,4,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Johansson,Jämtland Basket,3,Adam Johansson,"Brayden Parker, Denzel George, Keaston Willis, Michael Christmas",1,40.0,3,1,3,33.3,1,2,50.0,0,0,0,0,0,0,0,1,0,1,0,4,0,3,3.0,27.6,82.8,60.0,22.8,50.0,50.0,0.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brayden Parker,Jämtland Basket,7,Brayden Parker,"Adam Johansson, Denzel George, Keaston Willis, Michael Christmas",1,40.0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,3,3,3.0,27.6,82.8,60.0,22.8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denzel George,Jämtland Basket,22,Denzel George,"Adam Johansson, Brayden Parker, Keaston Willis, Michael Christmas",1,40.0,1,0,3,0.0,0,0,0,1,2,50.0,4,1,5,1,0,0,1,0,1,3,4,4.0,36.8,82.8,60.0,22.8,0.0,12.9,0,17.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Keaston Willis,Jämtland Basket,0,Keaston Willis,"Adam Johansson, Brayden Parker, Denzel George, Michael Christmas",1,40.0,2,0,0,0,0,0,0,2,3,66.7,0,1,1,0,0,0,1,0,2,0,2,2.0,18.4,82.8,60.0,22.8,0,75.8,0,43.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Michael Christmas,Jämtland Basket,25,Michael Christmas,"Adam Johansson, Brayden Parker, Denzel George, Keaston Willis",1,40.0,3,1,3,33.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3.0,27.6,82.8,60.0,22.8,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Abdou Medjedoub,Nässjö Basket,17,Abdou Medjedoub,"Josef Fahrenholtz, Mio Hjalmarsson, Mirko Djeric, Tyler Patterson",1,40.0,2,1,4,25.0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,4,0,2,2.0,9.5,90.5,107.2,-16.7,25.0,25.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
