Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Jämtland Basket,7,Brayden Parker,,1,33.3,33.3,21,21.0,9,11,81.8,3,5,60.0,0,0,0,0,5,5,4,2,0,2,0,95.5,95.5,18.3,161.5,27.5,6.5,0.0,16.7,8.3,21.6,3.2,0.0,15.4,0.0,20.83,13.17,7.66,3,3,100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jämtland Basket,0,Keaston Willis,,1,30.1,30.1,23,23.0,7,17,41.2,2,5,40.0,7,8,87.5,0,5,5,5,2,0,1,0,47.1,56.0,33.5,106.9,30.1,6.5,0.0,18.4,9.2,28.0,3.6,0.0,4.6,0.47,15.16,9.74,5.42,9,4,44.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borås Basket,23,AJ Clayton,,1,30.1,30.1,18,18.0,8,14,57.1,2,7,28.6,0,1,0.0,2,9,11,4,0,0,1,0,64.3,62.3,23.1,116.6,23.0,8.9,6.5,29.9,18.1,23.8,0.0,0.0,6.5,0.07,15.04,9.27,5.77,1,1,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borås Basket,4,Ludvig Johansson,,1,25.3,25.3,14,14.0,5,8,62.5,4,7,57.1,0,0,0,1,0,1,5,0,0,3,0,87.5,87.5,19.6,127.3,17.9,8.9,3.9,0.0,2.0,31.5,0.0,0.0,27.3,0.0,14.06,9.23,4.84,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Borås Basket,66,John Brändmark,,1,23.0,23.0,9,9.0,3,4,75.0,3,4,75.0,0,0,0,2,3,5,1,0,1,1,0,112.5,112.5,9.8,180.0,11.5,5.1,8.5,13.0,10.7,6.3,0.0,4.0,20.0,0.0,12.56,7.65,4.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borås Basket,8,Fredrik Andersson,,1,26.6,26.6,11,11.0,3,10,30.0,3,8,37.5,2,2,100.0,1,5,6,2,2,0,0,0,45.0,50.6,18.4,101.1,14.0,10.2,3.7,18.8,11.1,10.5,3.9,0.0,0.0,0.2,12.14,6.2,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borås Basket,1,Ali Sow,,1,17.7,17.7,13,13.0,6,11,54.5,1,3,33.3,0,1,0.0,0,4,4,5,0,0,2,0,59.1,56.8,34.2,96.7,16.6,3.8,0.0,22.6,11.2,58.1,0.0,0.0,14.9,0.09,9.72,4.91,4.81,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jämtland Basket,9,Erik Persson,,1,9.9,9.9,12,12.0,5,7,71.4,2,4,50.0,0,0,0,0,2,2,0,2,0,2,0,85.7,85.7,42.8,133.3,15.7,5.2,0.0,22.5,11.3,0.0,10.8,0.0,22.2,0.0,9.48,5.46,4.02,3,3,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borås Basket,18,Justin Vander Baan,,1,31.9,31.9,13,13.0,5,11,45.5,0,1,0.0,3,4,75.0,2,12,14,2,1,0,2,0,45.5,50.9,20.8,88.1,16.6,1.3,6.1,37.6,21.7,9.4,1.6,0.0,13.6,0.36,8.94,3.29,5.64,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jämtland Basket,41,Samari Curtis,,1,15.8,15.8,4,4.0,2,5,40.0,0,0,0,0,0,0,0,2,2,5,1,0,0,0,40.0,40.0,14.8,80.0,5.2,0.0,0.0,14.0,7.0,45.2,3.4,0.0,0.0,0.0,7.75,3.85,3.9,5,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
