Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Victoria,"Shadynn Smid, Renoldo Robinson, Geoffrey James, Cameron Slaymaker, Ethan Boag","Victoria|10,14,2,4,7",14,Renoldo Robinson,10,Shadynn Smid,12,28,4,8,5,2.4,5.6
Trinity Western,"David Mutabazi, Pearse Long, Connor Platz, Jack Vandenberg, Marcus Shankar","Trinity Western|1,17,21,4,9",1,David Mutabazi,9,Marcus Shankar,10,25,5,5,6,1.67,4.17
Trinity Western,"Pearse Long, Connor Platz, Jack Vandenberg, Tyus DeVries, Marcus Shankar","Trinity Western|17,21,4,5,9",21,Connor Platz,5,Tyus DeVries,10,24,4,6,6,1.67,4.0
Calgary,"Hayden Franson, Aidan Smith, Dre Francis, Mrigendra Dhaliwal, Daniels Baumanis","Calgary|10,15,23,3,8",8,Daniels Baumanis,10,Hayden Franson,9,21,3,6,5,1.8,4.2
UBC,"Gus Goerzen, Tobi Akinkunmi, Holt Tomie, Nikola Guzina, Toni Maric","UBC|10,13,4,6,9",4,Holt Tomie,13,Tobi Akinkunmi,7,20,6,1,4,1.75,5.0
Winnipeg,"Kato Jaro, Ryan Luke, Donald Stewart, Malachi Alexander, Alberto Gordo","Winnipeg|0,10,13,7,9",0,Kato Jaro,13,Donald Stewart,8,19,3,5,8,1.0,2.38
Toronto Metropolitan,"Aaron Rhooms, Gabriel Gutsmore, Aidan Wilson, Kevin Toth, Deandre Goulbourne","Toronto Metropolitan|12,21,22,3,8",3,Kevin Toth,12,Aaron Rhooms,7,19,5,2,6,1.17,3.17
Trinity Western,"Pearse Long, Connor Platz, Jack Vandenberg, Tyus DeVries, Marcus Shankar","Trinity Western|17,21,4,5,9",21,Connor Platz,4,Jack Vandenberg,8,19,3,5,6,1.33,3.17
Winnipeg,"Kato Jaro, Ryan Luke, Donald Stewart, Malachi Alexander, Alberto Gordo","Winnipeg|0,10,13,7,9",0,Kato Jaro,10,Ryan Luke,8,18,2,6,7,1.14,2.57
Toronto,"Nigel Hylton, Simeon Jeffers, Panashe Dumbu, Rohan Scott-Smith, Mikey Ballout","Toronto|0,14,20,23,7",23,Rohan Scott-Smith,0,Nigel Hylton,7,18,4,3,5,1.4,3.6
UFV,"Bennett O'Connor, Ismael Hernandez, Marcus Flores, Dario Lopez, Dilveer Randhawa","UFV|0,1,12,14,24",24,Dilveer Randhawa,14,Dario Lopez,8,18,2,6,8,1.0,2.25
