Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Victoria,"Cameron Slaymaker, Ethan Boag, Geoffrey James, Renoldo Robinson, Shadynn Smid",Trinity Western,"Connor Platz, Jack Vandenberg, Marcus Shankar, Pearse Long, Tyus DeVries",2,1755,29.2,56.8,69,28,57,49.1,8,22,36.4,5,5,100,9,24,33,18,9,2,8,8,49,19,48,39.6,7,23,30.4,4,5,80,4,17,21,14,2,5,11,5,56.5,56.8,122.2,86.3,35.9,86.3,122.2,-35.9,20,16,11,68.8,19,9,47.4,22,8,36.4,13,9,69.2,12,3,25,23,7,30.4,0,0,0,8,0,0,0,11,10,17,12,2,14,7
Regina,"Ajang Tong, Ben Kamba, Gurech Gurech, Kaz Dornstauder, Lodie Kenyi",Brandon,"Max Winters, Munroop Gill, Sultan Haider-Bhatti, Travis Hamburger, Youri Cange",2,1187,19.8,44.9,22,9,38,23.7,3,18,16.7,1,5,20,3,19,22,8,1,5,9,5,34,14,38,36.8,3,16,18.8,3,4,75,4,26,30,10,3,2,8,8,46.0,43.3,47.8,78.5,-30.7,78.5,47.8,30.7,-12,13,6,46.2,7,0,0,18,3,16.7,12,9,75,10,2,20,16,3,18.8,0,0,0,9,0,0,0,8,2,10,2,2,10,3
UBC,"Gus Goerzen, Holt Tomie, Nikola Guzina, Nylan Roberts, Tobi Akinkunmi",Victoria,"Cameron Slaymaker, Ethan Boag, Geoffrey James, Renoldo Robinson, Shadynn Smid",3,936,15.6,28.4,26,11,32,34.4,3,7,42.9,1,2,50,9,10,19,3,2,0,7,7,39,13,25,52,4,8,50,9,10,90,2,9,11,6,6,2,2,4,28.6,29.3,90.8,133.3,-42.5,133.3,90.8,42.5,-13,2,0,0,23,8,34.8,7,3,42.9,0,0,0,17,9,52.9,8,4,50,0,0,0,7,0,0,0,2,10,3,3,2,9,4
Alberta,"Caiden Kushnir, Ethan Egert, Isaac Simon, Kyle Varner, Matthew Osunde",Winnipeg,"Alberto Gordo, Donald Stewart, Kato Jaro, Malachi Alexander, Ryan Luke",2,933,15.6,27.8,28,12,27,44.4,1,7,14.3,3,5,60,3,10,13,8,3,0,4,4,24,11,23,47.8,2,10,20,0,0,0,1,10,11,6,0,0,4,5,29.5,25.8,94.9,92.9,2,92.9,94.9,-2,4,11,8,72.7,9,3,33.3,7,1,14.3,8,6,75,5,3,60,10,2,20,0,0,0,4,0,0,0,4,5,4,6,2,4,5
Cape Breton,"Aaron Cunningham, Hazen Rossiter, Liai Tong, Stefan Anisko, Tafarian Black",UPEI,"Abilash Surendran, Hugo Bermejo, Kyree Thompson, Matthew Magnan, Sam Dyck",3,748,12.5,27.1,21,8,19,42.1,2,5,40,3,4,75,2,9,11,4,4,1,10,1,25,11,22,50,3,6,50,0,0,0,2,8,10,6,2,1,6,5,28.4,25.9,73.9,96.7,-22.7,96.7,73.9,22.7,-4,9,4,44.4,5,2,40,5,2,40,9,4,44.4,7,4,57.1,6,3,50,0,0,0,10,0,0,0,6,4,4,2,0,7,11
Manitoba,"Cieran O'Hara, Daren Watts, Mason Kraus, Ramogi Nyagudi, Taven Vigilance",Regina,"Ajang Tong, Ben Kamba, Kaz Dornstauder, Lodie Kenyi, Sufyan Elkannan",2,860,14.3,26.0,28,11,26,42.3,1,6,16.7,5,6,83.3,3,14,17,2,5,2,2,3,9,4,22,18.2,1,14,7.1,0,0,0,3,11,14,1,1,1,6,5,27.2,24.6,102.9,36.6,66.4,36.6,102.9,-66.4,19,14,7,50,6,3,50,6,1,16.7,5,2,40,3,1,33.3,14,1,7.1,0,0,0,2,0,0,0,8,8,12,9,2,0,2
Winnipeg,"Alberto Gordo, Donald Stewart, Kato Jaro, Malachi Alexander, Ryan Luke",Brandon,"Max Winters, Munroop Gill, Sultan Haider-Bhatti, Travis Hamburger, Youri Cange",2,691,11.5,24.4,21,6,20,30,3,10,30,6,9,66.7,3,12,15,5,2,1,5,5,20,7,19,36.8,3,8,37.5,3,4,75,1,11,12,5,3,0,3,7,25.8,22.8,81.6,87.8,-6.3,87.8,81.6,6.3,1,4,2,50,6,1,16.7,10,3,30,7,3,42.9,4,1,25,8,3,37.5,0,0,0,5,0,0,0,3,2,5,2,0,11,4
Saskatchewan,"Dylan Miller, Easton Thimm, Emmanuel Bonsu, Mohamed Mahadhi, Treyvon Folkes",Lethbridge,"Bryce Solis, Jaxen Perrett, Joe Lemieux, Karter Fry, Kymani Pollard",2,731,12.2,24.2,30,13,22,59.1,2,4,50,2,2,100,3,8,11,5,3,0,4,2,14,7,16,43.8,0,4,0,0,0,0,0,4,4,5,3,1,9,5,22.8,25.0,131.9,56,75.9,56,131.9,-75.9,16,16,10,62.5,2,1,50,4,2,50,8,6,75,4,1,25,4,0,0,0,0,0,4,0,0,0,9,7,4,11,0,2,0
Mount Royal,"Daniel Owoeye, Kole Scott, Kuach Gajak, Sam Barnie, Tag Layton",Regina,"Ben Kamba, Gurech Gurech, Kaz Dornstauder, Lodie Kenyi, Tutu Akol",2,734,12.2,23.6,25,8,18,44.4,4,10,40,5,7,71.4,1,9,10,5,2,1,5,3,20,9,18,50,1,4,25,1,2,50,0,7,7,5,1,0,4,5,24.7,22.9,101,87.4,13.6,87.4,101,-13.6,5,7,4,57.1,1,0,0,10,4,40,9,6,66.7,5,2,40,4,1,25,0,0,0,5,0,0,0,4,0,8,6,0,7,6
Alberta,"Caiden Kushnir, Ethan Egert, Isaac Simon, Kyle Varner, Matthew Osunde",MacEwan,"Dami Osuma, Dele Osuma, Diego Presingular, Job Janda, Milan Jaksic",2,761,12.7,23.0,29,11,22,50,4,8,50,3,4,75,4,9,13,4,4,2,5,4,18,8,22,36.4,2,8,25,0,0,0,4,5,9,1,2,0,5,4,23.5,22.4,123.3,80.4,42.9,80.4,123.3,-42.9,11,9,5,55.6,5,2,40,8,4,50,5,3,60,9,3,33.3,8,2,25,0,0,0,6,0,0,0,6,2,4,8,4,3,2
