Canonical,Team,Numbers,Variations
Gabe Davignon,Acadia,1,Gabe Davignon
Kyle Munro,Acadia,4,Kyle Munro
Robbie Grant,Acadia,5,Robbie Grant
Donovan Reid,Acadia,9,Donovan Reid
Ryan Regault,Acadia,13,Ryan Regault
Erik Hayden,Acadia,2,Erik Hayden
Aaron Simmons,Acadia,3,Aaron Simmons
Samou Brayan Kone,Acadia,6,Samou Brayan Kone; Samou Brayan kone
Briawne Wilson,Acadia,10,Briawne Wilson
Abraham Olalekan,Acadia,12,Abraham Olalekan
Malko Young,Acadia,14,Malko Young
Doudou Christ Emmanu,Acadia,15,Doudou Christ Emmanu; Doudou Christ emmanu
Chris Tshibola,Laval,7,Chris Tshibola
Jayden Larosiliere,Laval,8,Jayden Larosiliere
Mohamed Keita,Laval,14,Mohamed Keita
Chakib Sedoud,Laval,20,Chakib Sedoud
Thierry Tshibola,Laval,23,Thierry Tshibola
Alec Marchand,Laval,4,Alec Marchand
Louis-Felix Bessette,Laval,10/21,Louis-Felix Bessette
Khaly Amadou thiam,Laval,11,Khaly Amadou thiam; Khaly Amadou Thiam
Patrick Nlend,Laval,13,Patrick Nlend
Ralph Joseph,Laval,15,Ralph Joseph
Angel Pierre-Francoi,Laval,22,Angel Pierre-Francoi
Ibrahima Sanoh,Laval,33,Ibrahima Sanoh
Kevin Toth,Toronto Metropolitan,3,Kevin Toth
Deandre Goulbourne,Toronto Metropolitan,8,Deandre Goulbourne
Aaron Rhooms,Toronto Metropolitan,12,Aaron Rhooms
Gabriel Gutsmore,Toronto Metropolitan,21,Gabriel Gutsmore
Aidan Wilson,Toronto Metropolitan,22,Aidan Wilson
Maxime Louis-Jean,Toronto Metropolitan,4,Maxime Louis-Jean
Gurdeep Kalsi,Toronto Metropolitan,6,Gurdeep Kalsi
Landon Wright,Toronto Metropolitan,10,Landon Wright
Imisi Motunde,Toronto Metropolitan,11,Imisi Motunde
Greg Dorsey,Toronto Metropolitan,14,Greg Dorsey
Andrejs Silconoks,Toronto Metropolitan,15,Andrejs Silconoks
Darnaz Mabanza,Toronto Metropolitan,23,Darnaz Mabanza
Geoffrey James,Victoria,2,Geoffrey James
Cameron Slaymaker,Victoria,4,Cameron Slaymaker
Ethan Boag,Victoria,7,Ethan Boag
Shadynn Smid,Victoria,10,Shadynn Smid
Renoldo Robinson,Victoria,1/14,Renoldo Robinson
Toren Franklin,Victoria,0,Toren Franklin
Tyler Felt,Victoria,5,Tyler Felt
Dylan Gage,Victoria,8,Dylan Gage
Griffin Arnattt,Victoria,9,Griffin Arnattt
Justin Hinrichsen,Victoria,11,Justin Hinrichsen
Sergio Pereira,Victoria,12,Sergio Pereira
Ryan Gallagher,Victoria,16,Ryan Gallagher
Aubrey Dorey-Havens,Carleton,6,Aubrey Dorey-Havens
Cedric Mbiaba,Carleton,10,Cedric Mbiaba
Louth-Mohamed Coulibaly,Carleton,14,Louth-Mohamed Coulibaly
Tyler Brown,Carleton,21/22,Tyler Brown
Nelson Cilien,Carleton,23,Nelson Cilien
Domac Domac,Carleton,5,Domac Domac
Emmanuel Ngo Kana Suzama,Carleton,8,Emmanuel Ngo Kana Suzama; Emanuel Ngo Kana Suzama
Dylan Kayijuka,Carleton,11,Dylan Kayijuka
Marcus Hollingsworth,Carleton,12,Marcus Hollingsworth
Mark Dike,Carleton,13,Mark Dike
Emanuel Milon,Carleton,15,Emanuel Milon
Jovin Sunner,Carleton,31,Jovin Sunner
Obi Dike,Bishop's,4,Obi Dike
Charles Robert,Bishop's,10,Charles Robert
Yanis Malanda,Bishop's,11,Yanis Malanda
Etienne Gagnon,Bishop's,14,Etienne Gagnon
Reggie Jean seraphin,Bishop's,23,Reggie Jean Seraphin; Reggie Jean seraphin
Tiernan McDougall,Bishop's,0,Tiernan McDougall
Yve Nsanzinshuti,Bishop's,3,Yve Nsanzinshuti
Zach John,Bishop's,6,Zach John
Kyle Maurice,Bishop's,8,Kyle Maurice
Owen Lewis,Bishop's,12,Owen Lewis
Ulrich Larochel,Bishop's,13,Ulrich Larochel
David Navarro,Bishop's,15,David Navarro
Nate Vergin,Laurier,2,Nate Vergin
Ethan Passley,Laurier,6,Ethan Passley
Isaiah Fisher,Laurier,7,Isaiah Fisher
