Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Aaron Simmons,Acadia,3,Aaron Simmons,"Adam Rosenberger, Briawne Wilson, Doudou Christ Emmanuel Diop, Malko Young",2,18.1,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,2,1,0,2,2,3,4,7,3.5,21.9,137.5,113.1,24.4,150.0,150.0,200.0,40.0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,2,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Kyle Munro, Malko Young, Samou Brayan Kone",7,15.9,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0.3,7.2,75.3,99.2,-23.9,100.0,100.0,0.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Donovan Reid, Kyle Munro, Malko Young",5,15.8,7,2,2,100.0,0,0,0,3,5,60.0,1,1,2,1,3,0,1,2,4,2,9,1.8,28.8,102.4,89.5,13.0,100.0,83.3,50.0,16.1,2,2,100,0,0,0,0,0,0,1,0,0,0,0,1,3,4,7
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Gabe Davignon, Malko Young, Shaquai Manswell",5,12.3,2,1,2,50.0,0,1,0.0,0,0,0,0,1,1,2,0,0,3,1,5,6,8,1.6,31.3,86.1,116.7,-30.6,50.0,50.0,200.0,42.9,1,1,100,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Gabe Davignon, Ryan Regault, Shaquai Manswell",2,11.8,2,1,1,100.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1.0,11.7,158.3,185.9,-27.6,100.0,100.0,0.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Kyle Munro, Malko Young, Robbie Grant",7,11.1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,115.2,153.8,-38.5,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Gabe Davignon, Kyle Munro, Malko Young, Shaquai Manswell",2,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,78.9,103.3,-24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Gabe Davignon, Kyle Munro, Malko Young",1,10.3,3,1,1,100.0,1,1,100.0,0,0,0,0,1,1,1,0,0,0,2,1,2,5,5.0,28.4,153.2,200.8,-47.6,150.0,150.0,100.0,0.0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Kyle Munro, Malko Young, Shaquai Manswell",6,10.1,0,0,2,0.0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,3,3,0.5,16.2,91.9,156.7,-64.9,0.0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Simmons,Acadia,3,Aaron Simmons,"Briawne Wilson, Gabe Davignon, Kyle Munro, Samou Brayan Kone",3,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,91.6,87.2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
