Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
UQAM,10,Ahmed Sekou bah,,1,27.0,27.0,23,23.0,9,13,69.2,2,3,66.7,3,4,75.0,2,8,10,0,1,1,0,2,76.9,77.9,25.0,155.8,28.2,3.7,8.0,32.0,20.0,0.0,1.9,4.6,0.0,0.31,14.47,8.23,6.24,5,4,80,5,3,60,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurentian,3,Brice Fandio,,16,31.9,511.0,337,21.1,114,265,43.0,39,115,33.9,70,80,87.5,13,39,52,86,32,0,50,35,50.4,56.1,31.1,96.2,29.1,9.9,2.7,8.8,5.6,40.0,3.5,0.0,14.3,0.3,14.43,8.66,5.77,76,39,51.3,74,36,48.6,115,39,33.9,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Carleton,6,Aubrey Dorey-Havens,,26,31.0,806.0,385,14.8,132,318,41.5,70,191,36.6,51,67,76.1,8,85,93,125,27,5,61,48,52.5,55.4,22.4,94.3,20.5,10.2,1.0,11.9,6.3,28.1,1.8,0.7,14.9,0.21,14.35,7.76,6.59,49,28,57.1,78,34,43.6,191,70,36.6,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitoba,1,Mason Kraus,,18,33.6,605.0,286,15.9,87,224,38.8,46,149,30.9,66,100,66.0,10,91,101,116,45,8,45,40,49.1,53.4,22.6,91.4,20.2,10.5,1.9,17.0,9.5,32.3,3.8,1.4,14.4,0.45,13.46,6.65,6.81,50,32,64,25,9,36,149,46,30.9,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Metropolitan,12,Aaron Rhooms,,31,30.9,959.0,656,21.2,255,527,48.4,71,191,37.2,75,99,75.8,71,153,224,62,32,16,80,47,55.1,57.5,29.7,100.8,27.4,8.0,8.3,17.0,12.8,12.5,1.7,1.7,12.3,0.19,13.21,8.33,4.89,165,106,64.2,171,78,45.6,191,71,37.2,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnipeg,0,Kato Jaro,,24,33.5,804.0,346,14.4,117,268,43.7,48,139,34.5,64,76,84.2,27,55,82,131,49,11,78,55,52.6,57.4,20.7,91.2,18.5,7.4,3.8,8.0,5.9,26.6,3.2,1.3,20.6,0.28,12.79,6.34,6.45,73,47,64.4,56,22,39.3,139,48,34.5,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
Laval,7,Chris Tshibola,,21,32.6,684.0,471,22.4,148,331,44.7,32,93,34.4,143,176,81.2,10,96,106,77,19,1,58,23,49.5,57.7,30.5,101.0,30.0,5.9,1.8,15.6,8.9,24.7,1.5,0.1,12.4,0.53,12.4,7.69,4.71,109,64,58.7,129,52,40.3,93,32,34.4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnipeg,9,Alberto Gordo,,25,30.2,754.0,376,15.0,137,311,44.1,46,137,33.6,56,62,90.3,53,111,164,90,41,11,60,35,51.4,55.6,23.3,94.4,19.4,7.1,7.9,17.1,12.4,20.7,2.8,1.3,15.1,0.2,12.34,6.86,5.47,104,60,57.7,63,27,42.9,137,46,33.6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
StFX,1,DJ Jackson,,19,30.9,587.0,428,22.5,147,360,40.8,24,87,27.6,110,133,82.7,22,102,124,90,36,8,49,47,44.2,51.1,32.2,91.5,26.9,5.5,3.9,17.2,10.7,26.9,2.9,1.2,10.5,0.37,12.28,7.08,5.21,65,31,47.7,208,92,44.2,87,24,27.6,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,2,Geoffrey James,,27,28.2,762.0,328,12.1,111,268,41.4,56,157,35.7,50,60,83.3,21,109,130,96,58,2,40,67,51.9,55.7,19.6,98.1,15.4,7.4,3.1,15.8,9.5,19.8,3.9,0.2,12.0,0.22,12.07,6.41,5.67,42,23,54.8,69,32,46.4,157,56,35.7,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,14,Renoldo Robinson,,29,24.8,719.0,396,13.7,125,307,40.7,37,131,28.2,109,142,76.8,29,106,135,124,59,9,68,58,46.7,53.6,27.2,90.5,17.3,5.7,4.6,16.3,10.6,28.2,4.2,1.2,15.5,0.46,11.54,6.08,5.47,71,42,59.2,105,46,43.8,131,37,28.2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Carleton,3,Marjok Okado,,25,27.6,689.0,377,15.1,130,338,38.5,68,189,36.0,49,59,83.1,12,53,65,55,27,2,45,44,48.5,51.8,26.3,92.2,20.8,10.4,1.8,8.7,5.2,15.1,2.2,0.3,11.0,0.17,11.21,6.31,4.91,54,22,40.7,95,40,42.1,189,68,36,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,11,Brock Newton,,23,28.4,654.0,340,14.8,141,289,48.8,0,2,0.0,58,105,55.2,51,119,170,74,22,25,26,39,48.8,50.7,26.0,94.1,19.4,0.1,9.1,19.5,14.5,20.7,1.9,3.8,7.2,0.36,11.21,6.6,4.61,81,46,56.8,206,95,46.1,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Metropolitan,8,Deandre Goulbourne,,31,27.3,845.0,347,11.2,137,309,44.3,49,145,33.8,24,35,68.6,55,111,166,47,45,28,26,65,52.3,53.5,18.1,99.0,14.5,6.1,7.3,14.0,10.7,8.9,2.8,3.4,7.4,0.11,11.18,5.59,5.6,86,56,65.1,78,32,41,145,49,33.8,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's,8,Ollie Engen,,23,29.2,672.0,455,19.8,186,365,51.0,23,73,31.5,60,73,82.2,7,89,96,106,30,4,32,22,54.1,57.3,27.8,106.0,24.2,3.9,1.2,13.8,7.7,28.0,2.2,0.6,7.5,0.2,10.97,8.24,2.74,164,97,59.1,133,67,50.4,75,23,30.7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,13,Owen Kenney,,21,26.6,559.0,304,14.5,111,258,43.0,54,145,37.2,28,40,70.0,23,119,142,36,22,17,28,39,53.5,55.2,25.9,100.1,19.0,9.1,4.9,22.7,14.2,11.7,2.2,3.1,9.2,0.16,10.95,6.72,4.23,37,21,56.8,76,36,47.4,145,54,37.2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,4,Alec Phaneuf,,21,29.0,610.0,278,13.2,103,224,46.0,43,115,37.4,29,35,82.9,13,50,63,79,23,2,38,30,55.6,58.1,21.6,100.2,17.3,7.2,2.5,8.8,5.8,22.0,2.1,0.3,13.7,0.16,10.92,6.8,4.13,30,18,60,79,42,53.2,115,43,37.4,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's,14,Etienne Gagnon,,21,28.8,605.0,266,12.7,107,193,55.4,22,56,39.3,30,41,73.2,67,154,221,29,29,6,37,53,61.1,63.0,17.9,107.2,16.2,3.4,12.3,27.7,20.1,8.0,2.5,1.0,14.9,0.21,10.92,5.65,5.27,100,68,68,37,17,45.9,56,22,39.3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's,10,Charles Robert,,21,28.5,599.0,348,16.6,128,244,52.5,23,62,37.1,69,130,53.1,36,90,126,83,9,19,58,42,57.2,57.8,26.2,96.9,21.2,3.8,6.7,16.4,11.6,24.5,0.8,3.2,16.1,0.53,10.92,6.27,4.65,136,85,62.5,46,20,43.5,62,23,37.1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
Carleton,15,Emanuel Milon,,23,22.0,506.0,247,10.7,90,185,48.6,22,60,36.7,45,56,80.4,73,73,146,10,15,9,23,39,54.6,58.9,20.3,106.2,15.1,3.7,15.3,16.2,15.7,3.7,1.6,2.0,9.9,0.3,10.76,6.21,4.55,37,22,59.5,88,46,52.3,60,22,36.7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,10,Shadynn Smid,,28,25.3,709.0,368,13.1,142,260,54.6,25,79,31.6,59,76,77.6,53,107,160,34,34,20,45,52,59.4,62.7,21.4,108.7,16.7,3.6,8.6,16.5,12.6,8.2,2.4,2.6,13.3,0.29,10.71,6.34,4.37,117,86,73.5,64,31,48.4,79,25,31.6,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
