Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga, Nojus Jankūnas","Šilutės Šilutė-PDS.lt|1,10,13,23,31",9,27.8,1670.0,35,12,22,54.5,5,11,45.5,6,7,85.7,0,0,0,10,0,0,6,0,31,31.1,112.6,76.7,35.9,1.26,4
Ukmergės Stekas,"Kipras Urbanavičius, Robert Subotkevič, Rahsaan Amari Edwards, Dominykas Bučas, Webster Fredrick Simeus","Ukmergės Stekas|22,23,3,33,5",3,25.1,1505.0,43,14,22,63.6,4,7,57.1,11,12,91.7,0,0,0,10,0,0,2,0,46,29.3,146.9,126.4,20.5,1.71,-3
Kėdainių sporto centras,"Ignas Lukošius, Augustas Žilinskas, Rokas Ūzas, Paulius Semaška, Laurynas Danielius","Kėdainių sporto centras|15,30,37,4,5",8,24.8,1485.0,37,10,39,25.6,4,15,26.7,13,16,81.2,0,0,0,7,0,0,1,0,38,47.0,78.7,87.2,-8.5,1.49,-1
Mažeikių M Basket,"Gediminas Mokšeckas, Mindaugas Motuzas, Pavlo Karasov, Coltie Keanu Young, Jokūbas Stropus","Mažeikių M Basket|1,12,13,4,7",3,20.4,1222.0,48,14,33,42.4,7,20,35.0,13,14,92.9,0,0,0,8,0,0,4,0,36,43.2,111.2,94.2,17.0,2.36,12
Kretingos Kretinga-Rivile,"Julius Kazakauskas, Justin Taylor Young, Mantvydas Staniulis, Jalen Warren, Edgaras Danys","Kretingos Kretinga-Rivile|22,23,5,55,6",4,19.4,1165.0,34,13,27,48.1,4,10,40.0,4,5,80.0,0,0,0,4,0,0,5,0,22,34.2,99.4,71.8,27.6,1.75,12
Vilkaviškio Perlas Go,"Mantvydas Žukauskas, Theodore Kieth Gadsden Jr, Jorell Ty Saterfield, Titas Pažarauskas, Žygimantas Skučas","Vilkaviškio Perlas Go|19,21,23,5,50",6,18.7,1122.0,22,7,21,33.3,5,10,50.0,3,4,75.0,0,0,0,5,0,0,5,0,37,27.8,79.3,105.2,-26.0,1.18,-15
Telšių Telšiai,"Ovidijus Kaminskis, Martynas Gecevičius, Deividas Rasys, Ignas Razutis, Vilius Pocius","Telšių Telšiai|1,13,22,3,6",7,18.4,1103.0,23,8,21,38.1,2,5,40.0,5,6,83.3,0,0,0,7,0,0,6,0,27,29.6,77.6,100.4,-22.8,1.25,-4
Kauno r. Omega-Tauras-LSU,"Šarūnas Vasiliauskas, Robertas Keliačius, Tomas Galeckas, Simas Šliogeris, Vytautas Šulskis","Kauno r. Omega-Tauras-LSU|12,4,5,6,8",8,18.2,1091.0,28,8,25,32.0,3,15,20.0,9,10,90.0,0,0,0,13,0,0,4,0,51,33.4,83.8,117.7,-33.9,1.54,-23
Kauno r. Omega-Tauras-LSU,"Šarūnas Vasiliauskas, Nedas Vydmantas, Robertas Keliačius, Tomas Galeckas, Vytautas Šulskis","Kauno r. Omega-Tauras-LSU|12,3,4,5,8",5,18.1,1085.0,20,5,15,33.3,1,5,20.0,9,11,81.8,0,0,0,5,0,0,5,0,27,24.8,80.5,104.3,-23.8,1.11,-7
Plungės Olimpas,"Najeeb Ali Muhammad, Tadas Budrys, Thomas Deangelo Miles, Colin Gabriel Golson Jr, Modestas Jurkaitis","Plungės Olimpas|1,11,22,4,8",4,18.1,1089.0,29,10,24,41.7,2,5,40.0,7,7,100.0,0,0,0,8,0,0,3,0,27,30.1,96.4,100.1,-3.7,1.6,2
Alytaus Alytus,"Robert Charles Waters-Johnson Jr, Nathan Lewis Scott, Ronald Niamke Degray III, Tomas Stankevičius, Tautvydas Baltrušaitis","Alytaus Alytus|1,11,13,5,90",3,17.0,1018.0,22,7,14,50.0,1,2,50.0,7,7,100.0,0,0,0,8,0,0,3,0,26,20.1,109.6,92.6,17.0,1.3,-4
Plungės Olimpas,"Najeeb Ali Muhammad, Tadas Budrys, Rokas Kreišmontas, Colin Gabriel Golson Jr, Modestas Jurkaitis","Plungės Olimpas|1,11,23,4,8",5,16.9,1016.0,42,14,29,48.3,5,9,55.6,9,11,81.8,0,0,0,8,0,0,5,0,30,38.8,108.1,87.2,20.9,2.48,12
Klaipėdos Neptūnas-Akvaservis,"Aironas Žymantas, Rytis Šakaitis, Rokas Mačiulis, Džiugas Remeikis, Ernestas Jonkus","Klaipėdos Neptūnas-Akvaservis|10,12,13,28,6",2,15.3,917.0,30,9,20,45.0,4,8,50.0,8,9,88.9,0,0,0,3,0,0,1,0,23,25.0,120.2,120.5,-0.4,1.96,7
Kėdainių sporto centras,"Laurynas Bimba, Rokas Ūzas, Paulius Semaška, Medas Kuprijanovas, Laurynas Danielius","Kėdainių sporto centras|17,37,4,44,5",4,15.2,912.0,25,10,22,45.5,1,8,12.5,4,5,80.0,0,0,0,7,0,0,1,0,23,25.2,99.2,96.0,3.2,1.64,2
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Norbertas Giga, J'Von McCormick, Adas Šimonis","Šilutės Šilutė-PDS.lt|1,10,23,5,7",2,14.8,889.0,28,9,19,47.4,1,6,16.7,9,9,100.0,0,0,0,3,0,0,4,0,15,27.0,103.9,73.8,30.0,1.89,13
Šakių Vytis-VDU,"Rokas Jocys, Augustinas Mikštas, Titas Januševičius, Jokūbas Rubinas, Gabrielius Čelka","Šakių Vytis-VDU|11,12,22,23,24",7,14.4,866.0,31,10,24,41.7,2,8,25.0,9,9,100.0,0,0,0,4,0,0,2,0,13,30.0,103.5,40.8,62.7,2.15,18
Jurbarko Jurbarkas-Karys-Manvesta,"Karolis Kokoška, Justas Tamulis, Gintautas Matulis, Šarūnas Valunta, Karolis Babušis","Jurbarko Jurbarkas-Karys-Manvesta|17,55,6,9,99",4,14.2,854.0,20,9,19,47.4,2,5,40.0,0,0,0,0,0,0,4,0,0,1,0,11,20.0,100.0,51.3,48.7,1.41,9
Alytaus Alytus,"Robert Charles Waters-Johnson Jr, Ronald Niamke Degray III, Justinas Norkus, Tomas Stankevičius, Kristupas Smirnov","Alytaus Alytus|1,13,14,5,8",1,14.2,854.0,17,8,23,34.8,0,6,0.0,1,1,100.0,0,0,0,1,0,0,1,0,20,24.4,69.6,113.4,-43.8,1.19,-3
Ukmergės Stekas,"Kipras Urbanavičius, Robert Subotkevič, Dastinas Morkūnas, Rahsaan Amari Edwards, Webster Fredrick Simeus","Ukmergės Stekas|22,23,26,3,5",2,14.1,847.0,26,9,13,69.2,3,4,75.0,5,6,83.3,0,0,0,5,0,0,2,0,25,17.6,147.4,113.6,33.8,1.84,1
Šakių Vytis-VDU,"Kajus Leliukas, Nojus Vaivada, Titas Januševičius, Jokūbas Rubinas, Gabrielius Čelka","Šakių Vytis-VDU|13,2,22,23,24",6,13.7,819.0,27,9,19,47.4,3,11,27.3,6,8,75.0,0,0,0,8,0,0,3,0,36,25.5,105.8,135.1,-29.3,1.98,-9
Kretingos Kretinga-Rivile,"Rytis Zabita, Gytis Mačionis, Julius Kazakauskas, Mantvydas Staniulis, Jalen Warren","Kretingos Kretinga-Rivile|13,14,22,5,55",6,13.4,804.0,30,9,25,36.0,5,16,31.2,7,7,100.0,0,0,0,8,0,0,3,0,35,31.1,96.5,101.7,-5.2,2.24,-5
Mažeikių M Basket,"Gediminas Mokšeckas, Mindaugas Motuzas, Ernestas Naruševičius, Coltie Keanu Young, DeAngelo Marquett Epps","Mažeikių M Basket|1,12,14,4,5",5,13.3,796.0,20,3,14,21.4,1,7,14.3,13,15,86.7,0,0,0,2,0,0,4,0,29,24.6,81.3,97.8,-16.5,1.51,-9
