Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Kėdainių sporto centras,"Ignas Lukošius, Rokas Ūzas, Paulius Semaška, Medas Kuprijanovas, Laurynas Danielius","Kėdainių sporto centras|15,37,4,44,5",4,Paulius Semaška,37,Rokas Ūzas,16,35,3,13,11,1.45,3.18
Kretingos Kretinga-Rivile,"Rytis Zabita, Julius Kazakauskas, Mantvydas Staniulis, Jalen Warren, Edgaras Danys","Kretingos Kretinga-Rivile|13,22,5,55,6",22,Julius Kazakauskas,13,Rytis Zabita,14,28,0,14,9,1.56,3.11
Mažeikių M Basket,"Gediminas Mokšeckas, Mindaugas Motuzas, Ernestas Naruševičius, Nickolas Ralpheal Neal, Coltie Keanu Young","Mažeikių M Basket|1,12,14,3,4",3,Nickolas Ralpheal Neal,12,Mindaugas Motuzas,10,28,8,2,7,1.43,4.0
Marijampolės Sūduva-Mantinga,"Žygimantas Šimonis, Marijus Užupis, Aurelijus Pukelis, Ernestas Jaškus, Domantas Vilys","Marijampolės Sūduva-Mantinga|0,13,24,37,88",88,Domantas Vilys,24,Aurelijus Pukelis,12,28,4,8,10,1.2,2.8
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga, Adas Šimonis","Šilutės Šilutė-PDS.lt|1,10,13,23,7",13,Lukas Kazlauskas,23,Norbertas Giga,12,26,2,10,7,1.71,3.71
Kėdainių sporto centras,"Ignas Lukošius, Rokas Ūzas, Paulius Semaška, Laurynas Danielius, Arminas Kelmelis","Kėdainių sporto centras|15,37,4,5,9",4,Paulius Semaška,15,Ignas Lukošius,13,26,0,13,8,1.62,3.25
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga, Nojus Jankūnas","Šilutės Šilutė-PDS.lt|1,10,13,23,31",13,Lukas Kazlauskas,1,Devin Lavonne Hutchinson,10,25,5,5,8,1.25,3.12
Kėdainių sporto centras,"Ignas Lukošius, Rokas Ūzas, Paulius Semaška, Medas Kuprijanovas, Laurynas Danielius","Kėdainių sporto centras|15,37,4,44,5",37,Rokas Ūzas,15,Ignas Lukošius,12,24,0,12,12,1.0,2.0
Kretingos Kretinga-Rivile,"Rytis Zabita, Julius Kazakauskas, Mantvydas Staniulis, Jalen Warren, Edgaras Danys","Kretingos Kretinga-Rivile|13,22,5,55,6",5,Mantvydas Staniulis,13,Rytis Zabita,12,24,0,12,9,1.33,2.67
Plungės Olimpas,"Tadas Budrys, Arnas Vaištaras, Thomas Deangelo Miles, Colin Gabriel Golson Jr, Modestas Jurkaitis","Plungės Olimpas|11,18,22,4,8",8,Modestas Jurkaitis,18,Arnas Vaištaras,10,24,4,6,7,1.43,3.43
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga, Nojus Jankūnas","Šilutės Šilutė-PDS.lt|1,10,13,23,31",13,Lukas Kazlauskas,31,Nojus Jankūnas,10,23,3,7,8,1.25,2.88
Kėdainių sporto centras,"Ignas Lukošius, Rokas Ūzas, Paulius Semaška, Medas Kuprijanovas, Laurynas Danielius","Kėdainių sporto centras|15,37,4,44,5",4,Paulius Semaška,5,Laurynas Danielius,9,23,5,4,7,1.29,3.29
Kretingos Kretinga-Rivile,"Rytis Zabita, Julius Kazakauskas, Mantvydas Staniulis, Jalen Warren, Edgaras Danys","Kretingos Kretinga-Rivile|13,22,5,55,6",5,Mantvydas Staniulis,22,Julius Kazakauskas,11,23,1,10,7,1.57,3.29
Šakių Vytis-VDU,"Rokas Jocys, Kajus Leliukas, Nojus Vaivada, Titas Januševičius, Gabrielius Čelka","Šakių Vytis-VDU|11,13,2,22,24",24,Gabrielius Čelka,13,Kajus Leliukas,9,22,4,5,7,1.29,3.14
Mažeikių M Basket,"Gediminas Mokšeckas, Mindaugas Motuzas, Ernestas Naruševičius, Nickolas Ralpheal Neal, Coltie Keanu Young","Mažeikių M Basket|1,12,14,3,4",3,Nickolas Ralpheal Neal,14,Ernestas Naruševičius,11,22,0,11,10,1.1,2.2
Marijampolės Sūduva-Mantinga,"Žygimantas Šimonis, Marijus Užupis, Aurelijus Pukelis, Ernestas Jaškus, Domantas Vilys","Marijampolės Sūduva-Mantinga|0,13,24,37,88",88,Domantas Vilys,0,Žygimantas Šimonis,8,22,6,2,6,1.33,3.67
Šakių Vytis-VDU,"Rokas Jocys, Augustinas Mikštas, Nojus Vaivada, Titas Januševičius, Gabrielius Čelka","Šakių Vytis-VDU|11,12,2,22,24",24,Gabrielius Čelka,22,Titas Januševičius,9,22,4,5,5,1.8,4.4
Mažeikių M Basket,"Gediminas Mokšeckas, Mindaugas Motuzas, Ernestas Naruševičius, Nickolas Ralpheal Neal, Coltie Keanu Young","Mažeikių M Basket|1,12,14,3,4",3,Nickolas Ralpheal Neal,4,Coltie Keanu Young,8,21,5,3,6,1.33,3.5
Kėdainių sporto centras,"Ignas Lukošius, Rokas Ūzas, Paulius Semaška, Medas Kuprijanovas, Laurynas Danielius","Kėdainių sporto centras|15,37,4,44,5",4,Paulius Semaška,44,Medas Kuprijanovas,10,21,1,9,7,1.43,3.0
Kėdainių sporto centras,"Ignas Lukošius, Rokas Ūzas, Paulius Semaška, Medas Kuprijanovas, Laurynas Danielius","Kėdainių sporto centras|15,37,4,44,5",5,Laurynas Danielius,15,Ignas Lukošius,10,20,0,10,7,1.43,2.86
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga, Nojus Jankūnas","Šilutės Šilutė-PDS.lt|1,10,13,23,31",13,Lukas Kazlauskas,23,Norbertas Giga,9,20,2,7,6,1.5,3.33
Šilutės Šilutė-PDS.lt,"Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga, Nojus Jankūnas, Adas Šimonis","Šilutės Šilutė-PDS.lt|10,13,23,31,7",13,Lukas Kazlauskas,10,Frederick Fitzgerald Gates Jr,9,20,2,7,6,1.5,3.33
Kėdainių sporto centras,"Ignas Lukošius, Augustas Žilinskas, Rokas Ūzas, Paulius Semaška, Laurynas Danielius","Kėdainių sporto centras|15,30,37,4,5",37,Rokas Ūzas,15,Ignas Lukošius,10,20,0,10,8,1.25,2.5
