Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Mažeikių M Basket,"Coltie Keanu Young, Ernestas Naruševičius, Gediminas Mokšeckas, Mindaugas Motuzas, Nickolas Ralpheal Neal",23,13777,122.2,433,167,370,45.1,49,156,31.4,50,54,92.6,38,134,172,96,43,12,74,91,426,74.7,74.2,75.2,32.4,31.9,51.8,55,57.5,19.3,73.6,13.1,14.6,42.2,101.7,492,185,384,48.2,59,172,34.3,63,72,87.5,48,159,207,122,41,16,72,103,432,55.9,59.2,14.8,26.4,44.8,114,0,0,0,214,118,55.1,156,49,31.4,0,0,0,76,-12.3,0,0,0,212,126,59.4,172,59,34.3,0,0,0,74,37,105,86,68,127,129
Kėdainių sporto centras,"Ignas Lukošius, Laurynas Danielius, Medas Kuprijanovas, Paulius Semaška, Rokas Ūzas",22,12657,82.8,442,174,358,48.6,38,132,28.8,56,66,84.8,51,154,205,119,42,24,85,87,414,77.7,78.6,76.9,30.5,31.2,53.9,57.1,68.4,29.3,71,14.4,18.4,36.9,106.7,381,150,373,40.2,39,155,25.2,42,45,93.3,63,123,186,86,57,9,82,112,406,45.4,48.5,17.3,29,41.6,94,0,0,0,226,136,60.2,132,38,28.8,0,0,0,85,12.7,0,0,0,218,111,50.9,155,39,25.2,0,0,0,84,67,126,119,68,102,96
Kretingos Kretinga-Rivile,"Edgaras Danys, Jalen Warren, Julius Kazakauskas, Mantvydas Staniulis, Rytis Zabita",19,11099,81.5,347,135,313,43.1,30,122,24.6,47,54,87,49,109,158,97,27,6,51,83,332,70.9,71.8,70.1,33.4,34.3,47.9,51.5,71.9,29.2,74.7,10.5,17.3,39,104.5,376,147,296,49.7,45,127,35.4,37,44,84.1,37,119,156,85,26,14,49,95,324,57.3,59.6,13.4,25.3,42.9,116.1,0,0,0,191,105,55,122,30,24.6,0,0,0,52,-11.6,0,0,0,169,102,60.4,127,45,35.4,0,0,0,53,61,65,60,49,90,57
Šilutės Šilutė-PDS.lt,"Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Nojus Jankūnas, Norbertas Giga",25,10997,64.8,396,155,283,54.8,32,87,36.8,54,58,93.1,39,116,155,98,29,6,62,70,328,70.6,71.7,69.6,33.5,34.5,60.4,64.2,63.2,30.7,80,13.2,20.5,30.7,120.6,349,129,276,46.7,48,124,38.7,43,53,81.1,29,88,117,91,30,11,51,90,319,55.4,58.3,14.6,20,44.9,109.5,0,0,0,196,123,62.8,87,32,36.8,0,0,0,62,11.1,0,0,0,152,81,53.3,124,48,38.7,0,0,0,53,46,102,75,32,84,68
Marijampolės Sūduva-Mantinga,"Aurelijus Pukelis, Domantas Vilys, Ernestas Jaškus, Marijus Užupis, Žygimantas Šimonis",26,10083,79.8,398,141,269,52.4,53,140,37.9,63,69,91.3,54,125,179,91,33,7,54,77,291,68.1,69.3,66.9,34.6,35.9,62.3,66.5,64.5,45.4,89.3,12.2,25.7,52,136.7,236,94,233,40.3,17,86,19.8,31,36,86.1,15,65,80,53,32,10,48,105,281,44,47.4,16.2,10.7,36.9,84,0,0,0,129,88,68.2,140,53,37.9,0,0,0,56,52.7,0,0,0,147,77,52.4,86,17,19.8,0,0,0,48,79,84,52,15,44,43
Telšių Telšiai,"Deividas Rasys, Ignas Razutis, Martynas Gecevičius, Ovidijus Kaminskis, Vilius Pocius",19,7938,63.8,241,94,198,47.5,23,72,31.9,30,34,88.2,15,92,107,64,25,6,46,53,241,72.5,72.9,72,32.9,33.3,53.3,56.6,68.1,16,78.6,14.2,17.2,36.4,99.9,251,99,215,46,25,71,35.2,28,29,96.6,25,79,104,60,27,7,37,72,238,51.9,55.1,14,21.4,33,105.4,0,0,0,126,71,56.3,72,23,31.9,0,0,0,47,-5.4,0,0,0,144,74,51.4,71,25,35.2,0,0,0,39,19,52,38,38,68,72
Šilutės Šilutė-PDS.lt,"Adas Šimonis, Devin Lavonne Hutchinson, Frederick Fitzgerald Gates Jr, Lukas Kazlauskas, Norbertas Giga",25,7634,45.5,274,108,208,51.9,24,62,38.7,34,35,97.1,26,87,113,59,18,4,44,68,240,74.3,75.5,73.1,31.8,32.8,57.7,61.3,54.6,25.5,79.1,13.5,16.8,29.8,114.1,263,100,216,46.3,33,87,37.9,30,33,90.9,23,76,99,62,27,8,28,53,233,53.9,57,10.8,20.9,40.3,113.1,0,0,0,146,84,57.5,62,24,38.7,0,0,0,47,1,0,0,0,129,67,51.9,87,33,37.9,0,0,0,28,37,63,50,30,48,51
Plungės Olimpas,"Colin Gabriel Golson Jr, Modestas Jurkaitis, Rokas Kreišmontas, Tadas Budrys, Thomas Deangelo Miles",21,7373,49.4,231,93,202,46,17,57,29.8,28,32,87.5,34,70,104,45,34,4,50,59,228,73.1,74.1,72.2,32.4,33.3,50.2,53.5,48.4,33,73.7,16.1,15.8,28.2,101.5,251,91,188,48.4,32,83,38.6,37,41,90.2,25,69,94,59,22,6,43,44,222,56.9,60.9,17.3,26.3,44.1,113.2,0,0,0,145,76,52.4,57,17,29.8,0,0,0,53,-11.7,0,0,0,105,59,56.2,83,32,38.6,0,0,0,45,27,42,45,26,62,72
Šakių Vytis-VDU,"Augustinas Mikštas, Gabrielius Čelka, Nojus Vaivada, Rokas Jocys, Titas Januševičius",22,6944,51.6,256,100,189,52.9,26,80,32.5,30,34,88.2,22,57,79,69,29,6,36,39,216,74.9,74.6,75.2,32.2,31.9,59.8,62.8,69,25.3,57.6,11.7,18,42.3,118.6,256,109,213,51.2,22,62,35.5,16,20,80,42,65,107,55,24,4,43,45,218,56.3,57.7,16.2,42.4,29.1,117.7,0,0,0,109,74,67.9,80,26,32.5,0,0,0,36,0.9,0,0,0,151,87,57.6,62,22,35.5,0,0,0,43,32,82,54,55,35,43
Kėdainių sporto centras,"Arminas Kelmelis, Ignas Lukošius, Laurynas Danielius, Paulius Semaška, Rokas Ūzas",17,6561,61.0,204,83,187,44.4,26,89,29.2,12,15,80,16,78,94,57,14,9,40,58,215,77.9,78.8,77.1,30.5,31.1,51.3,52.7,68.7,16.3,77.2,13.8,8,47.6,94.7,218,82,192,42.7,24,73,32.9,30,33,90.9,23,82,105,58,23,7,31,48,211,49,52.8,13.1,22.8,38,103.5,0,0,0,98,57,58.2,89,26,29.2,0,0,0,40,-8.8,0,0,0,119,58,48.7,73,24,32.9,0,0,0,31,13,53,47,27,48,45
