Canonical,Team,Numbers,Variations
Paulius Semaška,Kėdainių sporto centras,4,Paulius Semaška
Laurynas Danielius,Kėdainių sporto centras,5,Laurynas Danielius
Ignas Lukošius,Kėdainių sporto centras,15,Ignas Lukošius
Rokas Ūzas,Kėdainių sporto centras,37,Rokas Ūzas
Medas Kuprijanovas,Kėdainių sporto centras,44,Medas Kuprijanovas
Amir Malek,Kėdainių sporto centras,8,Amir Malek
Povilas Dambrauskas,Kėdainių sporto centras,13,Povilas Dambrauskas
Laurynas Bimba,Kėdainių sporto centras,17,Laurynas Bimba
Darius Gvezdauskas,Kėdainių sporto centras,21,Darius Gvezdauskas
Augustas Žilinskas,Kėdainių sporto centras,30,Augustas Žilinskas
Devin Lavonne Hutchinson,Šilutės Šilutė-PDS.lt,1,Devin Lavonne Hutchinson
Frederick Fitzgerald Gates Jr,Šilutės Šilutė-PDS.lt,10,Frederick Fitzgerald Gates Jr
Lukas Kazlauskas,Šilutės Šilutė-PDS.lt,13,Lukas Kazlauskas
Norbertas Giga,Šilutės Šilutė-PDS.lt,23,Norbertas Giga
Nojus Jankūnas,Šilutės Šilutė-PDS.lt,31,Nojus Jankūnas
Adas Šimonis,Šilutės Šilutė-PDS.lt,7,Adas Šimonis
Demetrius Lake,Šilutės Šilutė-PDS.lt,11,Demetrius Lake
Julius Jucikas,Šilutės Šilutė-PDS.lt,27,Julius Jucikas
Gabrielius Bubnys,Vilniaus Rytas-2,14,Gabrielius Bubnys
Ignas Urbonas,Vilniaus Rytas-2,16,Ignas Urbonas
Nikas Stuknys,Vilniaus Rytas-2,19,Nikas Stuknys
Gantas Križanauskas,Vilniaus Rytas-2,22,Gantas Križanauskas
Arminas Vilkas,Vilniaus Rytas-2,27,Arminas Vilkas
Mantas Liutkevičius,Vilniaus Rytas-2,5,Mantas Liutkevičius
Gabrielius Jokubauskas,Vilniaus Rytas-2,8,Gabrielius Jokubauskas
Artūras Vilutis,Vilniaus Rytas-2,10,Artūras Vilutis
Vincentas Adomaitis,Vilniaus Rytas-2,34,Vincentas Adomaitis
Mantvydas Staniulis,Kretingos Kretinga-Rivile,5,Mantvydas Staniulis
Edgaras Danys,Kretingos Kretinga-Rivile,6,Edgaras Danys
Rytis Zabita,Kretingos Kretinga-Rivile,13,Rytis Zabita
Julius Kazakauskas,Kretingos Kretinga-Rivile,22,Julius Kazakauskas
Vytautas Saulis,Kretingos Kretinga-Rivile,13/33,Vytautas Saulis
Justas Žiubrys,Kretingos Kretinga-Rivile,7,Justas Žiubrys
Justin Taylor Young,Kretingos Kretinga-Rivile,23,Justin Taylor Young
Jalen Warren,Kretingos Kretinga-Rivile,55,Jalen Warren
Neilas Sabutis,Kėdainių sporto centras,14,Neilas Sabutis
Adomas Pocius,Vilniaus Rytas-2,2,Adomas Pocius
Kornelijus Snitka,Vilniaus Rytas-2,9,Kornelijus Snitka
Erikas Sirgedas,Vilniaus Rytas-2,23,Erikas Sirgedas
Kaloyan Svilenov Balkandzhiev,Vilniaus Rytas-2,99,Kaloyan Svilenov Balkandzhiev
Armandas Bancevičius,Vilkaviškio Perlas Go,23/4,Armandas Bancevičius
Titas Pažarauskas,Vilkaviškio Perlas Go,5,Titas Pažarauskas
Theodore Kieth Gadsden Jr,Vilkaviškio Perlas Go,21,Theodore Kieth Gadsden Jr
Gabriel Bennett Quillan,Vilkaviškio Perlas Go,33,Gabriel Bennett Quillan
Giedrius Stankevičius,Vilkaviškio Perlas Go,34,Giedrius Stankevičius
Ąžuolas Hopenas,Vilkaviškio Perlas Go,2/7,Ąžuolas Hopenas
Mantvydas Žukauskas,Vilkaviškio Perlas Go,19,Mantvydas Žukauskas
Jorell Ty Saterfield,Vilkaviškio Perlas Go,23,Jorell Ty Saterfield
Gustas Kučinskas,Vilkaviškio Perlas Go,35,Gustas Kučinskas
Žygimantas Skučas,Vilkaviškio Perlas Go,50,Žygimantas Skučas
