Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Šilutės Šilutė-PDS.lt,Frederick Fitzgerald Gates Jr,10,Frederick Fitzgerald  Gates Jr,41,31.5,1292.2,640.0,15.6,266.0,497.0,53.5,24.0,81.0,29.6,84.0,132.0,63.6,83.0,203.0,286.0,82.0,26.0,22.0,65.0,86.0,515.6,20.0,19.4,2.5,8.7,167,807.0,19.7,24.4,59,3.5,36,13,70.7,47.7,17,0.64,-1.52,2.16,4.1,3.1,0.0,0.0,0,416.0,242.0,58.2,81.0,24.0,29.6,0.0,0.0,0.0,0.0,0.0,65.0,119.0,192.0,122.0
Kretingos Kretinga-Rivile,Justas Žiubrys,7,Justas  Žiubrys,41,16.2,662.4,381.0,9.3,129.0,336.0,38.4,56.0,201.0,27.9,67.0,77.0,87,7.0,37.0,44.0,30.0,15.0,0.0,33.0,75.0,380.0,29.6,11.9,0.9,1.4,63,444.0,10.8,13.8,32,1.7,32,7,45.6,41.1,19,-3.62,-3.82,0.2,2.4,3.4,0.0,0.0,0,135.0,73.0,54.1,201.0,56.0,27.9,0.0,23.0,0.0,0.0,0.0,33.0,44.0,94.0,69.0
Šilutės Šilutė-PDS.lt,Adas Šimonis,7,Adas  Šimonis,41,23.5,962.8,147.0,3.6,45.0,160.0,28.1,29.0,114.0,25.4,28.0,38.0,73.7,13.0,69.0,82.0,38.0,15.0,6.0,22.0,99.0,178.3,9.3,4.4,1.1,2.5,77,224.0,5.5,6.8,8,1.3,5,6,52.4,7.6,6,-5.4,-7.01,1.61,2.8,5.0,0.0,0.0,0,46.0,16.0,34.8,114.0,29.0,25.4,0.0,3.0,0.0,0.0,0.0,22.0,11.0,50.0,26.0
Kretingos Kretinga-Rivile,Jalen Warren,55,Jalen  Warren,40,23.2,927.0,502.0,12.6,177.0,402.0,44,57.0,181.0,31.5,91.0,121.0,75.2,15.0,82.0,97.0,79.0,33.0,11.0,42.0,103.0,463.0,25.8,15.7,2.5,3.0,185,687.0,17.2,21.4,86,4.5,61,27,59.0,75.9,19,0.86,-1.9,2.76,2.7,2.6,0.0,0.0,0,221.0,120.0,54.3,181.0,57.0,31.5,0.0,15.0,0.0,0.0,0.0,42.0,54.0,117.0,96.0
Jurbarko Jurbarkas-Karys-Manvesta,Karolis Guščikas,10,Karolis  Guščikas,40,25.5,1020.4,456.0,11.4,194.0,323.0,60.1,0.0,5.0,0,68.0,142.0,47.9,124.0,216.0,340.0,88.0,38.0,65.0,93.0,97.0,340.3,17.4,14.8,2.9,11.0,197,653.0,16.3,21.2,67,4.2,39,12,75.7,51.3,16,4.05,-2.99,7.04,5.0,2.8,0.0,0.0,0,318.0,194.0,61,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,93.0,108.0,33.0,80.0
Šilutės Šilutė-PDS.lt,Lukas Kazlauskas,13,Lukas  Kazlauskas,40,27.7,1109.8,445.0,11.1,181.0,336.0,53.9,11.0,42.0,26.2,72.0,90.0,80,38.0,155.0,193.0,243.0,37.0,0.0,84.0,131.0,404.7,18.3,13.5,7.4,5.8,495,940.0,23.5,28.4,53,2.9,31,14,71.3,49.2,18,0.97,-2.15,3.12,1.9,1.2,0.0,0.0,0,294.0,170.0,57.8,42.0,11.0,26.2,0.0,6.0,0.0,0.0,0.0,84.0,52.0,89.0,62.0
Jurbarko Jurbarkas-Karys-Manvesta,Karolis Kokoška,17,Karolis  Kokoška,40,27.5,1099.1,410.0,10.2,165.0,362.0,45.6,69.0,199.0,34.7,11.0,23.0,47.8,49.0,142.0,191.0,66.0,33.0,9.0,36.0,68.0,344.8,16.4,13.3,2.1,6.2,151,561.0,14.0,18.2,43,2.1,37,1,57.4,41.4,20,1.91,-2.8,4.71,3.2,3.7,0.0,0.0,0,163.0,96.0,58.9,199.0,69.0,34.7,0.0,4.0,0.0,0.0,0.0,36.0,82.0,85.0,87.0
Jurbarko Jurbarkas-Karys-Manvesta,Justas Tamulis,55,Justas  Tamulis,40,23.4,934.5,368.0,9.2,133.0,336.0,39.6,60.0,197.0,30.5,42.0,56.0,75,15.0,89.0,104.0,122.0,32.0,6.0,42.0,75.0,372.1,20.8,12.0,4.0,3.4,256,624.0,15.6,20.3,54,2.7,38,9,64.3,46.0,20,1.35,-3.35,4.7,2.1,3.0,0.0,0.0,0,139.0,73.0,52.5,197.0,60.0,30.5,0.0,5.0,0.0,0.0,0.0,42.0,32.0,84.0,71.0
Klaipėdos Neptūnas-Akvaservis,Rytis Šakaitis,12,Rytis  Šakaitis,40,24.8,993.3,362.0,9.1,111.0,253.0,43.9,46.0,141.0,32.6,94.0,120.0,78.3,27.0,108.0,135.0,83.0,15.0,1.0,30.0,34.0,296.4,16.0,12.0,2.8,4.5,172,534.0,13.3,17.7,26,2.0,21,14,47.9,29.2,13,2.02,-1.7,3.72,2.7,2.8,0.0,0.0,0,112.0,65.0,58,141.0,46.0,32.6,0.0,18.0,0.0,0.0,0.0,30.0,36.0,84.0,73.0
Kretingos Kretinga-Rivile,Rytis Zabita,13,Rytis  Zabita,40,25.7,1026.2,356.0,8.9,157.0,263.0,59.7,1.0,3.0,33.3,41.0,97.0,42.3,116.0,237.0,353.0,66.0,29.0,10.0,48.0,85.0,228.2,11.5,11.1,2.1,11.0,137,493.0,12.3,15.4,19,1.9,15,3,58.2,17.3,10,0.79,-1.94,2.73,5.0,3.5,0.0,0.0,0,260.0,156.0,60,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,48.0,108.0,41.0,55.0
