game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
NKL_125090,2026-03-19,Kėdainių sporto centras,85,32,78,24,50,8,28,13,18,14,26,40,21,7,5,12,18,0,0,81.9,82.0
NKL_125090,2026-03-19,Šilutės Šilutė-PDS.lt,88,34,72,27,48,7,24,13,15,7,29,36,22,6,0,12,16,0,0,82.0,82.0
NKL_125091,2026-03-19,Vilniaus Rytas-2,87,35,72,29,44,6,28,11,20,13,17,30,23,10,4,11,29,0,0,77.9,76.9
NKL_125091,2026-03-19,Kretingos Kretinga-Rivile,93,27,55,17,31,10,24,29,39,9,24,33,13,9,2,14,21,0,0,75.8,76.9
NKL_124860,2026-03-14,Kėdainių sporto centras,87,29,63,19,35,10,28,19,30,13,26,39,19,7,4,13,14,0,0,75.7,76.3
NKL_124860,2026-03-14,Vilniaus Rytas-2,78,32,74,22,40,10,34,4,7,12,22,34,16,9,1,14,26,0,0,76.9,76.3
NKL_124861,2026-03-14,Vilkaviškio Perlas Go,92,35,68,33,55,2,13,20,29,15,22,37,15,6,2,16,31,0,0,80.7,79.4
NKL_124861,2026-03-14,Kauno Žalgiris-2,81,26,54,22,38,4,16,25,41,8,18,26,13,5,7,14,27,0,0,78.1,79.4
NKL_124862,2026-03-14,Mažeikių M Basket,113,42,74,28,45,14,29,15,19,9,19,28,22,17,2,9,18,0,0,81.7,82.8
NKL_124862,2026-03-14,Šakių Vytis-VDU,99,39,66,27,35,12,31,9,13,5,23,28,21,6,1,18,17,0,0,83.7,82.8
NKL_124863,2026-03-14,Telšių Telšiai,68,29,63,25,42,4,21,6,13,6,20,26,12,8,0,11,18,0,0,73.5,72.3
NKL_124863,2026-03-14,Marijampolės Sūduva-Mantinga,84,30,66,17,26,13,40,11,17,12,29,41,18,10,1,12,20,0,0,71.0,72.3
NKL_124864,2026-03-14,Ukmergės Stekas,103,39,87,26,54,13,33,12,21,19,25,44,19,10,2,16,22,0,0,91.9,81.8
NKL_124864,2026-03-14,Kretingos Kretinga-Rivile,107,43,83,33,51,10,32,11,17,9,29,38,23,12,3,13,22,0,0,92.2,81.8
NKL_124865,2026-03-14,Jurbarko Jurbarkas-Karys-Manvesta,90,35,66,26,38,9,28,11,16,7,19,26,25,9,2,12,22,0,0,76.7,76.2
NKL_124865,2026-03-14,Palangos Olimpas,85,29,60,17,29,12,31,15,19,8,21,29,18,5,1,17,19,0,0,75.5,76.2
NKL_124866,2026-03-14,Plungės Olimpas,98,38,65,28,43,10,22,12,15,6,25,31,27,11,1,12,18,0,0,76.7,77.8
NKL_124866,2026-03-14,Kauno r. Omega-Tauras-LSU,89,35,75,25,34,10,41,9,13,12,19,31,23,7,1,12,18,0,0,78.8,77.8
NKL_124867,2026-03-14,Šilutės Šilutė-PDS.lt,84,33,68,23,45,10,23,8,12,9,31,40,15,3,0,7,20,0,0,70.4,71.8
NKL_124867,2026-03-14,Klaipėdos Neptūnas-Akvaservis,85,31,70,19,36,12,34,11,20,12,25,37,14,3,1,6,16,0,0,73.2,71.8
NKL_124852,2026-03-12,Vilniaus Rytas-2,88,35,70,23,39,12,31,6,9,15,19,34,19,12,2,16,19,0,0,72.4,71.2
NKL_124852,2026-03-12,Telšių Telšiai,65,24,52,17,30,7,22,10,16,6,17,23,13,7,1,18,16,0,0,69.8,71.2
NKL_124857,2026-03-12,Palangos Olimpas,72,29,69,23,37,6,32,8,16,10,24,34,20,8,3,10,23,0,0,76.3,76.6
NKL_124857,2026-03-12,Plungės Olimpas,79,27,58,18,32,9,26,16,24,4,34,38,18,8,2,13,18,0,0,76.8,76.6
NKL_124858,2026-03-12,Kretingos Kretinga-Rivile,77,28,72,22,46,6,26,15,25,12,27,39,22,9,2,12,18,0,0,81.9,81.0
NKL_124858,2026-03-12,Jurbarko Jurbarkas-Karys-Manvesta,88,34,70,21,35,13,35,7,12,11,31,42,22,8,4,16,25,0,0,80.1,81.0
NKL_124853,2026-03-12,Marijampolės Sūduva-Mantinga,99,31,67,10,20,21,47,16,23,14,32,46,32,5,3,12,22,0,0,72.3,72.7
NKL_124853,2026-03-12,Mažeikių M Basket,70,27,68,23,47,4,21,12,17,10,18,28,12,7,3,8,19,0,0,73.0,72.7
NKL_124854,2026-03-12,Šakių Vytis-VDU,89,32,65,29,44,3,21,22,33,8,24,32,18,6,0,6,17,0,0,77.4,74.4
NKL_124854,2026-03-12,Vilkaviškio Perlas Go,82,32,79,22,48,10,31,8,10,16,27,43,10,5,2,8,24,0,0,71.3,74.4
NKL_124855,2026-03-12,Kauno Žalgiris-2,92,37,77,28,55,9,22,9,17,16,23,39,25,8,3,11,24,0,0,78.4,76.0
NKL_124855,2026-03-12,Kėdainių sporto centras,86,28,70,19,40,9,30,21,26,18,24,42,22,7,5,12,21,0,0,73.7,76.0
NKL_124856,2026-03-12,Kauno r. Omega-Tauras-LSU,88,34,71,24,44,10,27,10,14,8,16,24,23,5,2,12,20,0,0,79.6,78.8
NKL_124856,2026-03-12,Šilutės Šilutė-PDS.lt,92,40,70,37,54,3,16,9,14,11,25,36,24,7,2,15,17,0,0,78.1,78.8
NKL_124859,2026-03-12,Alytaus Alytus,101,38,76,25,47,13,29,12,18,10,26,36,16,5,1,6,19,0,0,79.5,80.0
NKL_124859,2026-03-12,Ukmergės Stekas,92,36,79,26,50,10,29,10,19,15,29,44,17,4,1,10,21,0,0,80.5,80.0
NKL_124849,2026-03-07,Kauno r. Omega-Tauras-LSU,94,30,72,19,40,11,32,23,32,11,23,34,28,10,0,10,23,0,0,84.0,84.0
NKL_124849,2026-03-07,Jurbarko Jurbarkas-Karys-Manvesta,98,35,65,26,38,9,27,19,22,5,30,35,28,5,2,15,26,0,0,83.9,84.0
NKL_124851,2026-03-07,Kretingos Kretinga-Rivile,101,35,71,22,43,13,28,18,31,11,24,35,30,6,4,12,19,0,0,85.5,82.9
NKL_124851,2026-03-07,Alytaus Alytus,97,36,70,24,41,12,29,13,18,10,27,37,19,8,8,13,26,0,0,80.2,82.9
NKL_124844,2026-03-07,Vilniaus Rytas-2,94,34,61,25,33,9,28,17,18,7,19,26,22,3,3,14,22,0,0,75.1,74.5
NKL_124844,2026-03-07,Mažeikių M Basket,90,32,62,20,29,12,33,14,17,6,19,25,16,7,1,12,20,0,0,73.8,74.5
NKL_124845,2026-03-07,Telšių Telšiai,72,26,58,20,33,6,25,14,23,7,21,28,18,7,4,8,17,0,0,68.4,69.1
NKL_124845,2026-03-07,Vilkaviškio Perlas Go,77,29,63,21,40,8,23,11,16,12,24,36,15,5,0,13,18,0,0,69.8,69.1
NKL_124846,2026-03-07,Marijampolės Sūduva-Mantinga,96,34,73,17,34,17,39,11,15,14,25,39,21,7,3,11,19,0,0,75.6,76.1
NKL_124846,2026-03-07,Kėdainių sporto centras,63,23,67,17,40,6,27,11,18,12,25,37,11,5,2,17,20,0,0,76.7,76.1
