Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΠΑΠΑΡΕΓΚΑΣ ΝΙΚΟΛΑΟΣ, ΜΕΛΙΣΣΑΡΑΤΟΣ ΠΕΤΡΟΣ-ΧΑΡΑΛΑΜΠΟΣ, ΓΕΡΟΜΙΧΑΛΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΓΕ ΧΑΛΚΙΔΑΣ|0,23,3,6,7",6,25.5,1528.0,44,13,32,40.6,5,19,26.3,13,19,68.4,0,0,0,9,0,0,9,0,46,49.4,89.1,97.5,-8.4,1.73,-2
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"VICTOR CRAIG, ST HILAIRE DEREK CEDOR, ΝΙΚΟΛΑΙΔΗΣ ΑΠΟΣΤΟΛΟΣ, ΙΩΑΝΝΙΔΗΣ ΙΩΑΝΝΗΣ, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ","ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ|0,10,5,59,7",8,22.4,1342.0,48,14,33,42.4,6,13,46.2,14,19,73.7,0,0,0,8,0,0,7,0,41,48.4,99.3,77.0,22.2,2.15,7
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"ΜΠΕΛΗ ΟΡΕΣΤΗΣ, PETTEWAY TERRAN-JOSEPH-JAMES, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ, REECE CAMRON, ΚΟΗΣ ΠΑΝΑΓΙΩΤΗΣ","ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ|14,2,3,5,7",6,22.0,1320.0,32,10,23,43.5,3,10,30.0,9,15,60.0,0,0,0,10,0,0,6,0,38,35.6,89.9,102.3,-12.4,1.45,-6
ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΜΕΛΙΣΣΑΡΑΤΟΣ ΠΕΤΡΟΣ-ΧΑΡΑΛΑΜΠΟΣ, ΣΑΜΑΡΤΖΙΚ ΒΟΥΚΑΝ, ΓΕΡΟΜΙΧΑΛΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΓΕ ΧΑΛΚΙΔΑΣ|0,23,6,62,7",5,17.9,1074.0,31,10,21,47.6,4,11,36.4,7,12,58.3,0,0,0,6,0,0,3,0,28,29.3,105.9,75.6,30.3,1.73,3
ΓΣ ΣΟΦΑΔΩΝ,"ΜΠΟΥΝΤΟΥΡΗΣ ΧΡΗΣΤΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΑΛΕΞΗΣ, BOTHWELL MICHAEL CLAYTON, ΤΟΥΛΟΥΠΗΣ ΕΥΑΓΓΕΛΟΣ, ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","ΓΣ ΣΟΦΑΔΩΝ|12,21,3,5,7",2,17.0,1018.0,18,6,13,46.2,1,4,25.0,5,11,45.5,0,0,0,2,0,0,7,0,15,24.8,72.5,59.2,13.2,1.06,3
ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ,"ΧΑΡΑΛΑΜΠΙΔΗΣ ΠΑΝΤΕΛΕΗΜΩΝ, ΚΑΛΑΙΤΖΙΔΗΣ ΔΗΜΗΤΡΙΟΣ, BANKS III DARYL LEE, ΠΟΥΡΛΙΔΑΣ ΒΑΣΙΛΕΙΟΣ, ΝΩΤΗΣ ΓΕΩΡΓΙΟΣ","ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ|12,15,5,6,9",2,14.8,888.0,25,8,12,66.7,2,4,50.0,7,10,70.0,0,0,0,5,0,0,4,0,19,20.4,122.5,107.0,15.6,1.69,6
ΨΥΧΙΚΟΥ ΑΕ,"ΔΗΜΑΚΟΣ ΙΩΑΝΝΗΣ, ΘΕΟΔΩΡΟΥ ΗΛΙΑΣ, ΚΟΥΚΑΣ ΓΕΩΡΓΙΟΣ, ΜΠΟΥΡΝΕΛΕΣ ΓΕΩΡΓΙΟΣ, ΑΝΤΩΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ","ΨΥΧΙΚΟΥ ΑΕ|22,27,3,4,7",1,14.8,887.0,9,2,9,22.2,2,7,28.6,3,4,75.0,0,0,0,1,0,0,1,0,9,11.8,76.5,89.3,-12.8,0.61,0
ΕVERTECH ΠΑΠΑΓΟΥ,"ΜΠΙΛΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ, ADDERTON JARRETT BRYCE, SCOTT KALEB HASAN, ΜΑΛΕΛΗΣ ΦΩΤΙΟΣ","ΕVERTECH ΠΑΠΑΓΟΥ|1,19,2,30,7",2,13.4,804.0,28,8,19,42.1,3,8,37.5,9,10,90.0,0,0,0,9,0,0,1,0,24,24.4,114.8,93.6,21.2,2.09,4
ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,"ROBINSON TRENT DANIEL, ΣΤΑΥΡΑΚΟΥΚΑΣ ΒΑΣΙΛΕΙΟΣ, ALLEN TERRELL GLENN, ΦΥΤΡΟΣ ΙΩΑΝΝΗΣ, ΣΑΧΠΑΤΖΙΔΗΣ ΙΩΑΝΝΗΣ","ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA|1,13,2,22,9",5,13.2,790.0,22,6,18,33.3,3,11,27.3,7,12,58.3,0,0,0,4,0,0,2,0,21,25.3,87.0,81.1,5.9,1.67,1
ΓΣ ΣΟΦΑΔΩΝ,"ΕΥΣΤΑΘΙΑΔΗΣ ΙΩΑΝΝΗΣ-ΠΑΝΑΓΙΩΤΗΣ, ΧΑΤΖΗΣ ΔΗΜΗΤΡΙΟΣ, ΤΟΥΛΟΥΠΗΣ ΕΥΑΓΓΕΛΟΣ, ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΕΠΑΜΕΙΝΩΝΔΑΣ ΕΠΑΜΕΙΝΩΝΔΑΣ","ΓΣ ΣΟΦΑΔΩΝ|11,4,5,7,9",1,13.2,792.0,12,4,10,40.0,1,3,33.3,3,5,60.0,0,0,0,3,0,0,6,0,11,18.2,65.9,62.4,3.6,0.91,1
