Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
ΕVERTECH ΠΑΠΑΓΟΥ,"ADDERTON JARRETT BRYCE, SCOTT KALEB HASAN, ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ, ΜΕΡΜΙΓΚΗΣ ΙΩΑΝΝΗΣ, ΜΠΙΛΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",VIKOS ΦALCONS,"ANDERSON QUINCY ARTHUR, JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",1,673,11.2,21.5,26,10,20,50,4,8,50,2,2,100,2,5,7,8,3,0,2,4,33,11,17,64.7,5,7,71.4,6,7,85.7,2,8,10,8,1,0,4,6,20.7,22.2,125.4,148.3,-23,148.3,125.4,23,-7,6,4,66.7,6,2,33.3,8,4,50,7,5,71.4,3,1,33.3,7,5,71.4,0,0,0,2,0,0,0,4,2,3,2,5,9,5
ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, ΕΤΖΙΑΚΑ ΠΑΝΑΓΙΩΤΗΣ-ΦΡΙΜΑΝ, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",ΛΑΥΡΙΟ BODERM,"ANDERSON TREY DIMITRI, LEFFEW DAKOTA, ΠΡΟΙΣΚΟΣ ΑΛΕΞΑΝΔΡΟΣ, ΣΤΑΣΙΝΟΣ ΒΑΣΙΛΕΙΟΣ-ΟΡΦΕΑΣ, ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ",1,669,11.2,20.9,18,8,23,34.8,1,11,9.1,1,3,33.3,5,6,11,7,2,0,3,3,23,10,16,62.5,3,7,42.9,0,1,0,1,8,9,9,3,0,5,6,21.1,20.5,85.1,112.1,-27,112.1,85.1,27,-5,11,7,63.6,1,0,0,11,1,9.1,4,3,75,5,4,80,7,3,42.9,0,0,0,3,0,0,0,5,4,4,4,3,5,5
ΑΟ ΑΙΓΑΛΕΩ,"ELMORE NAVAR MCCORDE, ΚΟΥΡΤΙΔΗΣ ΧΡΥΣΟΒΑΛΑΝΤΗΣ-ΤΡΙΑΝΤΑΦΥΛΛΟΣ, ΚΟΥΣΤΕΝΗΣ ΑΝΔΡΕΑΣ, ΜΠΑΛΟΣ ΕΙΡΗΝΑΙΟΣ, ΝΤΙΠΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΜΕΛΙΣΣΑΡΑΤΟΣ ΠΕΤΡΟΣ-ΧΑΡΑΛΑΜΠΟΣ, ΠΑΠΑΡΕΓΚΑΣ ΝΙΚΟΛΑΟΣ, ΣΑΜΑΡΤΖΙΚ ΒΟΥΚΑΝ",1,696,11.6,19.7,22,9,16,56.2,2,7,28.6,2,3,66.7,0,6,6,6,1,2,3,5,29,11,22,50,5,11,45.5,2,2,100,4,7,11,10,2,0,1,4,20.3,19.2,108.3,151.3,-43,151.3,108.3,43,-7,7,5,71.4,2,2,100,7,2,28.6,7,6,85.7,3,1,33.3,10,4,40,0,0,0,3,0,0,0,1,0,3,0,5,2,0
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"VICTOR CRAIG, ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΑΣΟΝΑΣ, ΙΩΑΝΝΙΔΗΣ ΙΩΑΝΝΗΣ, ΝΙΚΟΛΑΙΔΗΣ ΑΠΟΣΤΟΛΟΣ, ΣΤΑΜΑΤΟΓΙΑΝΝΗΣ ΑΛΕΞΑΝΔΡΟΣ",ΕVERTECH ΠΑΠΑΓΟΥ,"ADDERTON JARRETT BRYCE, ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ, ΜΑΛΕΛΗΣ ΦΩΤΙΟΣ, ΜΕΡΜΙΓΚΗΣ ΙΩΑΝΝΗΣ, ΜΠΙΛΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",1,636,10.6,18.1,21,7,14,50,4,6,66.7,3,4,75,3,9,12,4,2,0,4,4,16,5,15,33.3,1,9,11.1,5,6,83.3,1,4,5,5,1,0,3,4,16.6,19.6,126.9,81.8,45.1,81.8,126.9,-45.1,5,5,2,40,3,1,33.3,6,4,66.7,3,2,66.7,3,2,66.7,9,1,11.1,0,0,0,4,0,0,0,3,6,2,2,0,1,9
ΛΑΥΡΙΟ BODERM,"ANDERSON TREY DIMITRI, LEFFEW DAKOTA, ΚΑΛΟΓΗΡΟΣ ΑΝΔΡΕΑΣ, ΠΡΟΙΣΚΟΣ ΑΛΕΞΑΝΔΡΟΣ, ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ",ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ,"BANKS III DARYL LEE, DUBAR DARLINSTONE MILES, ΚΑΤΣΑΜΟΥΡΗΣ ΣΩΤΗΡΙΟΣ, ΠΟΥΡΛΙΔΑΣ ΒΑΣΙΛΕΙΟΣ, ΧΑΡΑΛΑΜΠΙΔΗΣ ΠΑΝΤΕΛΕΗΜΩΝ",1,517,8.6,17.9,23,8,19,42.1,4,9,44.4,3,4,75,5,7,12,6,1,0,2,5,14,6,13,46.2,0,3,0,2,4,50,0,6,6,3,2,2,4,4,17.4,18.8,132.1,74.6,57.5,74.6,132.1,-57.5,9,6,2,33.3,2,2,100,9,4,44.4,9,6,66.7,1,0,0,3,0,0,0,0,0,2,0,0,0,4,3,9,5,0,7,3
ΓΣ ΝΙΚΗ ΒΟΛΟΥ,"JOHNSON TYLER-ANTOINO, ΒΛΑΧΟΓΙΑΝΝΗΣ ΑΧΙΛΛΕΑΣ, ΜΠΑΛΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ, ΤΣΟΥΜΑΝΗΣ ΑΝΔΡΕΑΣ, ΦΙΛΟΞΕΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",VIKOS ΦALCONS,"ANDERSON QUINCY ARTHUR, JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",1,486,8.1,16.6,18,8,16,50,1,4,25,1,1,100,1,2,3,5,3,0,3,7,16,6,13,46.2,1,4,25,3,5,60,4,6,10,6,2,2,5,5,18.2,15.2,98.8,105.2,-6.4,105.2,98.8,6.4,2,7,5,71.4,3,2,66.7,4,1,25,9,5,55.6,0,0,0,4,1,25,0,0,0,3,0,0,0,5,0,7,8,3,7,4
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"DAVIS DEVIN-LAMONTE, GLASPER JR ROBERT-EUGENE, ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΧΑΡΙΛΑΟΣ, ΠΕΤΑΝΙΔΗΣ ΚΥΡΙΑΚΟΣ, ΠΙΛΑΒΙΟΣ ΑΛΦΡΕΔΟΣ",ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"ST HILAIRE DEREK CEDOR, VICTOR CRAIG, ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΑΣΟΝΑΣ, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ, ΝΙΚΟΛΑΙΔΗΣ ΑΠΟΣΤΟΛΟΣ",1,484,8.1,16.5,17,6,11,54.5,1,5,20,4,6,66.7,1,6,7,4,1,1,1,6,27,9,17,52.9,4,7,57.1,5,10,50,4,5,9,6,1,0,1,6,13.7,19.0,123.7,142.3,-18.6,142.3,123.7,18.6,-10,6,5,83.3,0,0,0,5,1,20,7,4,57.1,2,1,50,7,4,57.1,0,0,0,1,0,0,0,1,2,4,2,8,3,5
ΛΑΥΡΙΟ BODERM,"ANDERSON TREY DIMITRI, LEFFEW DAKOTA, ΜΑΤΑΛΙΩΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ, ΠΡΟΙΣΚΟΣ ΑΛΕΞΑΝΔΡΟΣ, ΣΙΓΑΛΑΣ ΑΝΤΩΝΙΟΣ",ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, CARTWRIGHT MAALIK JAJUAN, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",1,579,9.7,16.1,26,9,17,52.9,4,6,66.7,4,4,100,4,7,11,6,1,1,2,2,14,6,17,35.3,2,2,100,0,0,0,4,3,7,5,1,1,4,4,15.9,16.7,163.8,83.7,80.1,83.7,163.8,-80.1,12,9,4,44.4,1,1,100,6,4,66.7,11,3,27.3,2,1,50,2,2,100,0,0,0,2,0,0,0,4,9,4,5,2,3,0
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"REECE CAMRON, RICHARD MAKYE, ΔΕΛΓΑΣ ΝΙΚΟΛΑΟΣ, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ, ΜΠΕΛΗ ΟΡΕΣΤΗΣ",ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, CARTWRIGHT MAALIK JAJUAN, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",1,608,10.1,16.1,22,9,17,52.9,3,8,37.5,1,2,50,1,3,4,7,1,0,0,4,22,9,14,64.3,3,6,50,1,2,50,1,5,6,10,0,1,2,4,16.5,15.5,133.7,141.5,-7.8,141.5,133.7,7.8,0,5,5,100,3,1,33.3,8,3,37.5,6,5,83.3,2,1,50,6,3,50,0,0,0,0,0,0,0,2,2,1,1,0,2,0
ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ,"BANKS III DARYL LEE, DUBAR DARLINSTONE MILES, ΚΑΤΣΑΜΟΥΡΗΣ ΣΩΤΗΡΙΟΣ, ΝΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΠΟΥΡΛΙΔΑΣ ΒΑΣΙΛΕΙΟΣ",ΑΟ ΔΑΦΝΗΣ,"DRASKOVIC MILOVAN, ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΑΣΟΝΑΣ, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",1,414,6.9,16.0,17,8,14,57.1,0,2,0,1,1,100,2,3,5,1,5,1,4,2,12,5,11,45.5,1,3,33.3,1,2,50,3,4,7,5,3,0,7,3,16.3,15.7,104.3,76.6,27.7,76.6,104.3,-27.7,5,9,6,66.7,3,2,66.7,2,0,0,6,3,50,1,1,100,3,1,33.3,0,0,0,4,0,0,0,7,2,8,6,3,4,4
