Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, CARTWRIGHT MAALIK JAJUAN, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",15,11444,81.7,342,135,293,46.1,38,106,35.8,34,51,66.7,40,115,155,90,31,13,71,79,343,72.4,72,72.8,33.4,33.0,52.6,54.2,66.7,25.6,73.2,14.9,17.4,36.2,99.7,366,134,305,43.9,41,129,31.8,57,73,78.1,42,116,158,99,36,5,59,81,347,50.7,54.3,14.9,26.8,42.3,105.4,147,85,57.8,37,13,35.1,105,37,35.2,0,0,0,71,-5.7,113,77,68.1,49,16,32.7,129,41,31.8,0,0,0,59,44,74,53,58,77,89
ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ,"BANKS III DARYL LEE, DUBAR DARLINSTONE MILES, ΚΑΤΣΑΜΟΥΡΗΣ ΣΩΤΗΡΙΟΣ, ΝΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΠΟΥΡΛΙΔΑΣ ΒΑΣΙΛΕΙΟΣ",16,7175,64.4,261,97,187,51.9,25,64,39.1,42,56,75,24,65,89,67,33,13,40,48,227,73.8,76,71.5,31.6,33.6,58.6,61.7,69.1,25.3,59.1,12.6,29.9,34.2,114.8,230,91,203,44.8,24,77,31.2,24,38,63.2,45,71,116,60,22,4,43,54,214,50.7,52.3,16.4,40.9,37.9,107.6,90,60,66.7,28,12,42.9,64,25,39.1,0,0,0,40,7.2,84,52,61.9,28,15,53.6,76,24,31.6,0,0,0,43,39,69,57,49,32,38
VIKOS ΦALCONS,"ANDERSON QUINCY ARTHUR, JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",18,7288,42.2,263,90,193,46.6,34,91,37.4,49,65,75.4,25,71,96,63,27,3,33,56,227,72.7,74.8,70.6,32.1,34.0,55.4,59.3,70,25,77.2,10.4,33.7,47.2,115.8,226,84,173,48.6,24,70,34.3,34,46,73.9,21,75,96,55,19,7,43,58,215,55.5,58.5,18.2,22.8,40.5,105.4,67,43,64.2,25,13,52,91,34,37.4,0,0,0,33,10.5,65,43,66.2,35,17,48.6,70,24,34.3,0,0,0,43,23,59,64,26,47,50
ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,"ALLEN TERRELL GLENN, ROBINSON TRENT DANIEL, ΚΑΛΛΙΑΚΟΥΔΑΣ ΔΗΜΗΤΡΙΟΣ, ΣΑΧΠΑΤΖΙΔΗΣ ΙΩΑΝΝΗΣ, ΦΥΤΡΟΣ ΙΩΑΝΝΗΣ",13,7063,67.2,243,88,188,46.8,33,94,35.1,34,47,72.3,33,69,102,57,22,4,31,59,204,68.9,69.3,68.5,34.6,35.1,55.6,58.2,64.8,33.3,73.4,10.4,25,50,119.1,206,78,172,45.3,19,46,41.3,31,46,67.4,25,66,91,48,16,10,36,54,201,50.9,53.6,15.8,26.6,26.7,102.2,61,42,68.9,26,13,50,93,33,35.5,0,0,0,31,16.9,94,52,55.3,28,8,28.6,45,18,40,0,0,0,36,44,48,45,23,46,39
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"PETTEWAY TERRAN-JOSEPH-JAMES, REECE CAMRON, ΚΟΗΣ ΠΑΝΑΓΙΩΤΗΣ, ΚΟΥΡΤΙΔΗΣ ΧΡΥΣΟΒΑΛΑΝΤΗΣ-ΤΡΙΑΝΤΑΦΥΛΛΟΣ, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ",11,6608,48.5,227,88,166,53,25,61,41,26,40,65,22,68,90,54,17,4,42,48,200,72.8,72.7,72.9,33.0,32.9,60.5,61.8,61.4,30.6,81.9,15,24.1,36.7,113.4,205,82,173,47.4,21,68,30.9,20,28,71.4,15,50,65,50,25,4,33,54,201,53.5,55.3,15.1,18.1,39.3,102.1,70,49,70,14,3,21.4,57,23,40.4,0,0,0,42,11.3,64,46,71.9,24,11,45.8,64,21,32.8,0,0,0,33,27,30,45,19,42,44
ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΜΕΛΙΣΣΑΡΑΤΟΣ ΠΕΤΡΟΣ-ΧΑΡΑΛΑΜΠΟΣ, ΠΑΠΑΡΕΓΚΑΣ ΝΙΚΟΛΑΟΣ, ΣΑΜΑΡΤΖΙΚ ΒΟΥΚΑΝ",13,5025,29.8,193,70,130,53.8,23,53,43.4,30,37,81.1,21,53,74,46,13,4,30,27,153,73,73.1,72.8,32.8,33.0,62.7,66,65.7,36.2,76.8,13.5,28.5,40.8,126.1,155,59,143,41.3,17,59,28.8,20,28,71.4,16,37,53,38,16,6,18,32,152,47.2,49.9,10.4,23.2,41.3,101.7,57,45,78.9,15,3,20,52,22,42.3,0,0,0,30,24.5,54,30,55.6,27,12,44.4,58,17,29.3,0,0,0,18,29,35,29,17,23,48
ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, ΓΕΡΟΜΙΧΑΛΟΣ ΔΗΜΗΤΡΙΟΣ, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΜΕΛΙΣΣΑΡΑΤΟΣ ΠΕΤΡΟΣ-ΧΑΡΑΛΑΜΠΟΣ, ΠΑΠΑΡΕΓΚΑΣ ΝΙΚΟΛΑΟΣ",15,5344,21.8,183,60,124,48.4,21,57,36.8,42,50,84,20,45,65,40,9,9,25,46,150,66.9,67.3,66.4,35.6,36.1,56.9,62.7,66.7,30.8,65.2,11.8,40.3,46,122.1,177,62,137,45.3,22,56,39.3,31,36,86.1,24,45,69,45,12,4,23,53,148,53.3,57.9,13.1,34.8,40.9,119.7,47,31,66,16,8,50,57,21,36.8,0,0,0,25,2.4,49,31,63.3,21,9,42.9,55,22,40,0,0,0,23,26,32,38,29,24,35
ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,"ALLEN TERRELL GLENN, ROBINSON TRENT DANIEL, ΣΑΧΠΑΤΖΙΔΗΣ ΙΩΑΝΝΗΣ, ΣΤΑΥΡΑΚΟΥΚΑΣ ΒΑΣΙΛΕΙΟΣ, ΦΥΤΡΟΣ ΙΩΑΝΝΗΣ",16,4961,34.7,159,56,127,44.1,19,59,32.2,28,40,70,15,47,62,40,21,6,19,36,145,71,70.1,71.8,34.2,33.4,51.6,55,71.4,24.6,77,9.3,31.5,46.5,109.7,143,53,120,44.2,19,48,39.6,18,27,66.7,14,46,60,34,9,6,33,45,148,52.1,54.2,20,23,40,96.3,45,31,68.9,18,7,38.9,58,18,31,0,0,0,19,13.4,48,31,64.6,18,3,16.7,47,19,40.4,0,0,0,33,14,46,50,16,29,15
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"ST HILAIRE DEREK CEDOR, VICTOR CRAIG, ΙΩΑΝΝΙΔΗΣ ΙΩΑΝΝΗΣ, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ, ΝΙΚΟΛΑΙΔΗΣ ΑΠΟΣΤΟΛΟΣ",15,4291,11.7,159,54,123,43.9,21,53,39.6,30,37,81.1,22,40,62,31,15,4,20,39,134,75.4,74.9,76,32.0,31.6,52.4,57.1,57.4,34.4,64.5,10.5,30.1,43.1,118.7,143,49,113,43.4,9,41,22,36,48,75,22,42,64,26,12,2,26,31,136,47.3,53.3,16.2,35.5,36.3,105.3,46,26,56.5,20,5,25,51,21,41.2,0,0,0,20,13.5,48,33,68.8,18,6,33.3,40,8,20,0,0,0,26,36,34,36,22,33,22
VIKOS ΦALCONS,"ANDERSON QUINCY ARTHUR, JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",17,4779,21.5,146,54,128,42.2,20,60,33.3,18,36,50,30,37,67,34,18,7,21,37,133,67.7,66.9,68.5,35.9,35.0,50,50.8,63,40,69.8,10.6,28.1,46.9,109.6,150,58,121,47.9,17,46,37,17,20,85,16,45,61,34,12,6,27,48,136,55,57.8,17.2,30.2,38,109.9,38,28,73.7,24,6,25,59,20,33.9,0,0,0,21,-0.3,45,31,68.9,24,11,45.8,45,16,35.6,0,0,0,27,37,36,23,13,29,33
