Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",18,121.5,75,24,52,46.2,13,26,50.0,14,17,82.4,4,16,20,5,6,0,11,10,64,6,81,4.5,35.7,115.8,115.3,0.6,58.7,63.0,20.8,14.6,19,10,52.6,4,1,25,26,13,50,7,1,0,0,0,11,3,23,22
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",17,79.7,39,14,33,42.4,5,18,27.8,6,12,50.0,3,5,8,0,3,1,5,6,39,0,39,2.3,29.3,109.6,120.4,-10.7,50.0,50.9,0.0,11.6,11,9,81.8,4,0,0,17,5,29.4,5,0,0,0,0,5,7,20,9
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ, ΤΣΟΥΚΑΣ ΑΘΑΝΑΣΙΟΣ",15,69.2,45,17,28,60.7,6,13,46.2,5,7,71.4,4,19,23,1,4,2,4,4,30,2,47,3.1,39.4,118.3,97.0,21.2,71.4,72.4,5.9,11.1,10,8,80,5,3,60,13,6,46.2,4,0,0,0,0,4,10,10,18
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΔΙΑΜΑΝΤΑΚΟΣ ΓΕΩΡΓΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ, ΤΣΟΥΚΑΣ ΑΘΑΝΑΣΙΟΣ",10,48.6,26,8,16,50.0,4,10,40.0,6,8,75.0,3,11,14,4,5,0,3,2,19,7,33,3.3,33.1,111.5,112.4,-0.9,62.5,66.6,50.0,11.3,3,3,100,2,1,50,10,4,40,2,1,0,0,0,3,3,8,5
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"JONES JR RUSSEL STEVEN, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΔΙΑΜΑΝΤΑΚΟΣ ΓΕΩΡΓΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",10,40.3,10,4,14,28.6,0,5,0.0,2,2,100.0,1,7,8,1,0,0,1,1,14,0,10,1.0,13.5,107.8,110.4,-2.7,28.6,33.6,25.0,5.9,5,3,60,3,1,33.3,5,0,0,1,0,0,0,0,1,0,4,2
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ, ΤΣΟΥΚΑΣ ΑΘΑΝΑΣΙΟΣ",11,34.9,17,4,14,28.6,1,8,12.5,8,11,72.7,2,6,8,1,1,0,5,2,21,2,19,1.7,29.9,99.2,109.3,-10.1,32.1,45.1,25.0,20.1,2,2,100,3,1,33.3,8,1,12.5,0,0,0,0,0,5,6,6,5
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"JONES JR RUSSEL STEVEN, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",10,21.9,10,4,7,57.1,2,3,66.7,0,2,0.0,1,2,3,1,0,0,1,2,8,3,13,1.3,36.0,146.9,126.1,20.8,71.4,63.5,25.0,10.1,3,2,66.7,0,0,0,2,1,50,2,1,0,0,0,1,10,0,3
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ, ΤΣΟΥΚΑΣ ΑΘΑΝΑΣΙΟΣ",9,20.3,1,0,3,0.0,0,3,0.0,1,2,50.0,1,3,4,1,0,0,0,1,3,3,4,0.4,10.5,73.2,132.4,-59.2,0.0,12.9,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"JONES JR RUSSEL STEVEN, ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ, ΣΙΜΙΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",8,19.7,18,8,14,57.1,2,6,33.3,0,0,0,1,5,6,2,2,1,5,2,17,5,23,2.9,61.5,123.1,120.7,2.4,64.3,64.3,25.0,23.8,7,5,71.4,1,1,100,6,2,33.3,4,0,0,0,0,5,7,4,8
ANDERSON QUINCY ARTHUR,VIKOS ΦALCONS,5,ANDERSON QUINCY ARTHUR,"JONES JR RUSSEL STEVEN, ΔΙΑΜΑΝΤΑΚΟΣ ΓΕΩΡΓΙΟΣ, ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ",6,13.4,7,2,6,33.3,2,5,40.0,1,1,100.0,0,2,2,1,0,0,0,1,6,2,9,1.5,41.6,152.6,130.6,21.9,50.0,54.3,50.0,0.0,1,0,0,0,0,0,5,2,40,0,0,0,0,0,0,3,0,1
