Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
VIKOS ΦALCONS,2,JONES JR RUSSEL STEVEN,,25,25.9,648.1,356,14.2,117,261,44.8,73,176,41.5,49,62,79.0,12,34,46,72,43,0,20,52,58.8,61.7,22.8,115.5,20.0,9.9,2.3,6.6,4.4,21.1,3.7,0.0,6.5,0.24,13.01,7.86,5.16,50,27,54,31,17,54.8,176,73,41.5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,1,GLASPER JR ROBERT-EUGENE,,6,33.7,202.2,145,24.2,51,102,50.0,16,37,43.2,27,34,79.4,5,10,15,28,8,0,17,5,57.8,62.0,31.7,108.2,32.9,8.4,2.9,5.5,4.2,32.8,2.1,0.0,12.7,0.33,12.92,8.85,4.07,40,28,70,29,11,37.9,37,16,43.2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
VIKOS ΦALCONS,56,ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ,,25,28.7,718.7,296,11.8,109,257,42.4,36,125,28.8,42,65,64.6,19,91,110,131,45,9,56,48,49.4,51.8,22.8,86.7,16.6,7.0,3.3,15.8,9.5,32.9,3.5,1.5,16.4,0.25,11.51,5.52,5.99,66,47,71.2,59,26,44.1,125,36,28.8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,1,ROBINSON TRENT DANIEL,,24,27.6,661.3,422,17.6,146,280,52.1,41,100,41.0,89,117,76.1,40,96,136,67,37,6,65,59,59.5,63.7,29.1,106.4,24.6,5.8,7.5,17.3,12.5,24.3,3.1,1.0,16.4,0.42,11.46,5.79,5.67,120,85,70.8,47,20,42.6,99,41,41.4,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,11,ΠΟΖΟΓΛΟΥ ΝΙΚΟΛΑΣ,,22,32.4,712.3,349,15.9,122,273,44.7,52,146,35.6,53,70,75.7,37,126,163,67,53,17,49,38,54.2,57.4,21.8,98.9,20.3,8.5,6.3,22.8,14.3,15.7,3.9,2.9,13.9,0.26,11.1,6.1,5.0,93,62,66.7,28,7,25,146,52,35.6,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,2,RICHARD MAKYE,,6,29.5,176.7,101,16.8,32,93,34.4,19,51,37.3,18,23,78.3,10,16,26,31,10,3,9,18,44.6,49.0,30.8,90.1,23.2,11.7,7.0,11.1,9.1,35.2,3.1,2.1,8.0,0.25,10.51,6.13,4.37,23,10,43.5,16,3,18.8,51,19,37.3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ΛΑΥΡΙΟ BODERM,55,LEFFEW DAKOTA,,20,27.6,552.2,372,18.6,131,275,47.6,59,143,41.3,51,65,78.5,19,61,80,74,23,15,50,42,58.4,61.3,29.8,105.2,24.6,9.5,4.1,13.0,8.6,26.7,2.2,3.1,14.1,0.24,10.06,7.23,2.83,87,52,59.8,34,19,55.9,143,59,41.3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
ΑΓΕ ΧΑΛΚΙΔΑΣ,0,BRYANT ZACKERY DENZEL,,23,32.3,743.5,351,15.3,136,267,50.9,22,74,29.7,57,79,72.2,14,51,65,125,29,14,57,40,55.1,58.2,23.6,97.8,21.0,4.4,2.5,7.9,5.4,31.0,2.1,1.9,15.9,0.3,10.03,5.96,4.08,113,82,72.6,67,32,47.8,72,22,30.6,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,7,ΚΟΗΣ ΠΑΝΑΓΙΩΤΗΣ,,25,30.0,751.0,303,12.1,93,212,43.9,38,117,32.5,79,90,87.8,11,102,113,139,51,1,74,68,52.8,60.2,20.7,93.1,16.4,6.3,1.9,16.3,9.3,31.4,3.7,0.1,22.7,0.42,9.86,3.76,6.11,60,41,68.3,25,13,52,110,35,31.8,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
ΨΥΧΙΚΟΥ ΑΕ,13,WELLS SHAHADA,,23,28.4,653.1,337,14.7,111,257,43.2,30,92,32.6,85,118,72.0,15,84,99,120,50,9,76,52,49.0,54.5,28.1,87.6,19.6,5.3,2.8,15.5,9.2,38.2,4.2,1.6,19.7,0.46,9.29,2.71,6.58,124,66,53.2,20,7,35,81,27,33.3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
