Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ΕVERTECH ΠΑΠΑΓΟΥ,ADDERTON JARRETT BRYCE,2,ADDERTON JARRETT BRYCE,26,31.4,815.8,450.0,17.3,140.0,326.0,42.9,31.0,99.0,31.3,139.0,162.0,85.8,38.0,112.0,150.0,83.0,36.0,7.0,58.0,84.0,400.6,26.5,23.3,4.3,7.8,156,606.0,23.3,31.4,41,3.2,30,24,50.5,45.6,13,3.99,-1.06,5.05,3.0,2.1,126.0,73.0,57.9,93.0,36.0,38.7,98.0,31.0,31.6,46.0,7.0,0.0,0.0,0.0,58.0,58.0,112.0,98.0
ΛΑΥΡΙΟ BODERM,ANDERSON TREY DIMITRI,3,ANDERSON TREY DIMITRI,26,23.9,621.8,348.0,13.4,123.0,216.0,56.9,34.0,80.0,42.5,68.0,95.0,71.6,39.0,104.0,143.0,30.0,15.0,3.0,36.0,68.0,244.6,20.9,17.8,1.5,7.3,67,415.0,16.0,21.2,33,3.3,23,15,55.7,34.6,10,3.13,0.43,2.7,4.1,2.4,105.0,80.0,76.2,23.0,9.0,39.1,78.0,34.0,43.6,38.0,3.0,0.0,0.0,0.0,36.0,56.0,87.0,74.0
ΛΑΥΡΙΟ BODERM,ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ,19,ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ,26,26.6,691.1,269.0,10.3,103.0,213.0,48.4,33.0,81.0,40.7,30.0,48.0,62.5,40.0,89.0,129.0,40.0,24.0,6.0,26.0,51.0,211.3,16.2,13.7,2.0,6.6,74,343.0,13.2,17.5,25,1.9,21,8,51.0,28.5,13,1.45,-1.36,2.82,3.5,3.7,78.0,50.0,64.1,46.0,20.0,43.5,80.0,33.0,41.2,25.0,5.0,0.0,0.0,0.0,26.0,50.0,58.0,55.0
ΕVERTECH ΠΑΠΑΓΟΥ,ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ,19,ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ,26,28.6,743.1,261.0,10.0,93.0,216.0,43.1,25.0,100.0,25,50.0,81.0,61.7,18.0,119.0,137.0,74.0,16.0,6.0,34.0,46.0,256.9,18.6,13.5,3.8,7.1,149,410.0,15.8,21.3,25,1.9,21,17,43.9,28.5,13,1.14,-3.17,4.31,3.3,3.3,75.0,55.0,73.3,34.0,13.0,38.2,98.0,25.0,25.5,23.0,2.0,0.0,0.0,0.0,34.0,25.0,77.0,49.0
ΕVERTECH ΠΑΠΑΓΟΥ,ΜΑΛΕΛΗΣ ΦΩΤΙΟΣ,7,ΜΑΛΕΛΗΣ ΦΩΤΙΟΣ,26,24.3,632.5,212.0,8.2,68.0,181.0,37.6,36.0,114.0,31.6,40.0,57.0,70.2,29.0,71.0,100.0,28.0,20.0,14.0,34.0,71.0,202.6,17.3,11.0,1.5,5.2,49,261.0,10.0,13.5,22,1.8,24,13,37.0,34.7,12,-0.75,-4.69,3.94,3.6,4.1,55.0,29.0,52.7,8.0,3.0,37.5,114.0,36.0,31.6,14.0,2.0,0.0,0.0,0.0,34.0,36.0,23.0,25.0
ΛΑΥΡΙΟ BODERM,ΚΑΜΑΤΕΡΟΣ ΑΝΑΣΤΑΣΙΟΣ,21,ΚΑΜΑΤΕΡΟΣ ΑΝΑΣΤΑΣΙΟΣ,26,17.4,451.8,203.0,7.8,69.0,145.0,47.6,37.0,95.0,38.9,28.0,33.0,84.8,24.0,55.0,79.0,22.0,9.0,2.0,22.0,50.0,151.2,17.8,10.4,1.1,4.0,37,240.0,9.2,12.2,18,2.0,16,3,52.0,18.3,9,1.1,-0.93,2.04,3.6,3.2,29.0,22.0,75.9,20.0,10.0,50,95.0,37.0,38.9,13.0,7.0,0.0,0.0,0.0,22.0,34.0,16.0,48.0
ΛΑΥΡΙΟ BODERM,ΣΙΓΑΛΑΣ ΑΝΤΩΝΙΟΣ,7,ΣΙΓΑΛΑΣ ΑΝΤΩΝΙΟΣ,26,18.9,491.8,190.0,7.3,74.0,169.0,43.8,27.0,70.0,38.6,15.0,25.0,60,17.0,58.0,75.0,72.0,23.0,2.0,57.0,63.0,211.2,22.8,9.7,3.7,3.8,117,307.0,11.8,15.7,24,2.2,17,3,65.5,23.3,11,-1.79,-4.72,2.93,2.4,3.0,68.0,40.0,58.8,16.0,7.0,43.8,69.0,27.0,39.1,34.0,12.0,0.0,0.0,0.0,57.0,21.0,53.0,36.0
ΑΟ ΑΙΓΑΛΕΩ,ΚΟΥΣΤΕΝΗΣ ΑΝΔΡΕΑΣ,13,ΚΟΥΣΤΕΝΗΣ ΑΝΔΡΕΑΣ,26,21.1,548.2,185.0,7.1,55.0,122.0,45.1,30.0,67.0,44.8,45.0,54.0,83.3,12.0,15.0,27.0,17.0,11.0,1.0,15.0,49.0,142.8,14.2,9.7,0.9,1.4,41,226.0,8.7,11.8,14,3.5,8,0,87.5,8.0,4,-4.42,-3.44,-0.98,2.4,3.3,14.0,6.0,42.9,36.0,19.0,52.8,66.0,30.0,45.5,3.0,3.0,0.0,0.0,0.0,15.0,31.0,29.0,37.0
ΛΑΥΡΙΟ BODERM,ΚΑΛΟΓΗΡΟΣ ΑΝΔΡΕΑΣ,26,ΚΑΛΟΓΗΡΟΣ ΑΝΔΡΕΑΣ,26,17.5,455.7,112.0,4.3,39.0,106.0,36.8,16.0,59.0,27.1,18.0,25.0,72,21.0,59.0,80.0,31.0,14.0,9.0,19.0,67.0,110.4,12.9,5.7,1.6,4.1,60,172.0,6.6,8.8,16,1.8,14,6,48.1,16.6,9,-2.14,-5.6,3.46,3.8,4.6,32.0,20.0,62.5,9.0,3.0,33.3,59.0,16.0,27.1,13.0,3.0,0.0,0.0,0.0,19.0,29.0,16.0,35.0
ΕVERTECH ΠΑΠΑΓΟΥ,ΔΕΝΔΡΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,4,ΔΕΝΔΡΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,26,11.1,288.4,58.0,2.2,19.0,59.0,32.2,10.0,45.0,22.2,10.0,16.0,62.5,8.0,31.0,39.0,24.0,15.0,0.0,18.0,42.0,73.0,13.6,3.0,1.2,2.0,45,103.0,4.0,5.3,5,1.2,6,0,41.7,8.0,4,-2.87,-7.87,5.0,2.5,4.4,11.0,8.0,72.7,3.0,1.0,33.3,45.0,10.0,22.2,6.0,0.0,0.0,0.0,0.0,18.0,7.0,15.0,11.0
