Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Helsinki Seagulls,3,Kahron Ross,,28,33.3,932.1,453,16.2,183,352,52.0,28,78,35.9,59,77,76.6,17,81,98,228,60,2,67,56,56.0,58.7,22.3,100.0,21.2,3.6,1.8,8.4,5.2,42.6,3.4,0.2,14.8,0.22,12.34,5.86,6.48,101,65,64.4,170,88,51.8,78,28,35.9,40,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Salon Vilpas,5,Jalen Brooks,,30,27.9,837.5,475,15.8,173,320,54.1,36,89,40.4,93,148,62.8,93,150,243,65,55,26,48,75,59.7,61.7,22.0,109.7,20.3,3.8,11.0,17.6,14.3,12.4,3.4,3.0,11.1,0.46,11.51,6.5,5.01,119,77,64.7,68,27,39.7,89,36,40.4,22,18,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Kataja Basket,2,De'Vion Harmon,,21,31.0,651.9,592,28.2,195,451,43.2,54,186,29.0,148,176,84.1,13,77,90,88,34,0,55,24,49.2,56.0,39.1,101.5,36.5,11.5,2.0,12.6,7.2,27.1,2.7,0.0,9.4,0.39,10.54,7.76,2.77,155,89,57.4,105,49,46.7,186,54,29,12,39,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Helsinki Seagulls,4,Rene Rougeau,,25,31.0,776.0,369,14.8,138,302,45.7,31,81,38.3,62,84,73.8,54,162,216,85,51,57,51,88,50.8,54.4,22.8,94.6,19.2,4.2,6.8,20.2,13.5,18.4,3.4,7.4,13.1,0.28,9.99,3.67,6.32,129,77,59.7,73,21,28.8,81,31,38.3,32,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisons Loimaa,31,Dean Keeler,,30,29.7,889.6,545,18.2,217,358,60.6,0,1,0.0,111,151,73.5,115,206,321,68,22,29,56,83,60.6,64.2,23.9,113.4,23.7,0.0,13.2,23.3,18.3,13.8,1.3,3.1,11.7,0.42,9.56,6.2,3.36,270,169,62.6,67,33,49.3,1,0,0,22,24,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Korihait,20,Frank Champion,,21,35.8,750.8,477,22.7,184,330,55.8,7,26,26.9,102,140,72.9,52,136,188,81,26,23,69,54,56.8,60.9,27.0,103.6,28.3,1.5,7.9,18.6,13.5,18.7,1.7,3.2,15.0,0.42,9.49,5.2,4.29,233,140,60.1,38,14,36.8,26,7,26.9,28,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisons Loimaa,11,Tevaun Kokko,,30,31.9,958.2,606,20.2,216,503,42.9,91,233,39.1,83,99,83.8,33,81,114,139,49,10,93,53,52.0,55.4,29.5,94.8,26.4,10.1,3.5,8.5,6.0,25.4,2.7,1.0,14.5,0.2,8.98,6.14,2.84,167,86,51.5,91,33,36.3,233,91,39.1,41,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Salon Vilpas,3,Claudell Harris Jr.,,5,25.3,126.4,95,19.0,35,77,45.5,12,31,38.7,13,16,81.2,1,18,19,27,2,1,14,11,53.2,56.5,33.6,96.9,24.6,8.0,0.9,13.5,7.7,33.0,0.8,0.8,14.3,0.21,8.85,5.6,3.26,24,17,70.8,22,6,27.3,31,12,38.7,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Korihait,40,Jalen Jackson,,32,29.3,936.5,362,11.3,134,291,46.0,45,116,38.8,49,64,76.6,27,129,156,148,80,31,82,91,53.8,56.7,18.9,90.2,14.2,4.6,3.2,13.9,8.8,23.7,4.3,3.5,20.4,0.22,8.6,2.91,5.69,73,43,58.9,96,41,42.7,116,45,38.8,43,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapiolan Honka,7,Aj Ferguson,,21,28.7,603.0,309,14.7,110,221,49.8,20,74,27.0,69,93,74.2,38,81,119,69,47,14,34,51,54.3,59.0,20.0,104.4,17.6,4.2,5.9,12.8,9.3,17.5,3.7,2.2,11.5,0.42,8.54,3.75,4.78,112,71,63.4,21,9,42.9,74,20,27,13,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
