Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Baskets Juniors TSG Westerstede,Beni Fungula,8,Beni Fungula,25,30.5,761.8,463.0,18.5,169.0,379.0,44.6,34.0,110.0,30.9,91.0,116.0,78.4,46.0,99.0,145.0,68.0,44.0,9.0,72.0,41.0,437.8,28.8,23.2,3.4,7.3,149,612.0,24.5,30.7,43,4.3,35,13,52.8,44.7,10,3.75,0.04,3.71,3.3,2.4,208.0,111.0,53.4,61.0,24.0,39.3,0.0,0.0,0,74.0,7.0,23.0,37.0,0.0,8.0,68.0,122.0,108.0
BSW Sixers,Robert Joseph Holmes,11,Robert Joseph Holmes,25,32.0,800.6,415.0,16.6,147.0,356.0,41.3,48.0,144.0,33.3,73.0,96.0,76,56.0,150.0,206.0,46.0,33.0,40.0,60.0,73.0,386.2,25.9,22.3,2.5,11.1,92,507.0,20.3,27.2,38,3.2,31,15,50.5,43.6,12,4.82,-0.3,5.12,4.1,2.4,159.0,85.0,53.5,53.0,14.0,26.4,0.0,0.0,0,69.0,7.0,23.0,25.0,0.0,7.0,73.0,89.0,80.0
Iserlohn Kangaroos,Tyson Leitao,32,Tyson Leitao,25,27.1,678.3,370.0,14.8,122.0,243.0,50.2,6.0,15.0,40,120.0,150.0,80,104.0,148.0,252.0,37.0,37.0,27.0,65.0,76.0,259.2,19.9,19.3,1.9,13.1,89,459.0,18.4,23.9,40,3.6,24,21,60.2,42.2,11,4.46,0.17,4.29,5.0,2.3,177.0,93.0,52.5,51.0,23.0,45.1,0.0,0.0,0,37.0,0.0,15.0,24.0,0.0,15.0,97.0,53.0,82.0
BSW Sixers,Toby Okwuokei,10,Toby Okwuokei,25,34.0,849.9,343.0,13.7,123.0,344.0,35.8,35.0,128.0,27.3,62.0,84.0,73.8,48.0,131.0,179.0,96.0,42.0,2.0,64.0,54.0,381.1,24.1,18.4,5.2,9.6,211,554.0,22.2,29.8,53,3.5,45,11,53.2,55.8,15,1.29,-2.59,3.88,2.3,2.4,144.0,66.0,45.8,72.0,22.0,30.6,0.0,0.0,0,54.0,17.0,39.0,18.0,0.0,7.0,78.0,77.0,61.0
LOK BERNAU,Anthony Watkins,0,Anthony Watkins,25,22.8,569.5,330.0,13.2,122.0,284.0,43,34.0,116.0,29.3,52.0,73.0,71.2,41.0,49.0,90.0,73.0,30.0,10.0,42.0,41.0,304.4,26.1,16.0,3.5,4.4,150,480.0,19.2,23.3,33,2.5,39,16,35.8,51.0,13,5.39,0.44,4.95,2.7,2.2,145.0,75.0,51.7,23.0,13.0,56.5,0.0,0.0,0,53.0,4.0,26.0,13.0,0.0,3.0,80.0,85.0,88.0
ETB Miners,Mychael Paulo,10,Mychael Paulo,25,27.4,684.1,328.0,13.1,120.0,280.0,42.9,53.0,156.0,34,35.0,47.0,74.5,25.0,85.0,110.0,65.0,37.0,8.0,28.0,42.0,291.5,22.3,17.2,3.4,5.8,141,469.0,18.8,24.6,25,3.6,24,11,43.3,30.8,7,7.87,1.72,6.14,2.5,2.7,71.0,48.0,67.6,53.0,19.0,35.8,0.0,0.0,0,27.0,15.0,17.0,9.0,0.0,2.0,58.0,62.0,81.0
TSV Neustadt temps Shooters,Aimé Olma,2,Aimé Olma,25,30.9,772.1,311.0,12.4,127.0,279.0,45.5,16.0,72.0,22.2,41.0,83.0,49.4,50.0,96.0,146.0,88.0,46.0,0.0,82.0,56.0,333.6,21.5,15.3,4.3,7.2,201,512.0,20.5,25.2,35,2.7,35,13,43.0,47.7,13,-0.15,-3.6,3.46,2.3,2.6,196.0,108.0,55.1,11.0,3.0,27.3,0.0,0.0,0,89.0,7.0,35.0,34.0,0.0,8.0,44.0,67.0,78.0
ETB Miners,Niclas Jonathan Sperber,12,Niclas Jonathan Sperber,25,23.7,592.5,297.0,11.9,94.0,209.0,45,38.0,94.0,40.4,71.0,82.0,86.6,31.0,90.0,121.0,26.0,32.0,10.0,57.0,64.0,260.2,23.0,15.6,1.4,6.3,57,354.0,14.2,18.5,14,2.0,11,7,49.7,15.1,7,4.7,-1.18,5.88,3.5,3.0,99.0,51.0,51.5,16.0,5.0,31.2,0.0,0.0,0,31.0,6.0,25.0,24.0,0.0,4.0,38.0,75.0,74.0
Iserlohn Kangaroos,Christopher Schultz,13,Christopher Schultz,25,30.4,761.1,286.0,11.4,110.0,223.0,49.3,40.0,108.0,37,26.0,33.0,78.8,40.0,123.0,163.0,73.0,39.0,1.0,47.0,73.0,234.7,16.1,14.9,3.8,8.5,189,475.0,19.0,24.8,25,2.3,21,7,51.9,28.1,11,3.54,-1.22,4.76,3.1,2.5,104.0,63.0,60.6,11.0,7.0,63.6,0.0,0.0,0,25.0,9.0,18.0,13.0,0.0,7.0,44.0,59.0,69.0
TSV Neustadt temps Shooters,Emil Loch,3,Emil Loch,25,28.4,709.4,284.0,11.4,100.0,241.0,41.5,48.0,135.0,35.6,36.0,50.0,72,32.0,70.0,102.0,35.0,14.0,6.0,44.0,84.0,264.0,18.5,14.0,1.7,5.0,81,365.0,14.6,17.9,27,2.5,22,10,51.1,34.4,11,-1.36,-3.52,2.16,3.2,3.3,81.0,45.0,55.6,25.0,7.0,28,0.0,0.0,0,17.0,2.0,20.0,10.0,0.0,12.0,43.0,47.0,45.0
