Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
A. Mutothori,Birmingham Rockets,5,A. Mutothori,"F. Mughaal, L. Duru, P. Basioudis, T. Grayling",1,2.6,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0.0,0.0,21.7,114.7,-93.0,0.0,0.0,0,50.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A. Mutothori,Birmingham Rockets,5,A. Mutothori,"L. Okosieme, M. Gayle, P. Basioudis, T. Grayling",1,2.5,4,1,2,50.0,1,1,100.0,1,2,50.0,1,0,1,0,1,0,1,0,3,0,4,4.0,57.5,57.5,132.2,-74.7,75.0,69.4,0.0,25.8,1,0,0,0,0,0,1,1,100,1,0,0,0,0,0,3
A. Mutothori,Birmingham Rockets,5,A. Mutothori,"F. Mughaal, L. Duru, L. Okosieme, T. Grayling",1,2.2,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.0,40.0,80.0,213.5,-133.5,100.0,100.0,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
A. Mutothori,Birmingham Rockets,5,A. Mutothori,"E. Donaldson, F. Mughaal, L. Mcgregor, O. Jackman",1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,60.2,69.4,-9.2,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A. Mutothori,Birmingham Rockets,5,A. Mutothori,"F. Mughaal, L. Okosieme, M. Gayle, Z. Powell",1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,82.0,72.3,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"L. Mcgregor, L. Okosieme, R. Blain, Z. Powell",16,196.6,81,29,73,39.7,12,27,44.4,11,13,84.6,10,20,30,11,5,0,18,10,83,2,83,5.2,20.6,97.4,93.1,4.3,47.9,51.4,37.9,16.7,32,12,37.5,14,5,35.7,27,12,44.4,12,4,0,1,14,20,12
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"L. Mcgregor, O. Jackman, R. Blain, Z. Powell",15,77.4,37,13,28,46.4,2,12,16.7,9,11,81.8,4,16,20,4,2,0,6,7,33,2,39,2.6,23.2,115.6,101.1,14.5,50.0,56.3,30.8,14.0,12,10,83.3,4,1,25,12,2,16.7,1,3,0,1,10,8,10
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"M. Gayle, O. Jackman, R. Blain, Z. Powell",11,43.5,24,10,20,50.0,1,6,16.7,3,4,75.0,3,7,10,4,0,0,2,3,20,0,24,2.2,25.3,139.1,117.9,21.2,52.5,55.1,40.0,7.2,11,8,72.7,3,1,33.3,6,1,16.7,2,0,0,0,9,9,4
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, L. Mcgregor, L. Okosieme, R. Blain",7,43.1,20,9,16,56.2,2,4,50.0,0,0,0,2,6,8,6,1,0,8,2,21,2,22,3.1,25.0,102.1,89.4,12.7,62.5,62.5,66.7,26.7,6,4,66.7,6,3,50,4,2,50,2,6,0,0,4,4,10
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, L. Mcgregor, O. Jackman, R. Blain",13,39.0,10,3,15,20.0,0,7,0.0,4,5,80.0,3,7,10,5,0,1,5,7,18,2,12,0.9,14.4,114.2,82.4,31.7,20.0,29.1,166.7,18.4,7,3,42.9,1,0,0,7,0,0,1,2,0,1,2,2,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"L. Okosieme, M. Gayle, R. Blain, Z. Powell",8,29.4,26,9,18,50.0,4,7,57.1,4,8,50.0,1,7,8,4,0,0,0,0,20,0,26,3.2,42.7,147.7,73.7,73.9,61.1,60.4,44.4,0.0,7,4,57.1,4,1,25,7,4,57.1,0,0,0,0,4,4,6
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, L. Okosieme, R. Blain, Z. Powell",6,25.0,13,6,17,35.3,1,6,16.7,0,1,0.0,4,3,7,5,2,0,1,2,14,0,13,2.2,26.3,103.0,104.4,-1.4,38.2,37.3,83.3,4.3,9,5,55.6,2,0,0,6,1,16.7,0,1,0,0,4,2,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, L. Mcgregor, M. Gayle, O. Jackman",7,23.4,12,4,9,44.4,2,3,66.7,2,2,100.0,3,7,10,3,1,0,3,2,9,3,15,2.1,36.2,127.9,105.0,22.9,55.6,60.7,75.0,18.9,4,2,50,2,0,0,3,2,66.7,0,1,0,1,2,2,2
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"L. Mcgregor, M. Gayle, O. Jackman, R. Blain",10,22.8,12,5,6,83.3,2,3,66.7,0,0,0,0,2,2,3,0,0,0,6,6,0,12,1.2,24.4,107.6,91.2,16.5,100.0,100.0,60.0,0.0,3,3,100,0,0,0,3,2,66.7,0,0,0,0,2,0,3
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, O. Jackman, R. Blain, Z. Powell",12,19.0,6,1,5,20.0,0,3,0.0,4,6,66.7,2,3,5,4,0,0,1,1,6,0,6,0.5,16.3,124.9,101.4,23.4,20.0,39.3,400.0,7.9,1,1,100,1,0,0,3,0,0,1,0,0,0,2,2,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, M. Gayle, O. Jackman, Z. Powell",5,14.5,8,3,6,50.0,0,1,0.0,2,2,100.0,1,0,1,1,0,0,2,1,8,0,8,1.6,28.3,134.3,90.1,44.2,50.0,58.1,33.3,20.2,3,2,66.7,2,1,50,1,0,0,0,0,0,1,2,2,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"L. Mcgregor, L. Okosieme, M. Gayle, Z. Powell",8,12.9,9,3,3,100.0,2,2,100.0,1,1,100.0,0,0,0,1,0,0,0,1,3,2,11,1.4,41.8,133.1,109.6,23.5,133.3,130.8,33.3,0.0,1,1,100,0,0,0,2,2,100,0,0,0,0,0,3,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"L. Mcgregor, M. Gayle, O. Jackman, Z. Powell",6,8.9,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0.0,0.0,79.4,100.9,-21.5,0.0,0.0,0,50.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
E. Donaldson,Birmingham Rockets,3,E. Donaldson,"F. Mughaal, L. Mcgregor, O. Jackman, Z. Powell",3,8.9,6,2,4,50.0,1,2,50.0,1,1,100.0,2,0,2,1,0,0,0,2,2,0,6,2.0,31.3,114.7,73.1,41.6,62.5,67.6,50.0,0.0,2,1,50,0,0,0,2,1,50,0,0,0,0,2,0,0
