Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Okapi Aalst,21,Dante Jr MADDOX,,26,31.2,810.0,674,25.9,209,375,55.7,87,178,48.9,169,190,88.9,24,147,171,66,30,8,60,48,67.3,73.5,29.7,130.0,33.2,8.8,3.9,21.6,13.2,14.5,1.9,1.0,11.6,0.51,14.3,10.86,3.45,26,20,76.9,171,102,59.6,0,0,0,11,33,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Windrose Giants Antwerp,0,Rasheed BELLO,,24,24.0,575.0,380,15.8,121,269,45.0,47,121,38.8,91,105,86.7,26,40,66,134,39,3,54,48,53.7,60.3,28.1,102.9,20.1,6.4,5.3,8.2,6.7,37.4,3.6,0.5,14.6,0.39,14.16,8.02,6.14,21,12,57.1,127,62,48.8,0,0,0,26,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Val-Dieu Spirou Basket,11,Eric NOTTAGE,,10,32.9,329.0,183,18.3,59,118,50.0,20,54,37.0,45,53,84.9,19,30,49,71,23,1,35,25,58.5,64.7,24.0,103.8,24.2,7.1,6.9,11.1,9.0,40.7,3.6,0.3,19.9,0.45,12.97,6.96,6.01,8,7,87.5,56,32,57.1,0,0,0,21,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Windrose Giants Antwerp,5,Enoch CHEEKS,,23,26.3,606.0,297,12.9,104,223,46.6,40,113,35.4,49,69,71.0,32,104,136,48,54,14,32,55,55.6,58.6,20.6,104.1,16.4,6.2,6.2,20.3,13.2,11.9,4.7,2.3,11.2,0.31,12.82,6.17,6.65,29,23,79.3,81,41,50.6,0,0,0,14,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Filou Oostende,31,Noam YAACOV,,23,25.9,595.0,428,18.6,138,274,50.4,45,109,41.3,107,140,76.4,8,85,93,137,25,1,61,53,58.6,63.8,31.0,107.9,24.8,6.3,1.8,16.1,9.6,38.2,2.2,0.2,15.4,0.51,12.03,7.53,4.5,29,19,65.5,136,74,54.4,0,0,0,33,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zorg en Zekerheid Leiden,0,Javian MC COLLUM,,16,27.9,447.0,317,19.8,109,178,61.2,27,60,45.0,72,81,88.9,11,31,42,60,23,0,38,30,68.8,74.2,25.4,126.0,25.2,4.8,3.2,8.9,6.0,23.5,2.6,0.0,15.1,0.46,11.5,6.16,5.34,3,3,100,115,79,68.7,0,0,0,14,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Windrose Giants Antwerp,10,Andrew FUNK,,24,25.1,602.0,298,12.4,104,240,43.3,67,173,38.7,23,28,82.1,14,62,76,45,19,7,18,37,57.3,59.1,19.6,110.2,15.8,9.2,2.7,12.1,7.4,11.3,1.7,1.2,6.7,0.12,10.77,6.55,4.22,5,5,100,62,32,51.6,0,0,0,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Windrose Giants Antwerp,23,Kaden ANDERSON,,6,18.3,110.0,73,12.2,24,40,60.0,9,17,52.9,16,20,80.0,5,13,18,7,2,3,6,16,71.2,74.8,21.9,133.2,15.5,3.6,5.2,14.0,9.5,10.0,1.0,2.6,10.9,0.5,10.5,6.02,4.47,11,7,63.6,12,8,66.7,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brussels Basketball,17,Demetric HORTON,,25,24.1,603.0,383,15.3,131,263,49.8,76,160,47.5,45,53,84.9,12,88,100,67,35,9,35,45,64.3,66.9,25.6,119.2,20.5,8.6,2.5,18.1,10.4,20.7,3.1,1.5,10.9,0.2,10.18,6.4,3.77,12,8,66.7,91,47,51.6,0,0,0,18,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Hubo Limburg United,55,Jalen BLACKMON,,24,30.6,734.0,579,24.1,186,377,49.3,55,146,37.7,152,170,89.4,19,51,70,75,21,2,68,59,56.6,64.1,32.7,111.4,31.6,8.0,3.5,8.1,5.9,19.5,1.5,0.3,13.1,0.45,10.17,6.81,3.36,13,11,84.6,218,120,55,0,0,0,19,42,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Okapi Aalst,9,Niels VAN DEN EYNDE,,26,33.4,868.0,406,15.6,141,290,48.6,39,115,33.9,85,107,79.4,11,55,66,190,32,1,76,68,55.3,60.2,22.1,98.3,20.0,5.7,1.7,7.5,4.8,33.3,1.9,0.1,18.4,0.37,10.11,6.62,3.49,23,16,69.6,152,86,56.6,0,0,0,47,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
