Canonical,Team,Numbers,Variations
Nathan Joseph Petrone,Artland Dragons,1,Nathan Joseph Petrone
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton
Timo Lanmüller,Artland Dragons,7,Timo Lanmüller
Dominik Dolic,Artland Dragons,8,Dominik Dolic
Connor Van Anthony,Artland Dragons,9,Connor Van Anthony
Robert Oehle,Artland Dragons,11,Robert Oehle
Elijah Ndi,Artland Dragons,12,Elijah Ndi
Dejan Bruce,Artland Dragons,13,Dejan Bruce
Linus Trettin,Artland Dragons,15,Linus Trettin
Fynn Lastring,Artland Dragons,16,Fynn Lastring
Linus Ruf,Artland Dragons,20,Linus Ruf
Benjamin Forrest Burnham,Artland Dragons,25,Benjamin Forrest Burnham
Andrew O'Brien,Uni Baskets Münster,0,Andrew O'Brien
Timetric Jerome Hodges,Uni Baskets Münster,1,Timetric Jerome Hodges
Paul Viefhues,Uni Baskets Münster,3,Paul Viefhues
Nicholas Khalil Mc Mullen,Uni Baskets Münster,4,Nicholas Khalil Mc Mullen
Thore Dilschmann,Uni Baskets Münster,6,Thore Dilschmann
Neil Masnic,Uni Baskets Münster,8,Neil Masnic
Julian Lamont Larry,Uni Baskets Münster,1/10,Julian Lamont Larry
Oliver Pahnke,Uni Baskets Münster,17,Oliver Pahnke
Adam Touray,Uni Baskets Münster,19,Adam Touray
Jesse Chidera Ani,Uni Baskets Münster,24,Jesse Chidera Ani
Elijah Jahi Miller,Eisbären Bremerhaven,0,Elijah Jahi Miller
Raphael Falkenthal,Eisbären Bremerhaven,2,Raphael Falkenthal
Jacob David Biss,Eisbären Bremerhaven,3,Jacob David Biss
Jordan Samare,Eisbären Bremerhaven,4,Jordan Samare
Benjamin Zintz,Eisbären Bremerhaven,5,Benjamin Zintz
Carlos Deshawn Carter,Eisbären Bremerhaven,6,Carlos Deshawn Carter
Adrian Breitlauch,Eisbären Bremerhaven,7,Adrian Breitlauch
Anton Meyer,Eisbären Bremerhaven,9,Anton Meyer
Till Isemann,Eisbären Bremerhaven,21,Till Isemann
Hendrik Warner,Eisbären Bremerhaven,31,Hendrik Warner
Jannis von Seckendorff,Eisbären Bremerhaven,90,Jannis von Seckendorff
Joshua Bonga,SBB Baskets Wolmirstedt,0,Joshua Bonga
Trey Thompson Stewart,SBB Baskets Wolmirstedt,1,Trey Thompson Stewart
Travis Henson,SBB Baskets Wolmirstedt,2,Travis Henson
Jalen Benjamin,SBB Baskets Wolmirstedt,5,Jalen Benjamin
Martin Bogdanov,SBB Baskets Wolmirstedt,6,Martin Bogdanov
Modestas Paulauskas,SBB Baskets Wolmirstedt,10/21,Modestas Paulauskas
Benjamin Koppke,SBB Baskets Wolmirstedt,21,Benjamin Koppke
Alieu Ceesay,SBB Baskets Wolmirstedt,28,Alieu Ceesay
Fabien Kondo,SBB Baskets Wolmirstedt,34,Fabien Kondo
Marcus Henri Graves,Phoenix Hagen,0,Marcus Henri Graves
Richard Fernando de Jesus Nunez Rivera,Phoenix Hagen,1,Richard Fernando de Jesus Nunez Rivera
Dennis Nawrocki,Phoenix Hagen,2,Dennis Nawrocki
Bjarne Kraushaar,Phoenix Hagen,4,Bjarne Kraushaar
Devin Lawrence Schmidt,Phoenix Hagen,8,Devin Lawrence Schmidt
Fabian Bleck,Phoenix Hagen,10,Fabian Bleck
Dominick Jordan von Waaden,Phoenix Hagen,13,Dominick Jordan von Waaden
Tim Uhlemann,Phoenix Hagen,21,Tim Uhlemann
Jeffrey Carroll,Phoenix Hagen,30,Jeffrey Carroll
Nicola Schultze,Phoenix Hagen,33,Nicola Schultze
Jan Razdevsek,Phoenix Hagen,44,Jan Razdevsek
Anzac Joseph Dennis Rissetto,Phoenix Hagen,77,Anzac Joseph Dennis Rissetto
Ferdinand Justus Trefzger,RheinStars Köln,2,Ferdinand Justus Trefzger
Rupert Hennen,RheinStars Köln,5,Rupert Hennen
Jasper Günther,RheinStars Köln,6,Jasper Günther
Fynn Rieck,RheinStars Köln,8,Fynn Rieck
Maximilian Begue,RheinStars Köln,9,Maximilian Begue
Timothy Nehemiah Davis,RheinStars Köln,11,Timothy Nehemiah Davis
Björn Rohwer,RheinStars Köln,15,Björn Rohwer
Friedrich Beyer,RheinStars Köln,17,Friedrich Beyer
Justin Onyejiaka,RheinStars Köln,22,Justin Onyejiaka
Michael Jordan Miller,RheinStars Köln,23,Michael Jordan Miller
Hall B Elisias,RheinStars Köln,34,Hall B Elisias
Phillip Montreal Russelll,Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll
Neil Schwanenberg,Bozic Estriche Knights Kirchheim,2,Neil Schwanenberg
Gian Bahattin Aydinoglu,Bozic Estriche Knights Kirchheim,4,Gian Bahattin Aydinoglu
Lucas Mayer,Bozic Estriche Knights Kirchheim,8,Lucas Mayer
Tylan James Pope,Bozic Estriche Knights Kirchheim,9,Tylan James Pope
Tyrel Maurice Morgan,Bozic Estriche Knights Kirchheim,11,Tyrel Maurice Morgan
Nicholas Gerard Spinoso,Bozic Estriche Knights Kirchheim,13,Nicholas Gerard Spinoso
Alexander Stief,Bozic Estriche Knights Kirchheim,14,Alexander Stief
