Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Linus Ruf, Timo Lanmüller",25,260.9,158,52,123,42.3,10,31,32.3,44,49,89.8,6,38,44,26,14,3,13,23,145,63,221,8.8,45.3,122.3,128.2,-5.9,46.3,54.6,50.0,7.1,38,23,60.5,54,19,35.2,0,0,0,19,5,3,8,0,2,16,36,30
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Elijah Ndi, Linus Ruf",17,83.1,56,21,38,55.3,8,14,57.1,6,6,100.0,2,11,13,6,1,0,6,6,43,13,69,4.1,50.8,123.6,161.3,-37.7,65.8,68.9,28.6,11.4,13,8,61.5,11,5,45.5,0,0,0,6,5,2,3,0,1,6,5,0
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Fynn Lastring, Timo Lanmüller",16,81.3,47,16,42,38.1,2,14,14.3,13,13,100.0,1,10,11,5,1,1,4,4,49,12,59,3.7,38.2,119.7,137.1,-17.4,40.5,49.2,31.2,7.1,18,11,61.1,10,3,30,0,0,0,7,0,1,3,0,0,7,9,11
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Robert Oehle, Timo Lanmüller",13,20.7,17,7,13,53.8,0,2,0.0,3,3,100.0,1,2,3,1,3,0,1,0,14,2,19,1.5,48.2,119.2,109.4,9.8,53.8,59.4,14.3,6.1,4,3,75,7,4,57.1,0,0,0,1,0,1,0,0,0,0,4,4
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Elijah Ndi, Timo Lanmüller",7,14.2,18,5,9,55.6,1,3,33.3,7,8,87.5,0,4,4,0,0,0,1,1,13,0,18,2.6,61.4,143.2,111.4,31.8,61.1,71.9,0.0,7.4,3,3,100,3,1,33.3,0,0,0,3,1,0,1,0,0,3,2,8
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Elijah Ndi, Fynn Lastring",11,14.1,10,4,7,57.1,1,2,50.0,1,1,100.0,1,1,2,3,1,0,1,0,7,7,17,1.5,58.4,130.4,117.2,13.3,64.3,67.2,75.0,8.7,5,3,60,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Linus Ruf, Nathan Joseph Petrone, Timo Lanmüller",9,13.3,12,3,5,60.0,0,2,0.0,6,6,100.0,0,1,1,3,0,0,0,0,7,7,19,2.1,82.5,160.7,165.3,-4.6,60.0,78.5,100.0,0.0,1,1,100,2,2,100,0,0,0,1,0,0,0,0,0,0,2,0
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Linus Ruf, Linus Trettin",3,12.8,4,2,7,28.6,0,1,0.0,0,0,0,0,0,0,1,1,0,1,1,8,2,6,2.0,26.2,91.7,89.7,2.0,28.6,28.6,50.0,11.1,3,2,66.7,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Dominik Dolic, Fynn Lastring, Timo Lanmüller",7,12.1,12,3,6,50.0,1,3,33.3,5,5,100.0,1,0,1,0,2,1,1,2,8,0,12,1.7,50.3,134.2,102.7,31.5,58.3,73.2,0.0,10.9,0,0,0,3,2,66.7,0,0,0,0,1,0,1,0,0,2,6,6
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Linus Trettin, Timo Lanmüller",6,11.8,8,1,6,16.7,0,0,0,6,6,100.0,0,6,6,0,2,0,1,1,9,0,8,1.3,31.1,136.3,48.9,87.4,16.7,46.3,0.0,10.4,3,0,0,3,1,33.3,0,0,0,0,0,0,1,0,0,0,4,2
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Connor Van Anthony, Elijah Ndi, Fynn Lastring, Nathan Joseph Petrone",3,8.2,16,5,5,100.0,0,0,0,6,6,100.0,0,0,0,0,0,0,0,1,7,0,16,5.3,97.6,189.0,94.4,94.6,100.0,104.7,0.0,0.0,2,2,100,3,3,100,0,0,0,1,0,0,0,0,0,0,0,4
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Dominik Dolic, Elijah Ndi, Fynn Lastring, Nathan Joseph Petrone",5,7.9,7,2,5,40.0,1,4,25.0,2,2,100.0,0,1,1,0,0,0,0,1,6,0,7,1.4,44.1,69.3,139.9,-70.6,50.0,59.5,0.0,0.0,1,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Fynn Lastring, Nathan Joseph Petrone, Timo Lanmüller",4,7.5,6,3,3,100.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,6,1.5,40.0,126.7,75.3,51.4,100.0,100.0,0.0,25.0,1,1,100,2,2,100,0,0,0,1,0,0,1,0,0,0,0,0
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Connor Van Anthony, Dominik Dolic, Linus Ruf",3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,7,2.3,59.0,143.3,126.8,16.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Connor Van Anthony, Elijah Ndi, Linus Ruf, Timo Lanmüller",5,7.1,8,3,6,50.0,0,0,0,2,2,100.0,1,0,1,0,2,0,0,0,6,0,8,1.6,52.2,143.5,55.9,87.7,50.0,58.1,0.0,0.0,5,2,40,1,1,100,0,0,0,1,0,0,0,0,0,0,2,2
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton,"Benjamin Forrest Burnham, Dominik Dolic, Elijah Ndi, Robert Oehle",7,6.9,4,1,3,33.3,0,0,0,2,2,100.0,0,0,0,0,2,0,1,1,5,0,4,0.6,44.7,111.8,85.5,26.3,33.3,51.5,0.0,20.5,1,0,0,2,1,50,0,0,0,0,0,1,0,0,0,2,0,2
