# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 288
# Qualified players exported: 211
# Total stints used: 9049
# Garbage time stints excluded: 343
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Phoenix Hagen,11,Marvin Omonigho Omuvwie,684,4.79,3.26,8.05
BG Göttingen,44,Julius Böhmer,1131,2.6,5.32,7.92
Bozic Estriche Knights Kirchheim,11,Tyrel Maurice Morgan,893,2.8,4.73,7.52
VfL SparkassenStars Bochum,1,Antonio Deshon Williams,1242,2.95,4.54,7.49
BBC Bayreuth,22,Leroy Ikenna Ikejiaku,647,2.3,5.05,7.35
Eisbären Bremerhaven,11,Lorenz Brenneke,299,3.91,2.31,6.22
Artland Dragons,9,Connor Van Anthony,1352,4.09,2.05,6.14
Bayer Giants Leverkusen,4,Lok Lol Wur,390,2.29,3.55,5.84
HAKRO Merlins Crailsheim,4,Brock Boone Gardner,1017,3.66,1.82,5.48
PS Karlsruhe LIONS,5,Tyrese Williams,962,4.15,1.2,5.35
EPG Baskets Koblenz,0,Decorian Jeffries,1054,3.46,1.58,5.04
Tigers Tübingen,21,Connor McDonald Nelson,310,3.64,1.18,4.82
Artland Dragons,25,Benjamin Forrest Burnham,1451,3.31,1.48,4.78
Phoenix Hagen,19,Marinus Lucas N'Guessan,621,1.61,2.84,4.45
HAKRO Merlins Crailsheim,0,Tyreese Blunt,1266,0.74,3.43,4.17
GIESSEN 46ers,12,Robin Benzing,1151,1.83,2.05,3.88
BG Göttingen,0,Nils Owen Schmitz,800,2.09,1.52,3.62
Eisbären Bremerhaven,3,Jacob David Biss,1047,2.22,1.27,3.49
Eisbären Bremerhaven,2,Raphael Falkenthal,645,0.28,3.1,3.37
Phoenix Hagen,4,Bjarne Kraushaar,1126,3.4,-0.04,3.36
Phoenix Hagen,30,Jeffrey Carroll,1015,3.71,-0.42,3.29
EPG Baskets Koblenz,11,Devonte Jasai McCall,670,2.09,1.15,3.24
RheinStars Köln,23,Michael Jordan Miller,1033,0.69,2.45,3.14
Phoenix Hagen,2,Dennis Nawrocki,859,2.62,0.44,3.05
PS Karlsruhe LIONS,25,David Opowu Ejah,1354,0.89,2.11,3.0
Phoenix Hagen,10,Fabian Bleck,899,-1.03,3.97,2.94
GIESSEN 46ers,47,Abu Kigab,258,2.24,0.59,2.82
Eisbären Bremerhaven,0,Elijah Jahi Miller,1295,2.73,0.08,2.81
GIESSEN 46ers,18,Till Gloger,799,0.93,1.85,2.79
HAKRO Merlins Crailsheim,26,Marvin Ogunsipe,1078,1.4,1.32,2.72
Artland Dragons,7,Timo Lanmüller,1248,1.4,1.32,2.72
HAKRO Merlins Crailsheim,12,Xavier Trent Johnson,602,1.06,1.61,2.67
Bozic Estriche Knights Kirchheim,3,Charles Tyrone Harris Jr.,882,3.13,-0.46,2.67
Paderborn Baskets,2,Branden Michael Maughmer,930,2.18,0.48,2.66
Eisbären Bremerhaven,7,Adrian Breitlauch,949,3.69,-1.03,2.65
BG Göttingen,20,Janis Jünemann,549,-1.55,4.19,2.64
BG Göttingen,9,Kevin Buckingham,363,3.44,-0.81,2.63
GIESSEN 46ers,55,Simon Krajcovic,1012,-0.46,2.95,2.49
Eisbären Bremerhaven,90,Jannis von Seckendorff,962,2.63,-0.26,2.38
