Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Artland Dragons,25,Benjamin Forrest Burnham,,28,28.9,809.5,564,20.1,224,355,63.1,48,110,43.6,68,98,69.4,70,202,272,63,38,25,57,55,69.9,70.8,25.9,123.9,25.8,5.0,11.0,31.6,21.3,14.8,2.4,3.2,12.5,0.28,12.32,8.73,3.59,190,140,73.7,55,36,65.5,0,0,0,11,37,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKRO Merlins Crailsheim,9,Anthony Malik Gaines,,27,28.8,778.0,398,14.7,154,312,49.4,26,95,27.4,64,99,64.6,62,125,187,97,45,9,57,60,53.5,56.0,23.3,96.5,19.2,4.6,8.7,21.4,14.5,22.7,3.0,1.3,13.8,0.32,10.9,5.28,5.63,189,119,63,28,9,32.1,0,0,0,24,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,0,Marcus Henri Graves,,26,24.4,634.8,359,13.8,116,270,43.0,64,158,40.5,63,79,79.7,13,79,92,139,27,2,52,56,54.8,58.9,24.9,100.6,17.3,7.6,2.7,14.2,8.9,33.2,2.2,0.3,14.6,0.29,10.74,6.14,4.6,91,45,49.5,21,7,33.3,0,0,0,34,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,8,Devin Lawrence Schmidt,,26,20.2,526.1,397,15.3,144,285,50.5,63,149,42.3,46,55,83.6,18,55,73,84,36,3,57,74,61.6,64.2,30.7,108.4,19.0,7.1,4.5,11.8,8.4,28.2,3.5,0.6,15.6,0.19,9.89,5.53,4.36,103,69,67,33,12,36.4,0,0,0,22,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKRO Merlins Crailsheim,4,Brock Boone Gardner,,25,25.3,633.4,318,12.7,108,239,45.2,56,158,35.4,46,57,80.7,50,80,130,43,27,12,29,62,56.9,60.2,20.3,108.5,16.6,8.3,8.6,16.4,12.2,11.8,2.2,2.0,9.9,0.24,9.84,5.37,4.47,65,46,70.8,16,6,37.5,0,0,0,11,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,4,Bjarne Kraushaar,,27,25.4,686.0,224,8.3,74,170,43.5,26,76,34.2,50,63,79.4,20,56,76,175,27,0,54,57,51.2,56.6,16.2,89.0,10.4,3.5,3.8,9.2,6.7,35.0,2.0,0.0,21.5,0.37,9.83,4.87,4.96,70,39,55.7,24,9,37.5,0,0,0,36,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers Tübingen,24,JaCobi Allen Wood,,12,27.9,335.4,197,16.4,64,131,48.9,26,69,37.7,43,48,89.6,8,43,51,63,19,1,29,24,58.8,64.8,25.0,108.8,21.5,7.5,2.8,16.3,9.3,36.6,3.0,0.3,16.0,0.37,9.39,4.9,4.49,55,36,65.5,7,2,28.6,0,0,0,9,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Eisbären Bremerhaven,0,Elijah Jahi Miller,,27,28.0,755.1,435,16.1,134,302,44.4,55,129,42.6,112,127,88.2,12,77,89,166,26,1,79,45,53.5,60.8,27.3,99.6,21.5,6.4,2.2,13.0,7.8,38.3,1.9,0.1,18.1,0.42,9.06,5.82,3.24,126,58,46,47,21,44.7,0,0,0,46,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKRO Merlins Crailsheim,12,Xavier Trent Johnson,,12,28.7,344.6,117,9.8,40,97,41.2,13,44,29.5,24,31,77.4,3,25,28,65,25,0,31,33,47.9,52.9,18.1,82.6,12.6,4.7,1.0,9.1,4.8,29.2,3.8,0.0,21.9,0.32,8.93,2.75,6.18,40,21,52.5,13,6,46.2,0,0,0,18,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
VfL SparkassenStars Bochum,4,Niklas Geske,,24,26.2,627.9,308,12.8,94,211,44.5,39,112,34.8,81,106,76.4,9,60,69,130,36,3,42,40,53.8,59.8,22.3,102.8,16.7,6.1,1.7,12.6,6.9,34.3,3.0,0.5,14.0,0.5,8.75,5.19,3.56,82,50,61,17,5,29.4,0,0,0,31,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
