Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Artland Dragons,Amir Jabbar Hinton,3,Amir Jabbar Hinton,28,29.7,831.8,589.0,21.0,192.0,415.0,46.3,36.0,107.0,33.6,169.0,179.0,94.4,22.0,106.0,128.0,71.0,41.0,8.0,53.0,60.0,503.8,31.6,26.9,3.2,5.8,146,735.0,26.2,33.6,114,7.1,74,44,61.1,101.4,16,3.96,1.17,2.78,2.8,2.3,149.0,94.0,63.1,159.0,62.0,39,0.0,0.0,0,74.0,19.0,14.0,25.0,0.0,7.0,56.0,102.0,97.0
Artland Dragons,Benjamin Forrest Burnham,25,Benjamin Forrest Burnham,28,28.9,809.5,564.0,20.1,224.0,355.0,63.1,48.0,110.0,43.6,68.0,98.0,69.4,70.0,202.0,272.0,63.0,38.0,25.0,57.0,55.0,369.7,23.8,25.8,2.9,12.4,136,700.0,25.0,32.0,86,5.1,46,28,73.7,60.3,17,10.48,5.98,4.5,5.0,1.4,190.0,140.0,73.7,55.0,36.0,65.5,0.0,0.0,0,77.0,7.0,11.0,37.0,0.0,5.0,110.0,104.0,110.0
GIESSEN 46ers,Kyle Anthony Castlin,7,Kyle Anthony Castlin,28,30.9,866.3,478.0,17.1,177.0,336.0,52.7,38.0,99.0,38.4,86.0,102.0,84.3,43.0,125.0,168.0,32.0,25.0,6.0,47.0,70.0,369.5,22.1,22.1,1.5,7.8,70,548.0,19.6,25.3,50,5.0,34,3,70.8,40.3,10,4.09,-0.17,4.26,3.8,2.6,141.0,103.0,73,96.0,36.0,37.5,0.0,0.0,0,74.0,7.0,15.0,22.0,0.0,6.0,78.0,104.0,78.0
BG Göttingen,Jordan Sears,3,Jordan Sears,28,23.8,667.1,447.0,16.0,152.0,364.0,41.8,65.0,182.0,35.7,78.0,91.0,85.7,18.0,81.0,99.0,92.0,32.0,11.0,65.0,71.0,433.0,33.8,20.7,4.3,4.6,204,651.0,23.2,30.1,44,4.0,27,17,63.8,38.5,11,4.81,0.45,4.36,2.5,2.2,128.0,64.0,50,54.0,23.0,42.6,0.0,0.0,0,51.0,31.0,26.0,22.0,0.0,13.0,41.0,98.0,92.0
Tigers Tübingen,Bernard Joel Pelote III,1,Bernard Joel Pelote III,28,27.6,772.0,414.0,14.8,147.0,361.0,40.7,63.0,189.0,33.3,57.0,70.0,81.4,23.0,128.0,151.0,29.0,33.0,13.0,42.0,69.0,394.4,26.6,19.2,1.3,7.0,67,481.0,17.2,22.3,20,3.3,18,3,51.8,23.3,6,-0.14,-2.9,2.76,4.0,3.3,109.0,62.0,56.9,63.0,22.0,34.9,0.0,0.0,0,36.0,5.0,4.0,23.0,0.0,8.0,47.0,128.0,75.0
PS Karlsruhe LIONS,David Opowu Ejah,25,David Opowu Ejah,28,29.3,820.6,401.0,14.3,143.0,301.0,47.5,43.0,113.0,38.1,72.0,105.0,68.6,56.0,170.0,226.0,39.0,28.0,23.0,47.0,54.0,324.7,20.8,18.8,1.8,10.6,94,495.0,17.7,23.3,29,2.6,19,9,63.2,25.0,11,2.74,-0.48,3.23,4.7,3.0,139.0,79.0,56.8,49.0,21.0,42.9,0.0,0.0,0,55.0,5.0,9.0,27.0,0.0,5.0,65.0,70.0,75.0
Bayer Giants Leverkusen,Dennis Heinzmann,22,Dennis Heinzmann,28,25.9,726.4,382.0,13.6,132.0,209.0,63.2,4.0,11.0,36.4,114.0,157.0,72.6,77.0,172.0,249.0,17.0,8.0,47.0,51.0,98.0,242.0,18.1,18.4,0.8,12.0,42,424.0,15.1,20.4,29,2.6,17,11,66.4,22.8,11,2.01,-0.9,2.91,5.0,2.4,169.0,116.0,68.6,29.0,12.0,41.4,0.0,0.0,0,45.0,0.0,8.0,16.0,0.0,4.0,106.0,18.0,50.0
BBC Bayreuth,Rayshawn Rene Mart,3,Rayshawn Rene Mart,28,27.4,768.1,352.0,12.6,138.0,297.0,46.5,14.0,58.0,24.1,62.0,103.0,60.2,24.0,60.0,84.0,105.0,33.0,7.0,74.0,82.0,376.6,25.4,15.9,4.7,3.8,218,570.0,20.4,25.7,29,2.1,25,22,41.8,38.7,14,-0.92,-3.97,3.05,1.9,2.3,179.0,109.0,60.9,60.0,15.0,25,0.0,0.0,0,98.0,3.0,38.0,21.0,0.0,8.0,35.0,91.0,73.0
Nürnberg Falcons BC,Vincent Friederici,30,Vincent Friederici,28,26.0,727.4,347.0,12.4,111.0,276.0,40.2,51.0,144.0,35.4,74.0,87.0,85.1,23.0,27.0,50.0,52.0,29.0,5.0,36.0,72.0,314.2,22.6,16.2,2.4,2.3,103,450.0,16.1,20.9,40,4.0,23,22,61.2,34.7,10,-0.38,-2.37,2.0,2.2,3.2,97.0,44.0,45.4,35.0,16.0,45.7,0.0,0.0,0,28.0,9.0,16.0,16.0,0.0,2.0,41.0,78.0,52.0
GIESSEN 46ers,Robin Benzing,12,Robin Benzing,28,23.9,668.0,345.0,12.3,106.0,262.0,40.5,41.0,134.0,30.6,92.0,112.0,82.1,12.0,57.0,69.0,51.0,30.0,13.0,31.0,75.0,317.1,24.6,15.9,2.4,3.2,97,442.0,15.8,20.4,27,3.0,18,12,58.0,27.3,9,3.8,-1.39,5.18,2.8,2.7,85.0,44.0,51.8,43.0,21.0,48.8,0.0,0.0,0,32.0,3.0,12.0,10.0,0.0,4.0,27.0,58.0,64.0
