Canonical,Team,Numbers,Variations
Benedict Baumgarth,Seawolves Academy,3,Benedict Baumgarth
Svante Schmundt,Seawolves Academy,4,Svante Schmundt
Jussi Knorr,Seawolves Academy,5,Jussi Knorr
Luis Wulff,Seawolves Academy,6,Luis Wulff
Alan Topic,Seawolves Academy,7,Alan Topic
Thibaut Blommaert,Seawolves Academy,8,Thibaut Blommaert
Mika Freitag,Seawolves Academy,9,Mika Freitag
Matthes Tilsen,Seawolves Academy,10,Matthes Tilsen
Jalen Page,Seawolves Academy,11,Jalen Page
Jonas Zilinskas,Seawolves Academy,14,Jonas Zilinskas
Bruno Loll,Seawolves Academy,20,Bruno Loll
Chris Frazier,Seawolves Academy,22,Chris Frazier
Glynn Hubbard III,Iserlohn Kangaroos,2,Glynn Hubbard III
Sadiq Ajagbe,Iserlohn Kangaroos,3,Sadiq Ajagbe
Jordan Iloanya,Iserlohn Kangaroos,4,Jordan Iloanya
Julius Gebauer,Iserlohn Kangaroos,8,Julius Gebauer
Christopher Schultz,Iserlohn Kangaroos,13,Christopher Schultz
Kevin Strangmeyer,Iserlohn Kangaroos,16,Kevin Strangmeyer
David Pavljak,Iserlohn Kangaroos,19,David Pavljak
Tyson Leitao,Iserlohn Kangaroos,32,Tyson Leitao
Malik Diagne,Iserlohn Kangaroos,64,Malik Diagne
Carlo Schmid,Dragons Rhöndorf,1,Carlo Schmid
Juhwan Harris-Dyson,Dragons Rhöndorf,2,Juhwan Harris-Dyson
Duje Dujmovic,Dragons Rhöndorf,3,Duje Dujmovic
Rémi Völkers,Dragons Rhöndorf,4,Rémi Völkers
Dusan Ilic,Dragons Rhöndorf,5,Dusan Ilic
Tom Viehöfer,Dragons Rhöndorf,6,Tom Viehöfer
Kenan Reinhart,Dragons Rhöndorf,8,Kenan Reinhart
Mamadou Lagui Diallo,Dragons Rhöndorf,11,Mamadou Lagui Diallo
David Böning,Dragons Rhöndorf,12,David Böning
Fynn Dobiecki,Dragons Rhöndorf,14,Fynn Dobiecki
Benjamin Sadikovic,Dragons Rhöndorf,16,Benjamin Sadikovic
Aleksandar Postic,SC Rist Wedel,3,Aleksandar Postic
Tomas Atli Bjarkason,SC Rist Wedel,4,Tomas Atli Bjarkason
Niklas Krause,SC Rist Wedel,5,Niklas Krause
Nelson Jamal Martin,SC Rist Wedel,10/16,Nelson Jamal Martin
Alegbe Al-Fayed,SC Rist Wedel,11,Alegbe Al-Fayed
Jayden Estrus Jr. Fatnassi,SC Rist Wedel,12,Jayden Estrus Jr. Fatnassi
Theo Sigmund,SC Rist Wedel,13,Theo Sigmund
Linus Hoffmann,SC Rist Wedel,29,Linus Hoffmann
