# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 294
# Total stints used: 11903
# Garbage time stints excluded: 421
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
ETB Miners,4,Quashawn Tyrese Lane,1331,7.53,0.54,8.06
TSV Neustadt temps Shooters,7,Elias Marei,1284,2.77,4.11,6.88
EN BASKETS Schwelm,21,Henning Gustrau,745,2.18,4.38,6.56
OrangeAcademy,4,Teo Milicic,591,2.43,4.05,6.48
BG Hessing Leitershofen,33,Tom-Niclas Alte,958,3.98,2.41,6.4
LOK BERNAU,15,Marco Rahn,1100,2.46,3.2,5.65
FC Bayern Basketball II,6,Nikolas Sermpezis,776,0.16,5.41,5.58
Baskets Juniors TSG Westerstede,0,Jon'll Larenz Fugett,1370,5.65,-0.14,5.51
Dresden Titans,77,Simeon Dimitrov,1283,5.08,0.35,5.43
Seawolves Academy,11,Jalen Page,1468,3.83,1.51,5.34
Dresden Titans,24,Wisdom Equere Uboh,383,3.05,2.1,5.15
Dresden Titans,25,Sebastian Heck,1100,2.18,2.95,5.13
OrangeAcademy,10,Endurance Aiyamenkhue,972,2.06,2.97,5.03
Itzehoe Eagles,65,Christopher Herget,743,2.18,2.78,4.96
SKYLINERS Juniors,9,Leif Zentgraf,923,3.81,1.04,4.85
ETB Miners,30,Marc William Friederici,1004,3.09,1.67,4.76
BBC Coburg,13,Darius Dawson,1246,2.36,2.4,4.76
BSW Sixers,8,Felix Zacharias,627,2.25,2.48,4.73
SKYLINERS Juniors,6,Moses Pölking,375,4.16,0.5,4.66
Iserlohn Kangaroos,32,Tyson Leitao,1230,2.41,2.08,4.49
SV Fellbach Flashers,13,Jonathan Gerlinger,508,4.43,-0.0,4.43
LOK BERNAU,34,Akim-Jamal Jonah,1034,3.03,1.4,4.43
BBC Coburg,12,Dylan Fasoyiro,1121,4.13,0.27,4.39
Dragons Rhöndorf,2,Juhwan Harris-Dyson,1219,1.69,2.68,4.37
BBC Coburg,5,Nico Höllerl,1133,1.77,2.6,4.37
TSV Neustadt temps Shooters,10,Matej Jelovcic,1519,2.47,1.59,4.06
Porsche BBA Ludwigsburg,8,Lukas Modic,504,1.78,2.1,3.88
BBC Coburg,8,Nico Wenzl,1180,2.37,1.45,3.82
OrangeAcademy,36,Marko Dordevic,1008,2.03,1.73,3.76
Hertener Löwen,9,David Ewald,1180,1.99,1.61,3.6
Dragons Rhöndorf,3,Duje Dujmovic,1217,2.34,1.11,3.45
SV Fellbach Flashers,0,Mark Adrian Golder,698,2.12,1.26,3.39
Porsche BBA Ludwigsburg,20,Simon Feneberg,1145,1.49,1.76,3.26
BBC Coburg,10,Tim Herzog,733,1.36,1.84,3.2
TSV Oberhaching Tropics,10,Levi Weng,441,1.15,2.02,3.17
Iserlohn Kangaroos,13,Christopher Schultz,1456,1.39,1.75,3.14
TV Langen,13,Aminu Abibu,1010,3.15,-0.02,3.13
CATL Basketball Löwen,5,Luca Förster,613,1.52,1.58,3.1
BG Hessing Leitershofen,0,Brian Christopher Dawson,1401,1.86,1.19,3.04
LOK BERNAU,24,Guy Artman Nahmias,1296,1.53,1.46,2.99
