Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",4,7.8,471.0,20,7,16,43.8,3,9,33.3,3,4,75.0,0,0,0,4,0,0,2,0,11,19.0,105.4,75.4,30.0,2.55,9
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, D. Davis, M. Šturanović","BK ARMEX ENERGY Děčín|0,13,16,2,47",4,7.7,462.0,21,8,18,44.4,1,6,16.7,4,5,80.0,0,0,0,4,0,0,0,0,10,19.4,108.3,68.5,39.8,2.73,11
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,20,44,47",7,7.6,457.0,18,6,13,46.2,2,4,50.0,4,5,80.0,0,0,0,2,0,0,5,0,11,19.4,92.8,73.8,19.0,2.36,7
BK KVIS Pardubice,"R. Moffatt, L. Kovář, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|13,21,3,4,98",2,6.2,375.0,8,2,10,20.0,0,4,0.0,4,4,100.0,0,0,0,0,0,0,3,0,12,14.2,56.5,80.5,-24.1,1.28,-4
Sršni Photomate Písek,"K. Týml, J. Karlovský, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|33,41,71,77,8",2,6.0,357.0,9,2,6,33.3,0,3,0.0,5,7,71.4,0,0,0,3,0,0,3,0,18,11.6,77.6,143.3,-65.7,1.51,-9
NH Ostrava,"A. Číž, M. Svoboda, K. Cole, L. Greer, D. Heinzl","NH Ostrava|11,20,24,3,7",3,5.8,349.0,13,3,8,37.5,0,2,0.0,7,8,87.5,0,0,0,0,0,0,3,0,13,13.9,93.3,102.6,-9.3,2.23,0
BK Olomoucko,"M. Nelson, K. Elvis, J. Holmes, K. Filewich, O. Šiška","BK Olomoucko|0,1,13,14,9",1,5.5,330.0,13,6,13,46.2,0,2,0.0,1,2,50.0,0,0,0,2,0,0,0,0,5,13.3,97.6,47.3,50.2,2.36,8
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|13,23,3,4,98",3,5.2,311.0,4,2,8,25.0,0,4,0.0,0,1,0.0,0,0,0,4,0,0,2,0,15,10.0,39.9,116.3,-76.3,0.77,-11
BK Opava,"W. Person Jr, Š. Puršl, R. Kouřil, M. Vyroubal, F. Zbránek","BK Opava|1,20,21,25,9",1,5.2,312.0,21,8,12,66.7,3,5,60.0,2,4,50.0,0,0,0,5,0,0,1,0,15,14.2,148.2,120.6,27.6,4.04,6
BK GAPA Hradec Králové,"A. Johnson, C. John, D. Škranc, K. Brewton, L. Nikkarinen","BK GAPA Hradec Králové|0,10,12,2,4",2,5.2,309.0,6,2,8,25.0,1,3,33.3,1,3,33.3,0,0,0,2,0,0,1,0,12,9.9,60.6,98.9,-38.3,1.17,-6
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, M. Šturanović, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,20,47,7",2,5.1,306.0,12,4,8,50.0,2,5,40.0,2,3,66.7,0,0,0,4,0,0,2,0,9,10.9,110.4,126.0,-15.6,2.35,3
NH Ostrava,"M. Čank, M. Svoboda, L. Palyza, K. Cole, L. Greer","NH Ostrava|19,20,23,24,3",1,5.1,307.0,12,4,9,44.4,0,1,0.0,4,4,100.0,0,0,0,1,0,0,0,0,11,10.3,116.2,97.4,18.7,2.35,1
BK KVIS Pardubice,"L. Kovář, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|21,23,3,4,98",2,5.1,305.0,11,3,7,42.9,1,3,33.3,4,4,100.0,0,0,0,1,0,0,0,0,4,8.4,130.8,33.5,97.3,2.16,7
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Potoček, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|0,10,31,4,44",4,5.0,300.0,1,0,6,0.0,0,3,0.0,1,1,100.0,0,0,0,3,0,0,3,0,8,9.1,11.0,70.1,-59.1,0.2,-7
NH Ostrava,"A. Číž, S. Godwin, M. Svoboda, K. Cole, L. Greer","NH Ostrava|11,14,20,24,3",1,5.0,300.0,15,4,12,33.3,1,2,50.0,6,10,60.0,0,0,0,2,0,0,0,0,9,15.7,95.3,88.1,7.2,3.0,6
BK GAPA Hradec Králové,"A. Petric, D. Škranc, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,12,2,24,5",2,4.8,289.0,13,5,8,62.5,1,3,33.3,2,2,100.0,0,0,0,3,0,0,2,0,6,10.4,124.5,56.4,68.1,2.7,7
BK Olomoucko,"K. Elvis, J. Andre, J. Holmes, K. Filewich, A. Goga","BK Olomoucko|1,10,13,14,4",2,4.6,275.0,6,2,6,33.3,0,2,0.0,2,4,50.0,0,0,0,2,0,0,1,0,13,8.4,71.3,152.5,-81.1,1.31,-7
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, R. Kouřil, M. Vyroubal","BK Opava|1,13,20,21,25",2,4.6,276.0,10,3,7,42.9,0,3,0.0,4,6,66.7,0,0,0,3,0,0,2,0,9,11.2,89.5,73.5,16.0,2.17,1
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|1,13,20,24,8",1,4.6,276.0,4,1,4,25.0,0,1,0.0,2,2,100.0,0,0,0,1,0,0,4,0,7,8.5,46.9,83.2,-36.3,0.87,-3
BK GAPA Hradec Králové,"M. Popović, D. Škranc, K. Brewton, T. Merta, K. Chatman","BK GAPA Hradec Králové|10,12,2,23,5",2,4.5,268.0,12,4,6,66.7,1,1,100.0,3,5,60.0,0,0,0,1,0,0,2,0,4,9.8,122.5,46.3,76.3,2.69,8
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, M. Šafařík","USK Praha|1,13,16,25,5",1,4.5,272.0,17,7,11,63.6,2,2,100.0,1,2,50.0,0,0,0,4,0,0,1,0,10,12.4,137.5,75.7,61.8,3.75,7
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, J. Edwards, T. Pomikálek","BK ARMEX ENERGY Děčín|0,13,16,20,5",3,4.5,269.0,12,4,9,44.4,1,3,33.3,3,4,75.0,0,0,0,1,0,0,2,0,4,12.2,98.0,34.2,63.8,2.68,8
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Young, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|0,10,2,4,44",2,4.3,261.0,10,2,5,40.0,1,2,50.0,5,5,100.0,0,0,0,3,0,0,1,0,11,7.9,127.0,101.2,25.8,2.3,-1
