Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",1,K. Elvis,9,O. Šiška,2,6,2,0,1,2.0,6.0
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Potoček, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|0,10,31,4,44",4,T. Vyoral,10,N. Johnson,2,5,1,1,2,1.0,2.5
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Young, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|0,10,2,4,44",4,T. Vyoral,10,N. Johnson,2,5,1,1,2,1.0,2.5
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, D. Davis, M. Šturanović","BK ARMEX ENERGY Děčín|0,13,16,2,47",47,M. Šturanović,13,F. Kroutil,2,5,1,1,2,1.0,2.5
PUMPA Basket Brno,"Š. Svoboda, V. Půlpán, J. Groves, M. Stráněl, R. Farský","PUMPA Basket Brno|11,18,20,7,8",18,V. Půlpán,20,J. Groves,2,5,1,1,2,1.0,2.5
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, J. Edwards, L. Bryan Jr","BK ARMEX ENERGY Děčín|13,16,2,20,22",2,D. Davis,20,J. Edwards,2,4,0,2,1,2.0,4.0
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, D. Heinzl","NH Ostrava|11,19,20,23,7",7,D. Heinzl,19,M. Čank,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, M. Šturanović, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,20,47,7",16,J. Štěrba,20,J. Edwards,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"M. Ježek, R. Jones, R. Mrázek, D. Böhm, R. Pumprla","SK Slavia Praha|12,15,22,7,9",15,R. Jones,22,R. Mrázek,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"M. Ježek, R. Jones, R. Mrázek, D. Böhm, R. Pumprla","SK Slavia Praha|12,15,22,7,9",9,R. Pumprla,22,R. Mrázek,1,3,1,0,1,1.0,3.0
BK Olomoucko,"K. Elvis, J. Andre, D. Žák, A. Goga, J. Svojanovský","BK Olomoucko|1,10,22,4,51",4,A. Goga,10,J. Andre,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, J. Roche","NH Ostrava|11,19,20,23,35",20,M. Svoboda,23,L. Palyza,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, J. Roche","NH Ostrava|11,19,20,23,35",23,L. Palyza,20,M. Svoboda,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,20,44,47",20,J. Edwards,44,L. Feštr,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, M. Svoboda, L. Palyza, L. Greer, J. Roche","NH Ostrava|11,20,23,3,35",3,L. Greer,23,L. Palyza,1,3,1,0,1,1.0,3.0
USK Praha,"J. Montgomery, S. Macht, O. Švec, F. Fuxa, E. Edigin","USK Praha|0,11,16,21,41",0,J. Montgomery,41,E. Edigin,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"M. Popović, D. Škranc, K. Brewton, T. Merta, K. Chatman","BK GAPA Hradec Králové|10,12,2,23,5",2,K. Brewton,5,K. Chatman,1,3,1,0,1,1.0,3.0
