Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
A. Krob,BK ARMEX ENERGY Děčín,32,A. Krob,"D. Davis, L. Feštr, M. Šturanović, T. Pomikálek",1,2.6,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,50.9,156.2,-105.4,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A. Krob,BK ARMEX ENERGY Děčín,32,A. Krob,"J. Edwards, L. Feštr, M. Šturanović, T. Pomikálek",1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,83.6,0.0,83.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Krob,BK ARMEX ENERGY Děčín,32,A. Krob,"D. Davis, M. Šturanović, P. Alexander, T. Pomikálek",1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"F. Kroutil, J. Gabriel, L. Feštr, M. Šturanović",2,5.9,0,0,3,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0.0,0.0,66.0,135.3,-69.3,0.0,0.0,0,25.0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"D. Davis, F. Kroutil, M. Šturanović, P. Alexander",2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,58.1,124.5,-66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"D. Davis, F. Kroutil, L. Feštr, M. Šturanović",1,4.8,4,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,4.0,47.4,106.6,129.0,-22.4,100.0,100.0,0.0,0.0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"D. Davis, J. Edwards, P. Alexander, T. Pomikálek",1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,120.5,141.7,-21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"F. Kroutil, L. Feštr, M. Šturanović, P. Alexander",1,2.9,2,1,4,25.0,0,1,0.0,0,0,0,0,2,2,0,0,1,0,0,4,0,2,2.0,28.6,28.6,104.2,-75.5,25.0,25.0,0.0,0.0,1,1,100,2,0,0,1,0,0,0,0,0,0,0,0,2
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"F. Kroutil, J. Gabriel, M. Šturanović, P. Alexander",1,2.4,3,1,1,100.0,1,1,100.0,0,2,0.0,0,0,0,0,0,0,0,0,2,0,3,3.0,56.2,168.8,88.6,80.2,150.0,79.8,0.0,0.0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"D. Davis, F. Kroutil, J. Štěrba, L. Feštr",1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,51.8,78.1,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"F. Kroutil, J. Edwards, L. Feštr, T. Pomikálek",1,2.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,78.1,-78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"F. Kroutil, L. Feštr, P. Alexander, T. Pomikálek",1,1.5,0,0,1,0.0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,181.7,-181.7,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"D. Davis, F. Kroutil, L. Feštr, T. Pomikálek",1,1.2,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A. Rand,BK ARMEX ENERGY Děčín,24,A. Rand,"D. Davis, L. Feštr, P. Alexander, T. Pomikálek",1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,138.9,0.0,138.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
