Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
SK Slavia Praha,,BK KVIS Pardubice,,1,1968,32.8,67.5,57,25,53,47.2,7,20,35,0,0,0,0,0,0,10,6,0,15,2,63,28,56,50,7,25,28,0,0,0,0,0,0,13,11,1,10,0,68.0,66.0,83.8,95.5,-11.6,95.5,83.8,11.6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Slavia Praha,"J. Matušík, M. Dáňa, M. Ježek, P. Macháč, R. Jones",BK Olomoucko,"D. Žák, K. Filewich, L. Autrey, M. Nelson, O. Šiška",1,615,10.2,19.1,27,12,21,57.1,3,6,50,0,0,0,4,6,10,7,2,0,4,4,16,6,15,40,0,5,0,4,4,100,3,4,7,4,4,0,4,3,20.2,17.6,133.8,91.2,42.6,91.2,133.8,-42.6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"J. Andre, K. Elvis, K. Filewich, M. Nelson, O. Šiška",BK Opava,"C. Brown Jr, J. Slavík, J. Švandrlík, R. Kouřil, W. Person Jr",1,613,10.2,17.6,24,10,18,55.6,3,10,30,1,3,33.3,1,8,9,5,0,0,0,5,19,8,17,47.1,2,9,22.2,1,2,50,2,7,9,4,0,0,1,2,18.2,17.0,131.5,112.1,19.4,112.1,131.5,-19.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK GAPA Hradec Králové,"D. Škranc, K. Brewton, M. Popović, M. Roub, T. Merta",BK Olomoucko,"A. Goga, J. Andre, J. Holmes, K. Filewich, M. Nelson",1,508,8.5,16.0,11,4,13,30.8,1,6,16.7,2,2,100,3,9,12,2,0,2,5,2,16,6,13,46.2,3,5,60,1,3,33.3,0,6,6,5,3,0,2,3,15.7,16.3,70.2,98,-27.8,98,70.2,27.8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK GAPA Hradec Králové,"C. John, K. Chatman, L. Nikkarinen, M. Roub, T. Dvořák",PUMPA Basket Brno,"A. Kejval, D. Jelínek, M. Stráněl, P. Křivánek, R. Farský",1,553,9.2,15.8,19,7,15,46.7,3,9,33.3,2,2,100,2,4,6,5,0,0,1,4,25,11,19,57.9,3,6,50,0,0,0,2,4,6,5,1,1,0,4,14.0,16.1,135.5,154.8,-19.4,154.8,135.5,19.4,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"J. Andre, K. Elvis, K. Filewich, M. Nelson, O. Šiška",NH Ostrava,"A. Číž, J. Roche, L. Palyza, M. Svoboda, M. Čank",1,501,8.3,15.1,24,9,14,64.3,4,6,66.7,2,2,100,3,5,8,7,2,1,3,3,18,7,19,36.8,4,9,44.4,0,0,0,5,2,7,6,3,0,3,1,14.7,15.6,163.6,115.5,48.1,115.5,163.6,-48.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLUNETA  Ústí nad Labem,"A. Pecháček, I. Davidson, J. Young, L. Pecka, N. Johnson",PUMPA Basket Brno,"D. Jelínek, K. Kalu, M. Rychtecký, V. Půlpán, Š. Svoboda",1,501,8.3,14.5,15,6,14,42.9,1,6,16.7,2,2,100,2,5,7,4,1,0,1,3,16,8,12,66.7,0,3,0,0,3,0,1,6,7,7,1,0,3,4,13.7,15.6,109.2,102.5,6.7,102.5,109.2,-6.7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"D. Žák, K. Filewich, L. Autrey, M. Nelson, O. Šiška",BK GAPA Hradec Králové,"D. Škranc, K. Chatman, L. Nikkarinen, M. Roub, T. Merta",1,452,7.5,14.4,24,11,17,64.7,2,4,50,0,0,0,3,6,9,6,1,0,2,0,14,6,13,46.2,2,4,50,0,0,0,1,3,4,4,1,0,1,2,15.8,12.9,152,108.3,43.7,108.3,152,-43.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,"F. Rylich, J. Bohačík, M. Kříž, O. Sehnal, W. Dreamer",SK Slavia Praha,"D. Böhm, M. Dáňa, M. Ježek, P. Macháč, R. Jones",1,427,7.1,14.3,16,8,19,42.1,0,7,0,0,0,0,3,5,8,3,0,0,0,5,22,8,14,57.1,5,9,55.6,1,3,33.3,2,5,7,4,0,0,1,2,14.6,14.5,109.7,151.9,-42.2,151.9,109.7,42.2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Olomoucko,"D. Žák, J. Andre, K. Filewich, M. Nelson, O. Šiška",SK Slavia Praha,"D. Böhm, J. Matušík, M. Dáňa, M. Ježek, R. Clemons",1,439,7.3,13.6,16,5,11,45.5,2,4,50,4,5,80,3,5,8,3,1,0,4,4,10,5,13,38.5,0,5,0,0,1,0,4,2,6,1,3,0,4,3,13.3,13.6,119.9,73.3,46.5,73.3,119.9,-46.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
