Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
SLUNETA  Ústí nad Labem,N. Johnson,10,N. Johnson,36,28.3,1018.0,599.0,16.6,172.0,388.0,44.3,53.0,163.0,32.5,202.0,286.0,70.6,38.0,96.0,134.0,97.0,51.0,19.0,91.0,95.0,544.2,27.8,30.6,5.0,6.8,11,610.0,16.9,31.2,37,2.5,32,21,44.9,48.2,15,3.31,-0.5,3.81,2.5,2.0,181.0,107.0,59.1,43.0,12.0,27.9,163.0,53.0,32.5,34.0,37.0,0.0,20.0,71.0,177.0,129.0
BK ARMEX ENERGY Děčín,J. Edwards,20,J. Edwards,36,24.8,891.6,427.0,11.9,154.0,385.0,40,30.0,121.0,24.8,89.0,134.0,66.4,78.0,190.0,268.0,34.0,21.0,11.0,56.0,98.0,405.1,23.9,25.2,2.0,15.8,8,435.0,12.1,25.7,58,3.9,36,15,68.1,50.6,15,-2.97,-4.45,1.48,4.7,3.7,102.0,61.0,59.8,161.0,62.0,38.5,121.0,30.0,24.8,8.0,29.0,0.0,19.0,89.0,74.0,74.0
SLUNETA  Ústí nad Labem,L. Pecka,44,L. Pecka,36,26.6,956.5,320.0,8.9,127.0,276.0,46,31.0,89.0,34.8,35.0,53.0,66,60.0,205.0,265.0,59.0,29.0,9.0,57.0,89.0,284.5,15.4,17.4,3.2,14.4,6,326.0,9.1,17.7,13,1.4,12,4,47.2,13.8,9,-0.02,-3.48,3.45,4.2,3.8,105.0,65.0,61.9,82.0,31.0,37.8,89.0,31.0,34.8,29.0,16.0,0.0,12.0,71.0,59.0,35.0
Sršni Photomate Písek,J. Svoboda,77,J. Svoboda,36,19.8,711.8,312.0,8.7,98.0,261.0,37.5,48.0,159.0,30.2,68.0,100.0,68,24.0,84.0,108.0,64.0,21.0,1.0,61.0,109.0,328.3,23.5,22.4,4.6,7.8,11,323.0,9.0,23.2,8,0.9,14,0,28.6,20.0,9,-4.4,-6.1,1.71,2.9,3.5,76.0,45.0,59.2,25.0,4.0,16,159.0,48.0,30.2,23.0,25.0,0.0,13.0,65.0,68.0,59.0
SLUNETA  Ústí nad Labem,J. Young,2,J. Young,36,22.0,792.0,301.0,8.4,103.0,244.0,42.2,26.0,82.0,31.7,69.0,84.0,82.1,26.0,80.0,106.0,108.0,42.0,16.0,71.0,76.0,312.9,20.5,19.8,7.1,7.0,4,305.0,8.5,20.0,16,2.3,8,6,75.2,14.6,7,1.16,-3.06,4.21,2.2,2.5,119.0,63.0,52.9,43.0,14.0,32.6,82.0,26.0,31.7,30.0,26.0,0.0,15.0,27.0,94.0,75.0
BK Opava,J. Švandrlík,8,J. Švandrlík,36,22.3,803.5,283.0,7.9,96.0,262.0,36.6,75.0,211.0,35.5,16.0,27.0,59.3,45.0,97.0,142.0,35.0,27.0,9.0,18.0,94.0,237.0,15.3,18.4,2.3,9.2,5,288.0,8.0,18.7,24,2.0,17,4,64.0,19.8,12,0.13,-3.01,3.14,3.4,4.2,35.0,16.0,45.7,16.0,5.0,31.2,211.0,75.0,35.5,6.0,8.0,0.0,4.0,28.0,57.0,63.0
BK ARMEX ENERGY Děčín,F. Kroutil,13,F. Kroutil,36,23.2,836.0,239.0,6.6,71.0,186.0,38.2,43.0,129.0,33.3,54.0,66.0,81.8,22.0,63.0,85.0,60.0,15.0,1.0,36.0,77.0,219.9,13.8,15.0,3.8,5.4,5,244.0,6.8,15.4,33,2.8,18,15,67.1,27.6,12,-2.74,-4.82,2.08,2.4,3.5,34.0,20.0,58.8,22.0,7.0,31.8,129.0,43.0,33.3,24.0,6.0,0.0,6.0,37.0,43.0,39.0
BK ARMEX ENERGY Děčín,L. Feštr,44,L. Feštr,36,16.7,601.6,210.0,5.8,68.0,186.0,36.6,36.0,109.0,33,38.0,46.0,82.6,11.0,47.0,58.0,91.0,6.0,0.0,36.0,61.0,222.0,19.4,18.4,8.0,5.1,20,230.0,6.4,20.1,5,0.7,10,0,25.0,11.0,7,-2.74,-3.86,1.12,1.9,2.3,12.0,7.0,58.3,65.0,25.0,38.5,109.0,36.0,33,25.0,9.0,0.0,2.0,15.0,47.0,28.0
Sršni Photomate Písek,M. Kozák,11,M. Kozák,36,17.4,627.9,164.0,4.6,71.0,154.0,46.1,10.0,39.0,25.6,12.0,22.0,54.5,57.0,85.0,142.0,39.0,22.0,15.0,30.0,83.0,131.2,10.6,13.4,3.2,11.6,3,167.0,4.6,13.6,6,1.2,6,0,50.0,7.0,5,-1.99,-5.24,3.25,4.3,4.4,92.0,53.0,57.6,22.0,8.0,36.4,39.0,10.0,25.6,11.0,14.0,0.0,5.0,43.0,22.0,29.0
Sršni Photomate Písek,J. Haiblík,13,J. Haiblík,36,11.7,422.9,102.0,2.8,34.0,137.0,24.8,16.0,87.0,18.4,18.0,49.0,36.7,23.0,74.0,97.0,23.0,24.0,12.0,17.0,61.0,146.5,17.6,12.3,2.8,11.7,2,104.0,2.9,12.6,6,1.0,6,2,43.6,8.9,6,-6.17,-8.89,2.72,4.2,5.0,46.0,17.0,37,4.0,1.0,25,87.0,16.0,18.4,8.0,4.0,0.0,5.0,14.0,20.0,15.0
