Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Fahro Alihodzic, Jordan Ratinho, Nick Kern Jr, Rodney Chatman Iii",8,69.0,32,12,22,54.5,7,12,58.3,1,3,33.3,1,9,10,9,1,1,2,3,23,20,52,6.5,43.0,115.0,113.6,1.5,70.5,68.6,75.0,5.8,7,4,57.1,3,1,33.3,12,7,58.3,3,1,1,1,0,0,5,9,9
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Mervin James, Rodney Chatman Iii",8,55.4,26,8,18,44.4,5,7,71.4,5,6,83.3,0,2,2,7,3,1,2,4,22,15,41,5.1,38.8,103.1,129.2,-26.1,58.3,63.0,87.5,6.7,6,2,33.3,5,1,20,7,5,71.4,0,1,1,0,0,1,5,1,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Nick Kern Jr, Rodney Glasgow Jr",13,35.5,21,7,11,63.6,3,5,60.0,4,4,100.0,1,6,7,1,2,0,5,1,16,2,23,1.8,34.1,106.8,127.8,-21.0,77.3,82.3,14.3,26.7,6,4,66.7,0,0,0,5,3,60,4,0,2,3,0,0,3,5,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Nick Kern Jr, Prentiss Nixon",12,34.0,17,6,10,60.0,2,4,50.0,3,3,100.0,2,2,4,1,2,0,5,4,14,2,19,1.6,26.8,108.5,112.9,-4.5,70.0,75.1,16.7,28.9,4,3,75,2,1,50,4,2,50,2,0,2,1,0,1,0,6,2
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Rodney Chatman Iii, Rodney Glasgow Jr",6,32.2,5,2,8,25.0,1,4,25.0,0,0,0,1,6,7,7,0,0,1,2,8,17,22,3.7,38.3,115.0,132.6,-17.6,31.2,31.2,350.0,6.2,1,1,100,3,0,0,4,1,25,0,0,0,1,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Nick Kern Jr, Rodney Chatman Iii",9,29.0,9,4,13,30.8,1,8,12.5,0,0,0,0,0,0,1,0,1,1,1,13,2,11,1.2,19.3,96.3,112.5,-16.3,34.6,34.6,25.0,6.7,0,0,0,5,3,60,8,1,12.5,0,1,1,0,0,0,0,0,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Nick Kern Jr, Rodney Chatman Iii",7,27.4,12,5,6,83.3,2,3,66.7,0,0,0,1,0,1,1,1,2,5,2,10,0,12,1.7,22.6,105.4,116.0,-10.6,100.0,100.0,20.0,41.7,2,2,100,1,1,100,3,2,66.7,0,0,2,1,0,1,2,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Fahro Alihodzic, Jordan Ratinho, Nick Kern Jr, Prentiss Nixon",8,26.7,9,3,7,42.9,2,5,40.0,1,2,50.0,0,2,2,3,0,1,0,1,8,7,16,2.0,31.1,107.0,107.6,-0.6,57.1,57.1,100.0,0.0,1,1,100,1,0,0,5,2,40,0,1,0,0,0,0,3,3,9
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Prentiss Nixon, Rodney Chatman Iii",6,25.4,2,0,3,0.0,0,1,0.0,2,2,100.0,1,3,4,1,2,0,1,1,4,3,5,0.8,10.7,98.4,101.3,-2.9,0.0,25.8,0,17.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mervin James, Prentiss Nixon, William Lee",5,23.9,8,3,6,50.0,2,3,66.7,0,0,0,0,4,4,5,2,0,1,0,7,10,18,3.6,37.2,140.6,86.7,53.9,66.7,66.7,166.7,8.3,3,1,33.3,0,0,0,3,2,66.7,0,1,0,1,0,0,3,2,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Rodney Chatman Iii, Rodney Glasgow Jr",9,23.2,21,8,12,66.7,3,5,60.0,2,2,100.0,0,5,5,0,0,1,1,1,13,0,21,2.3,53.3,139.5,108.2,31.2,79.2,81.5,0.0,7.2,3,3,100,4,2,50,5,3,60,2,0,1,0,0,0,3,9,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Mike Ochereobia, Nick Kern Jr, Rodney Chatman Iii, William Lee",6,22.8,12,5,10,50.0,2,6,33.3,0,0,0,0,2,2,1,2,0,1,0,11,2,14,2.3,31.4,105.6,102.8,2.8,60.0,60.0,20.0,8.3,2,2,100,2,1,50,6,2,33.3,1,1,1,0,0,0,0,7,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Fahro Alihodzic, Jordan Ratinho, Prentiss Nixon, Rodney Glasgow Jr",5,20.9,17,7,11,63.6,3,3,100.0,0,0,0,2,1,3,1,0,0,1,0,10,2,19,3.8,48.0,123.7,111.5,12.1,77.3,77.3,14.3,7.7,4,3,75,4,1,25,3,3,100,2,1,1,0,0,0,2,3,5
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Mervin James, Nick Kern Jr, Rodney Chatman Iii",6,18.7,10,4,9,44.4,2,5,40.0,0,0,0,0,4,4,0,0,1,1,1,10,0,10,1.7,22.8,102.5,111.7,-9.2,55.6,55.6,0.0,10.0,3,1,33.3,1,1,100,5,2,40,0,0,0,1,0,0,0,5,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Prentiss Nixon, Rodney Chatman Iii",4,18.0,16,6,8,75.0,2,4,50.0,2,2,100.0,1,4,5,1,1,0,1,1,9,2,18,4.5,51.1,99.4,86.2,13.2,87.5,90.1,16.7,9.2,2,2,100,2,2,100,4,2,50,2,1,1,0,0,0,5,4,2
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Mervin James, Prentiss Nixon",4,17.8,17,7,9,77.8,3,3,100.0,0,0,0,0,3,3,4,0,1,0,0,9,5,22,5.5,56.9,132.0,104.9,27.0,94.4,94.4,57.1,0.0,3,2,66.7,3,2,66.7,3,3,100,2,0,0,0,0,0,3,5,2
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Fahro Alihodzic, Nick Kern Jr, Prentiss Nixon, William Lee",4,17.6,1,0,2,0.0,0,2,0.0,1,2,50.0,0,0,0,3,0,1,1,2,4,2,3,0.8,9.0,140.4,120.8,19.5,0.0,17.4,0,14.5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1
