Canonical,Team,Numbers,Variations
Antto Nikkarinen,Kobrat,4,Antto Nikkarinen
Damian Dunn,Kobrat,7,Damian Dunn
Deon Ejim,Kobrat,22,Deon Ejim
Efton Reid,Kobrat,15,Efton Reid
Greg Elliott,Kobrat,0,Greg Elliott
Juho Lehtoranta,Kobrat,3,Juho Lehtoranta
Lukas Kortesoja,Kobrat,5,Lukas Kortesoja
Masi Makkonen,Kobrat,1,Masi Makkonen
Miikka Marttinen,Kobrat,11,Miikka Marttinen
Simeon Stefanovic,Kobrat,2,Simeon Stefanovic
Topias Härsilä,Kobrat,18,Topias Härsilä
Veeti Helakorpi,Kobrat,8,Veeti Helakorpi
Aj Ferguson,Tapiolan Honka,7,Aj Ferguson
Alvan Laavainen,Tapiolan Honka,5,Alvan Laavainen
Alvar Peltoniemi,Tapiolan Honka,2,Alvar Peltoniemi
David Gonzalvez,Tapiolan Honka,33,David Gonzalvez
Emil Uotila,Tapiolan Honka,14,Emil Uotila
Iiro Tuomi,Tapiolan Honka,25,Iiro Tuomi
Isaiah Kelly,Tapiolan Honka,35,Isaiah Kelly
Matias Rissanen,Tapiolan Honka,8,Matias Rissanen
Riku Korhonen,Tapiolan Honka,10,Riku Korhonen
Taye Donald,Tapiolan Honka,3,Taye Donald
Player None,Kobrat,None,Player None
Brandon Stroud,Kouvot,2,Brandon Stroud
Joel Toikka,Kouvot,21,Joel Toikka
Patrik En,Kouvot,53,Patrik En
Rasmus Lindberg,Kouvot,6,Rasmus Lindberg
Roger McFarlane,Kouvot,1,Roger McFarlane
Teemu Kristeri,Kouvot,3,Teemu Kristeri
Tobias Rotegård,Kouvot,8,Tobias Rotegård
Tuukka Härsilä,Kouvot,11,Tuukka Härsilä
Aamos Nikula,Korihait,3,Aamos Nikula
Bobby Planutis,Korihait,0/21,Bobby Planutis
Bojan Sarcévic,Korihait,7,Bojan Sarcévic
Brian Goracke,Korihait,21,Brian Goracke
Jalen Jackson,Korihait,40,Jalen Jackson
Joni Herrala,Korihait,8,Joni Herrala
Leo Eklund,Korihait,11,Leo Eklund
Mikael Aalto,Korihait,50,Mikael Aalto
Mikael Laihonen,Korihait,16,Mikael Laihonen
Roni Ahvenjärvi,Korihait,6,Roni Ahvenjärvi
Ville Tahvanainen,Korihait,10/13,Ville Tahvanainen
Aaron Carver,KTP-Basket,24,Aaron Carver
Antti Turtiainen,KTP-Basket,23,Antti Turtiainen
D'Marco Dunn,KTP-Basket,3,D'Marco Dunn
Hannes Pöllä,KTP-Basket,44,Hannes Pöllä
Herman Pettersson,KTP-Basket,20,Herman Pettersson
Hugo Stepanoff,KTP-Basket,11,Hugo Stepanoff
Jesper Granlund,KTP-Basket,35,Jesper Granlund
Joona Tuomala,KTP-Basket,31,Joona Tuomala
Koen Sapwell,KTP-Basket,2,Koen Sapwell
Mikko Purola,KTP-Basket,42,Mikko Purola
Niko Mykrä,KTP-Basket,27,Niko Mykrä
Tuomas Hirvonen,KTP-Basket,4,Tuomas Hirvonen
Eetu Lähdetniemi,Kataja Basket,10,Eetu Lähdetniemi
Henri Permanto,Kataja Basket,45,Henri Permanto
Jared Kimbrough,Kataja Basket,3,Jared Kimbrough
Jayden Taylor,Kataja Basket,13/8,Jayden Taylor
Joonas Timonen,Kataja Basket,5,Joonas Timonen
Max Besselink,Kataja Basket,33,Max Besselink
Otso Purmonen,Kataja Basket,8,Otso Purmonen
Teemu Knihtinen,Kataja Basket,21,Teemu Knihtinen
Valtteri Pokela,Kataja Basket,17,Valtteri Pokela
Aamos Laavainen,Kauhajoki,35,Aamos Laavainen
Aleksi Riihimäki,Kauhajoki,32,Aleksi Riihimäki
Antti Ahonen,Kauhajoki,8,Antti Ahonen
Eemi Luukkonen,Kauhajoki,7,Eemi Luukkonen
Fiifi Aidoo,Kauhajoki,55,Fiifi Aidoo
Ike Nweke,Kauhajoki,4,Ike Nweke
Jaeden Zackery,Kauhajoki,11,Jaeden Zackery
Juuso Salmi,Kauhajoki,5,Juuso Salmi
Kalle Koivunen,Kauhajoki,25,Kalle Koivunen
Oliver Kandén,Kauhajoki,14,Oliver Kandén
Ty Berry,Kauhajoki,23,Ty Berry
Ahren Freeman,Tampereen Pyrintö,11,Ahren Freeman
Erik Muhonen,Tampereen Pyrintö,15,Erik Muhonen
Ioannis Chatzinikolas,Tampereen Pyrintö,77,Ioannis Chatzinikolas
Jared Billups,Tampereen Pyrintö,1,Jared Billups
Joona Hakamaa,Tampereen Pyrintö,23,Joona Hakamaa
Kalle Mattila,Tampereen Pyrintö,25,Kalle Mattila
Kion Williams,Tampereen Pyrintö,51,Kion Williams
Otto Räisänen,Tampereen Pyrintö,12,Otto Räisänen
Riku Laine,Tampereen Pyrintö,21,Riku Laine
Topias Jokela,Tampereen Pyrintö,22,Topias Jokela
Valtteri Mervola,Tampereen Pyrintö,5,Valtteri Mervola
Ansley Almonor,Salon Vilpas,0,Ansley Almonor
Claudell Harris Jr.,Salon Vilpas,3,Claudell Harris Jr.
Daniel Rantapaju,Salon Vilpas,28,Daniel Rantapaju
Eero Innamaa,Salon Vilpas,22,Eero Innamaa
Jalen Brooks,Salon Vilpas,5,Jalen Brooks
Luukas Vaara,Salon Vilpas,20,Luukas Vaara
Mikko Koivisto,Salon Vilpas,4,Mikko Koivisto
Samu Adler,Salon Vilpas,12,Samu Adler
Sebastian Lindberg,Salon Vilpas,14,Sebastian Lindberg
Thomas Rönnholm,Salon Vilpas,11,Thomas Rönnholm
Tino Yli-Junnila,Salon Vilpas,2,Tino Yli-Junnila
Ze'Rik Onyema,Salon Vilpas,21,Ze'Rik Onyema
Craig LeCesne,Bisons Loimaa,1,Craig LeCesne
Dean Keeler,Bisons Loimaa,31,Dean Keeler
Elias Pura,Bisons Loimaa,13,Elias Pura
Jalin Anderson,Bisons Loimaa,0,Jalin Anderson
Luukas Koskelo,Bisons Loimaa,3,Luukas Koskelo
Onni Mäkynen,Bisons Loimaa,10,Onni Mäkynen
Pepe Rämö,Bisons Loimaa,30,Pepe Rämö
Robert Hall III,Bisons Loimaa,33,Robert Hall III
Tevaun Kokko,Bisons Loimaa,11,Tevaun Kokko
Tomas Pihlajamäki,Bisons Loimaa,5,Tomas Pihlajamäki
Vesa Heinonen,Bisons Loimaa,14,Vesa Heinonen
Ville Karhu,Bisons Loimaa,21,Ville Karhu
Avery Sullivan,Lahti Basketball,5,Avery Sullivan
Corey Tripp,Lahti Basketball,24,Corey Tripp
Jehloni James,Lahti Basketball,0,Jehloni James
Kalle Peltonen,Lahti Basketball,95,Kalle Peltonen
Lassi Kilpinen,Lahti Basketball,2,Lassi Kilpinen
Luerensley Williams III,Lahti Basketball,4,Luerensley Williams III
Paavo Makkonen,Lahti Basketball,71,Paavo Makkonen
Pyry Kaunola,Lahti Basketball,13,Pyry Kaunola
Topias Kuukkanen,Lahti Basketball,23,Topias Kuukkanen
Velmeri Niementö,Lahti Basketball,11,Velmeri Niementö
Vili Nyman,Lahti Basketball,10,Vili Nyman
Adong Makuoi,Helsinki Seagulls,22,Adong Makuoi
Christian Keeling,Helsinki Seagulls,55,Christian Keeling
Chrysostom Chukwuma,Helsinki Seagulls,0,Chrysostom Chukwuma
Elias Leskinen,Helsinki Seagulls,5,Elias Leskinen
Justus Kilpinen,Helsinki Seagulls,40,Justus Kilpinen
Kahron Ross,Helsinki Seagulls,3,Kahron Ross
Lenni Hervola,Helsinki Seagulls,25,Lenni Hervola
Leo Johnson,Helsinki Seagulls,7,Leo Johnson
Osku Heinonen,Helsinki Seagulls,10,Osku Heinonen
Rene Rougeau,Helsinki Seagulls,4,Rene Rougeau
Ricky Waxlax,Helsinki Seagulls,47,Ricky Waxlax
Trey Niemi,Helsinki Seagulls,2,Trey Niemi
Samuli Vartiainen,Tapiolan Honka,6,Samuli Vartiainen
Veeti Ulander,Tapiolan Honka,11,Veeti Ulander
Jaquan Carlos,Kataja Basket,2/23,Jaquan Carlos
Aarni Korkiatupa,Kouvot,22,Aarni Korkiatupa
Sheriff Drammeh,Korihait,5,Sheriff Drammeh
Jussi Turja,Kobrat,10,Jussi Turja
Beon Riley,KTP-Basket,0,Beon Riley
Tai Bibbs,Kouvot,33,Tai Bibbs
