# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 182
# Qualified players exported: 82
# Total stints used: 1875
# Garbage time stints excluded: 74
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Kataja Basket,2,De'Vion Harmon,321,3.93,3.26,7.2
Korihait,50,Mikael Aalto,571,2.8,3.22,6.01
Korihait,7,Bojan Sarcévic,938,1.82,2.66,4.48
Kataja Basket,10,Eetu Lähdetniemi,337,1.86,2.36,4.22
Kouvot,8,Tobias Rotegård,263,1.18,2.94,4.12
Tapiolan Honka,3,Taye Donald,489,3.01,0.7,3.71
Kataja Basket,18,Antti Kanervo,282,2.54,1.16,3.7
KTP-Basket,44,Hannes Pöllä,524,-0.23,3.72,3.49
Kauhajoki,22,Christian Davis,389,1.22,2.01,3.22
Salon Vilpas,5,Jalen Brooks,692,1.44,1.62,3.06
KTP-Basket,8,Jayden Taylor,483,-0.27,2.43,2.17
Salon Vilpas,24,Jack Forrest,304,1.88,0.07,1.96
Tampereen Pyrintö,11,Ahren Freeman,430,1.0,0.92,1.93
Tampereen Pyrintö,21,Riku Laine,401,0.82,1.06,1.89
Salon Vilpas,22,Eero Innamaa,663,1.05,0.75,1.8
Salon Vilpas,21,Ze'Rik Onyema,307,2.77,-1.04,1.73
Kauhajoki,8,Antti Ahonen,612,2.35,-0.66,1.69
Helsinki Seagulls,5,Elias Leskinen,357,0.8,0.84,1.63
Kataja Basket,45,Henri Permanto,549,1.25,0.37,1.62
Helsinki Seagulls,0,Chrysostom Chukwuma,449,1.21,0.33,1.54
Salon Vilpas,4,Mikko Koivisto,273,1.89,-0.47,1.42
Salon Vilpas,0,Ansley Almonor,983,1.18,0.23,1.4
Tapiolan Honka,35,Isaiah Kelly,462,0.43,0.88,1.31
Korihait,20,Frank Champion,968,-0.05,1.31,1.27
Kauhajoki,7,Eemi Luukkonen,741,-0.22,1.45,1.23
Korihait,40,Jalen Jackson,1079,0.42,0.75,1.17
KTP-Basket,2,Koen Sapwell,293,0.15,0.89,1.03
Korihait,8,Joni Herrala,312,1.01,0.03,1.03
Kouvot,2,Brandon Stroud,423,0.78,0.18,0.96
Tampereen Pyrintö,23,Joona Hakamaa,274,1.41,-0.46,0.95
Kataja Basket,55,Henri Kantonen,509,-0.02,0.96,0.94
Helsinki Seagulls,55,Christian Keeling,387,-0.17,1.0,0.83
Kauhajoki,23,Ty Berry,571,-1.55,2.33,0.79
Kouvot,11,Tuukka Härsilä,303,-0.51,1.27,0.77
Korihait,13,Ville Tahvanainen,531,0.75,-0.16,0.58
Tampereen Pyrintö,13,Kaleb Warner,319,1.15,-0.71,0.44
Tapiolan Honka,25,Iiro Tuomi,274,-0.19,0.52,0.33
Kouvot,33,Tai Bibbs,253,0.05,0.28,0.33
Kouvot,3,Teemu Kristeri,299,-1.14,1.33,0.19
Kauhajoki,4,Ike Nweke,599,0.17,-0.14,0.03
KTP-Basket,11,Hugo Stepanoff,288,0.11,-0.3,-0.19
Salon Vilpas,20,Luukas Vaara,423,-1.75,1.49,-0.26
KTP-Basket,35,Jesper Granlund,426,-2.72,2.45,-0.27
Kauhajoki,25,Kalle Koivunen,393,-1.72,1.44,-0.28
Helsinki Seagulls,40,Justus Kilpinen,309,0.25,-0.68,-0.42
Tapiolan Honka,33,David Gonzalvez,564,0.87,-1.31,-0.44
Kouvot,53,Patrik En,273,-1.45,0.9,-0.54
Bisons Loimaa,0,Jalin Anderson,343,1.07,-1.68,-0.61
Lahti Basketball,1,Arttu Saarijärvi,343,-0.07,-0.57,-0.65
Tapiolan Honka,2,Alvar Peltoniemi,855,-1.09,0.36,-0.74
Kauhajoki,35,Aamos Laavainen,449,-1.81,1.01,-0.8
Kataja Basket,3,Jared Kimbrough,288,-1.34,0.49,-0.86
Tapiolan Honka,10,Riku Korhonen,505,-0.64,-0.22,-0.86
Kouvot,6,Rasmus Lindberg,296,0.35,-1.34,-0.98
Lahti Basketball,0,Jehloni James,645,0.94,-1.94,-1.0
Lahti Basketball,95,Kalle Peltonen,348,0.13,-1.15,-1.03
Kauhajoki,14,Oliver Kandén,635,-2.53,1.38,-1.15
Bisons Loimaa,31,Dean Keeler,322,0.55,-1.72,-1.17
Korihait,13,Jamir Harris,709,0.77,-1.98,-1.21
Tampereen Pyrintö,1,Jared Billups,619,-3.29,1.86,-1.43
Tampereen Pyrintö,5,Valtteri Mervola,395,-2.56,1.09,-1.47
Korihait,0,Bobby Planutis,295,-0.78,-0.76,-1.54
KTP-Basket,24,Aaron Carver,618,-1.01,-0.56,-1.57
Lahti Basketball,34,Max Brooks,275,0.68,-2.43,-1.76
Kouvot,22,Aarni Korkiatupa,446,0.02,-1.84,-1.83
Tapiolan Honka,5,Alvan Laavainen,331,-1.47,-0.44,-1.91
Tapiolan Honka,7,Aj Ferguson,638,-1.44,-0.54,-1.98
Tapiolan Honka,14,Emil Uotila,473,-1.71,-0.36,-2.07
Kobrat,3,Juho Lehtoranta,391,-0.3,-1.98,-2.27
Kobrat,15,Efton Reid,390,-1.07,-1.43,-2.51
Kobrat,23,Jaquan Carlos,278,-0.64,-2.56,-3.2
Kobrat,21,Bobby Planutis,326,-0.27,-3.06,-3.33
Kauhajoki,5,Juuso Salmi,271,-1.98,-1.35,-3.33
KTP-Basket,0,Beon Riley,290,-0.83,-2.74,-3.57
Salon Vilpas,28,Daniel Rantapaju,407,-1.29,-2.44,-3.73
Kobrat,7,Damian Dunn,298,-2.23,-1.68,-3.91
Kataja Basket,21,Teemu Knihtinen,279,-0.6,-3.36,-3.96
Lahti Basketball,4,Luerensley Williams III,459,0.31,-4.31,-4.0
Korihait,21,Brian Goracke,932,-2.38,-1.68,-4.06
Salon Vilpas,14,Sebastian Lindberg,313,-2.62,-1.46,-4.08
Tampereen Pyrintö,15,Erik Muhonen,572,-1.87,-2.89,-4.76
Kataja Basket,5,Joonas Timonen,339,-3.15,-2.52,-5.67
