Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Christoph Rupp, Daryl Woodmore, Dennis Diala, Oskar Humpert",2,11.7,14,5,8,62.5,2,4,50.0,2,6,33.3,3,3,6,0,1,0,1,3,8,0,14,7.0,61.6,131.9,69.7,62.2,75.0,65.8,0.0,8.6,3,2,66.7,1,1,100,0,0,0,2,1,0,1,0,0,3,3,3
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Christoph Rupp, Daryl Woodmore, David Aichele, Oskar Humpert",2,7.6,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0,1,0,0,2,3,4,2,2,1.0,12.5,100.1,66.9,33.2,0.0,0.0,0,41.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Daryl Woodmore, Dennis Diala, Leon Geißler, Oskar Humpert",4,5.7,1,0,1,0.0,0,0,0,1,1,100.0,0,3,3,0,1,0,0,2,1,0,1,0.2,9.4,84.9,82.2,2.7,0.0,34.7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Daryl Woodmore, David Aichele, Dennis Diala, Oskar Humpert",4,5.6,5,2,4,50.0,1,3,33.3,0,0,0,0,0,0,2,0,0,1,2,5,5,10,2.5,91.9,101.1,100.0,1.1,62.5,62.5,100.0,14.3,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Felix Angerbauer, Joshua Kreilein, Leon Geißler, Oluwadamilola Ade-Eri",2,5.5,1,0,2,0.0,0,2,0.0,1,1,100.0,1,0,1,1,0,0,1,0,2,3,4,2.0,35.9,89.8,106.1,-16.3,0.0,20.5,0,22.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Dennis Diala, Joshua Kreilein, Leon Geißler, Oluwadamilola Ade-Eri",1,3.6,2,1,4,25.0,0,2,0.0,0,0,0,0,1,1,2,0,0,1,0,5,4,6,6.0,104.9,139.9,94.1,45.8,25.0,25.0,200.0,14.3,0,0,0,2,1,50,0,0,0,0,0,1,0,0,0,0,0,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Daryl Woodmore, Dennis Diala, Leon Geißler, Oluwadamilola Ade-Eri",1,3.6,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,2,0,0,0,0,2,5,10,10.0,148.4,207.7,109.8,97.9,150.0,133.0,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Dennis Diala, Felix Angerbauer, Leon Geißler, Oskar Humpert",2,3.5,5,2,2,100.0,1,1,100.0,0,0,0,0,1,1,0,1,0,1,0,3,0,5,2.5,84.3,118.0,63.0,55.0,125.0,125.0,0.0,33.3,1,1,100,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Christoph Rupp, Dennis Diala, Felix Angerbauer, Oskar Humpert",1,3.4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,80.0,-80.0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carlos Hidalgo Guijo,Ahorn Camp Baskets,9,Carlos Hidalgo Guijo,"Daryl Woodmore, Dennis Diala, Joshua Kreilein, Leon Geißler",2,2.9,0,0,1,0.0,0,1,0.0,0,1,0.0,1,1,2,1,0,0,0,0,0,3,3,1.5,61.6,61.6,250.0,-188.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
