Team,Player,Stat,Official_Total,Lineup_Sum_Total,Difference,Note
Bristol Flyers,William Yoakum,POINTS,269.0,1129,-860.0,Parsing Error
Bristol Flyers,William Yoakum,FGM,101.0,405,-304.0,Parsing Error
Bristol Flyers,William Yoakum,FGA,197.0,906,-709.0,Parsing Error
Bristol Flyers,William Yoakum,FG3M,24.0,124,-100.0,Parsing Error
Bristol Flyers,William Yoakum,FG3A,65.0,349,-284.0,Parsing Error
Bristol Flyers,William Yoakum,FTM,43.0,195,-152.0,Parsing Error
Bristol Flyers,William Yoakum,FTA,59.0,287,-228.0,Parsing Error
Bristol Flyers,William Yoakum,OREB,24.0,171,-147.0,Parsing Error
Bristol Flyers,William Yoakum,DREB,52.0,383,-331.0,Parsing Error
Bristol Flyers,William Yoakum,AST,23.0,268,-245.0,Parsing Error
Bristol Flyers,William Yoakum,STL,27.0,121,-94.0,Parsing Error
Bristol Flyers,William Yoakum,BLK,9.0,40,-31.0,Parsing Error
Bristol Flyers,William Yoakum,TOV,21.0,174,-153.0,Parsing Error
Bristol Flyers,William Yoakum,PF,43.0,212,-169.0,Parsing Error
Bristol Flyers,Zachary Anderson,POINTS,208.0,1228,-1020.0,Parsing Error
Bristol Flyers,Zachary Anderson,FGM,75.0,445,-370.0,Parsing Error
Bristol Flyers,Zachary Anderson,FGA,188.0,1047,-859.0,Parsing Error
Bristol Flyers,Zachary Anderson,FG3M,35.0,136,-101.0,Parsing Error
Bristol Flyers,Zachary Anderson,FG3A,105.0,407,-302.0,Parsing Error
Bristol Flyers,Zachary Anderson,FTM,23.0,202,-179.0,Parsing Error
Bristol Flyers,Zachary Anderson,FTA,34.0,307,-273.0,Parsing Error
Bristol Flyers,Zachary Anderson,OREB,13.0,196,-183.0,Parsing Error
Bristol Flyers,Zachary Anderson,DREB,92.0,423,-331.0,Parsing Error
Bristol Flyers,Zachary Anderson,AST,45.0,286,-241.0,Parsing Error
Bristol Flyers,Zachary Anderson,STL,17.0,123,-106.0,Parsing Error
Bristol Flyers,Zachary Anderson,BLK,15.0,43,-28.0,Parsing Error
Bristol Flyers,Zachary Anderson,TOV,21.0,209,-188.0,Parsing Error
Bristol Flyers,Zachary Anderson,PF,24.0,251,-227.0,Parsing Error
Bristol Flyers,Cameron Holden,POINTS,189.0,1155,-966.0,Parsing Error
Bristol Flyers,Cameron Holden,FGM,64.0,418,-354.0,Parsing Error
Bristol Flyers,Cameron Holden,FGA,160.0,947,-787.0,Parsing Error
Bristol Flyers,Cameron Holden,FG3M,12.0,129,-117.0,Parsing Error
Bristol Flyers,Cameron Holden,FG3A,40.0,375,-335.0,Parsing Error
Bristol Flyers,Cameron Holden,FTM,49.0,190,-141.0,Parsing Error
Bristol Flyers,Cameron Holden,FTA,92.0,291,-199.0,Parsing Error
Bristol Flyers,Cameron Holden,OREB,52.0,188,-136.0,Parsing Error
Bristol Flyers,Cameron Holden,DREB,60.0,387,-327.0,Parsing Error
Bristol Flyers,Cameron Holden,AST,94.0,271,-177.0,Parsing Error
Bristol Flyers,Cameron Holden,STL,36.0,129,-93.0,Parsing Error
Bristol Flyers,Cameron Holden,BLK,6.0,36,-30.0,Parsing Error
Bristol Flyers,Cameron Holden,TOV,40.0,188,-148.0,Parsing Error
Bristol Flyers,Cameron Holden,PF,55.0,238,-183.0,Parsing Error
Bristol Flyers,Owen Mccormack,POINTS,190.0,839,-649.0,Parsing Error
Bristol Flyers,Owen Mccormack,FGM,63.0,290,-227.0,Parsing Error
Bristol Flyers,Owen Mccormack,FGA,121.0,683,-562.0,Parsing Error
Bristol Flyers,Owen Mccormack,FG3M,37.0,98,-61.0,Parsing Error
Bristol Flyers,Owen Mccormack,FG3A,78.0,298,-220.0,Parsing Error
Bristol Flyers,Owen Mccormack,FTM,27.0,161,-134.0,Parsing Error
Bristol Flyers,Owen Mccormack,FTA,35.0,243,-208.0,Parsing Error
Bristol Flyers,Owen Mccormack,OREB,19.0,132,-113.0,Parsing Error
Bristol Flyers,Owen Mccormack,DREB,78.0,299,-221.0,Parsing Error
Bristol Flyers,Owen Mccormack,AST,32.0,202,-170.0,Parsing Error
Bristol Flyers,Owen Mccormack,STL,10.0,87,-77.0,Parsing Error
Bristol Flyers,Owen Mccormack,BLK,6.0,34,-28.0,Parsing Error
Bristol Flyers,Owen Mccormack,TOV,28.0,137,-109.0,Parsing Error
Bristol Flyers,Owen Mccormack,PF,46.0,172,-126.0,Parsing Error
Bristol Flyers,Joseph Anderson,POINTS,276.0,1271,-995.0,Parsing Error
Bristol Flyers,Joseph Anderson,FGM,103.0,464,-361.0,Parsing Error
Bristol Flyers,Joseph Anderson,FGA,247.0,1070,-823.0,Parsing Error
Bristol Flyers,Joseph Anderson,FG3M,45.0,140,-95.0,Parsing Error
Bristol Flyers,Joseph Anderson,FG3A,142.0,430,-288.0,Parsing Error
Bristol Flyers,Joseph Anderson,FTM,25.0,203,-178.0,Parsing Error
Bristol Flyers,Joseph Anderson,FTA,34.0,317,-283.0,Parsing Error
Bristol Flyers,Joseph Anderson,OREB,10.0,196,-186.0,Parsing Error
Bristol Flyers,Joseph Anderson,DREB,43.0,430,-387.0,Parsing Error
Bristol Flyers,Joseph Anderson,AST,103.0,297,-194.0,Parsing Error
Bristol Flyers,Joseph Anderson,STL,40.0,140,-100.0,Parsing Error
Bristol Flyers,Joseph Anderson,BLK,1.0,45,-44.0,Parsing Error
Bristol Flyers,Joseph Anderson,TOV,32.0,201,-169.0,Parsing Error
Bristol Flyers,Joseph Anderson,PF,25.0,268,-243.0,Parsing Error
Bristol Flyers,Jonathan Brown,POINTS,152.0,722,-570.0,Parsing Error
Bristol Flyers,Jonathan Brown,FGM,49.0,254,-205.0,Parsing Error
Bristol Flyers,Jonathan Brown,FGA,142.0,597,-455.0,Parsing Error
Bristol Flyers,Jonathan Brown,FG3M,16.0,71,-55.0,Parsing Error
Bristol Flyers,Jonathan Brown,FG3A,63.0,221,-158.0,Parsing Error
Bristol Flyers,Jonathan Brown,FTM,38.0,143,-105.0,Parsing Error
Bristol Flyers,Jonathan Brown,FTA,50.0,207,-157.0,Parsing Error
Bristol Flyers,Jonathan Brown,OREB,7.0,112,-105.0,Parsing Error
Bristol Flyers,Jonathan Brown,DREB,30.0,255,-225.0,Parsing Error
Bristol Flyers,Jonathan Brown,AST,27.0,163,-136.0,Parsing Error
Bristol Flyers,Jonathan Brown,STL,8.0,63,-55.0,Parsing Error
Bristol Flyers,Jonathan Brown,BLK,3.0,30,-27.0,Parsing Error
Bristol Flyers,Jonathan Brown,TOV,33.0,132,-99.0,Parsing Error
Bristol Flyers,Jonathan Brown,PF,15.0,152,-137.0,Parsing Error
Bristol Flyers,Marcus Delpeche,POINTS,145.0,573,-428.0,Parsing Error
Bristol Flyers,Marcus Delpeche,FGM,60.0,212,-152.0,Parsing Error
Bristol Flyers,Marcus Delpeche,FGA,111.0,498,-387.0,Parsing Error
Bristol Flyers,Marcus Delpeche,FG3M,1.0,54,-53.0,Parsing Error
Bristol Flyers,Marcus Delpeche,FG3A,1.0,174,-173.0,Parsing Error
Bristol Flyers,Marcus Delpeche,FTM,24.0,95,-71.0,Parsing Error
Bristol Flyers,Marcus Delpeche,FTA,39.0,142,-103.0,Parsing Error
Bristol Flyers,Marcus Delpeche,OREB,40.0,99,-59.0,Parsing Error
Bristol Flyers,Marcus Delpeche,DREB,47.0,191,-144.0,Parsing Error
Bristol Flyers,Marcus Delpeche,AST,15.0,141,-126.0,Parsing Error
Bristol Flyers,Marcus Delpeche,STL,12.0,65,-53.0,Parsing Error
Bristol Flyers,Marcus Delpeche,BLK,4.0,17,-13.0,Parsing Error
Bristol Flyers,Marcus Delpeche,TOV,26.0,101,-75.0,Parsing Error
Bristol Flyers,Marcus Delpeche,PF,44.0,131,-87.0,Parsing Error
Bristol Flyers,Milos Dugalic,POINTS,64.0,480,-416.0,Parsing Error
Bristol Flyers,Milos Dugalic,FGM,22.0,169,-147.0,Parsing Error
Bristol Flyers,Milos Dugalic,FGA,78.0,428,-350.0,Parsing Error
