Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,21,Raequan Battle,10,28,8,2,7,1.43,4.0
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",3,Laquincy Rideau,2,Michael Diggins,11,26,4,7,10,1.1,2.6
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|13,22,3,4,7",22,Joseph Anderson,13,Owen Mccormack,9,26,8,1,6,1.5,4.33
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,41,Nathaniel Martin,12,24,0,12,6,2.0,4.0
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",23,Jaxon Brenchley,99,Skyler White,7,21,7,0,4,1.75,5.25
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",22,Joseph Anderson,4,Zachary Anderson,7,20,6,1,5,1.4,4.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",2,Marc Loving,21,Raequan Battle,7,19,5,2,5,1.4,3.8
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",22,Joseph Anderson,3,William Yoakum,8,18,2,6,5,1.6,3.6
Cheshire Phoenix,"Tobias Cameron, Patrick Robinson, Michael Diggins, Jaxon Brenchley, Skyler White","Cheshire Phoenix|11,13,2,23,99",13,Patrick Robinson,2,Michael Diggins,6,16,4,2,2,3.0,8.0
Manchester Basketball,"Jordan Johnson, Max Jones, Oluwaseyi Adetukasi, Matthew Nicholson, Kaiyem Cleary","Manchester Basketball|11,2,22,34,9",11,Jordan Johnson,9,Kaiyem Cleary,7,16,2,5,5,1.4,3.2
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",23,Jaxon Brenchley,11,Tobias Cameron,6,16,4,2,4,1.5,4.0
Manchester Basketball,"Patrick Smith Jr, Max Jones, Oluwaseyi Adetukasi, Matthew Nicholson, Kaiyem Cleary","Manchester Basketball|0,2,22,34,9",0,Patrick Smith Jr,2,Max Jones,6,16,4,2,4,1.5,4.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,2,Marc Loving,6,15,3,3,5,1.2,3.0
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",3,Laquincy Rideau,99,Skyler White,5,14,4,1,5,1.0,2.8
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",3,Laquincy Rideau,11,Tobias Cameron,5,14,4,1,4,1.25,3.5
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,20,Spencer Johnson,6,14,2,4,5,1.2,2.8
Bristol Flyers,"Marcus Delpeche, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|21,22,3,4,7",7,Cameron Holden,4,Zachary Anderson,5,13,3,2,4,1.25,3.25
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",20,Spencer Johnson,2,Marc Loving,5,13,3,2,4,1.25,3.25
Surrey 89ers,"Isiah Small, Owen Koonce, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,1,12,21,7",7,Ronald Polite Iii,12,Kino Lily Jr,5,13,3,2,3,1.67,4.33
Surrey 89ers,"Isiah Small, Owen Koonce, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,1,12,21,7",12,Kino Lily Jr,0,Isiah Small,5,12,2,3,4,1.25,3.0
Bristol Flyers,"Marcus Delpeche, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|21,22,3,4,7",7,Cameron Holden,21,Marcus Delpeche,6,12,0,6,5,1.2,2.4
Caledonia Gladiators,"Kevin Allen, Ria'n Holland, Charles Jet Speelman, Ethan Wright, Fraser Malcolm","Caledonia Gladiators|0,10,22,40,7",10,Ria'n Holland,40,Ethan Wright,5,12,2,3,2,2.5,6.0
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|13,22,3,4,7",22,Joseph Anderson,4,Zachary Anderson,4,11,3,1,3,1.33,3.67
Manchester Basketball,"Patrick Smith Jr, Max Jones, Oluwaseyi Adetukasi, Gabriel Osbuhein, Kaiyem Cleary","Manchester Basketball|0,2,22,3,9",2,Max Jones,9,Kaiyem Cleary,4,11,3,1,3,1.33,3.67
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",41,Nathaniel Martin,21,Raequan Battle,5,11,1,4,4,1.25,2.75
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",21,Raequan Battle,2,Marc Loving,5,11,1,4,4,1.25,2.75
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",41,Nathaniel Martin,20,Spencer Johnson,4,11,3,1,3,1.33,3.67
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",20,Spencer Johnson,21,Raequan Battle,4,11,3,1,4,1.0,2.75
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|13,22,3,4,7",7,Cameron Holden,13,Owen Mccormack,4,10,2,2,3,1.33,3.33
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",23,Jaxon Brenchley,3,Laquincy Rideau,4,10,2,2,4,1.0,2.5
Surrey 89ers,"Isiah Small, Owen Koonce, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,1,12,21,7",7,Ronald Polite Iii,1,Owen Koonce,4,10,2,2,3,1.33,3.33
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",7,Cameron Holden,4,Zachary Anderson,4,10,2,2,3,1.33,3.33
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",4,Zachary Anderson,3,William Yoakum,4,10,2,2,4,1.0,2.5
Manchester Basketball,"Patrick Smith Jr, Kayne Henry, Max Jones, Gabriel Osbuhein, Zak Irvin","Manchester Basketball|0,13,2,3,7",3,Gabriel Osbuhein,7,Zak Irvin,5,10,0,5,1,5.0,10.0
Manchester Basketball,"Jordan Johnson, Max Jones, Oluwaseyi Adetukasi, Matthew Nicholson, Kaiyem Cleary","Manchester Basketball|11,2,22,34,9",11,Jordan Johnson,34,Matthew Nicholson,5,10,0,5,5,1.0,2.0
Manchester Basketball,"Patrick Smith Jr, Max Jones, Oluwaseyi Adetukasi, Matthew Nicholson, Kaiyem Cleary","Manchester Basketball|0,2,22,34,9",0,Patrick Smith Jr,34,Matthew Nicholson,5,10,0,5,4,1.25,2.5
B. Braun Sheffield Sharks,"Dirk Williams, Prentiss Nixon, Jalen Deloach, Mervin James, Jordan Ratinho","B. Braun Sheffield Sharks|1,2,23,5,9",2,Prentiss Nixon,1,Dirk Williams,4,10,2,2,3,1.33,3.33
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Rodney Chatman Iii, Mervin James, Jordan Ratinho","B. Braun Sheffield Sharks|1,23,3,5,9",1,Dirk Williams,23,Jalen Deloach,5,10,0,5,3,1.67,3.33
London Lions,"Joel Scott, Jonathan Williams, Aaryndeep Rai, Kameron Mcgusty, Shavar Reynolds Jr","London Lions|1,13,21,23,33",23,Kameron Mcgusty,33,Shavar Reynolds Jr,3,9,3,0,2,1.5,4.5
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",51,Darnell Brodie,22,Joseph Anderson,4,9,1,3,4,1.0,2.25
B. Braun Sheffield Sharks,"Dirk Williams, Rodney Glasgow Jr, Mike Ochereobia, Nick Kern Jr, Jordan Ratinho","B. Braun Sheffield Sharks|1,11,15,24,9",24,Nick Kern Jr,1,Dirk Williams,3,9,3,0,3,1.0,3.0
Leicester Riders,"Aaron Menzies, Donald Carey Jr, Raequan Battle, Travis Evee, Emmanuel Akot","Leicester Riders|12,13,21,3,9",13,Donald Carey Jr,21,Raequan Battle,4,9,1,3,3,1.33,3.0
Leicester Riders,"Aaron Menzies, Donald Carey Jr, Raequan Battle, Travis Evee, Emmanuel Akot","Leicester Riders|12,13,21,3,9",9,Emmanuel Akot,3,Travis Evee,3,9,3,0,3,1.0,3.0
Cheshire Phoenix,"Patrick Robinson, Michael Diggins, Laquincy Rideau, Frankie Policelli, Skyler White","Cheshire Phoenix|13,2,3,5,99",3,Laquincy Rideau,13,Patrick Robinson,3,9,3,0,2,1.5,4.5
Cheshire Phoenix,"Patrick Robinson, Michael Diggins, Laquincy Rideau, Frankie Policelli, Skyler White","Cheshire Phoenix|13,2,3,5,99",13,Patrick Robinson,99,Skyler White,3,9,3,0,3,1.0,3.0
Cheshire Phoenix,"Tobias Cameron, Jaxon Brenchley, Laquincy Rideau, Frankie Policelli, Skyler White","Cheshire Phoenix|11,23,3,5,99",3,Laquincy Rideau,99,Skyler White,3,9,3,0,3,1.0,3.0
Caledonia Gladiators,"Kevin Allen, Totonitoluwa Fagbenle, Matthew Ragsdale, Ethan Wright, Kyle Jimenez","Caledonia Gladiators|0,11,24,40,6",40,Ethan Wright,24,Matthew Ragsdale,3,9,3,0,1,3.0,9.0
London Lions,"Ethan Price, Karolis Lukosiunas, Chasson Jermar Randle, Aaryndeep Rai, Tarik Phillip","London Lions|10,16,2,21,22",22,Tarik Phillip,16,Karolis Lukosiunas,3,9,3,0,3,1.0,3.0
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Darnell Brodie, Cameron Holden","Bristol Flyers|13,22,3,51,7",7,Cameron Holden,22,Joseph Anderson,3,9,3,0,3,1.0,3.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Raequan Battle, Travis Evee, Nathaniel Martin","Leicester Riders|13,2,21,3,41",3,Travis Evee,21,Raequan Battle,3,9,3,0,2,1.5,4.5
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",2,Michael Diggins,99,Skyler White,3,9,3,0,3,1.0,3.0
Bristol Flyers,"Owen Mccormack, Milos Dugalic, Zachary Anderson, Darnell Brodie, Jonathan Brown","Bristol Flyers|13,25,4,51,9",4,Zachary Anderson,13,Owen Mccormack,3,9,3,0,1,3.0,9.0
Cheshire Phoenix,"Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Damiri Lindo, Skyler White","Cheshire Phoenix|2,23,3,9,99",3,Laquincy Rideau,2,Michael Diggins,4,9,1,3,3,1.33,3.0
Caledonia Gladiators,"Charles Jet Speelman, Matthew Ragsdale, Ethan Wright, Lloyd Alvin Bryan Jr, Kyle Jimenez","Caledonia Gladiators|22,24,40,56,6",40,Ethan Wright,22,Charles Jet Speelman,3,9,3,0,2,1.5,4.5
Cheshire Phoenix,"Greg Wild, Patrick Robinson, Michael Diggins, Matthew Zona, Damiri Lindo","Cheshire Phoenix|1,13,2,24,9",13,Patrick Robinson,24,Matthew Zona,3,9,3,0,1,3.0,9.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",21,Raequan Battle,13,Donald Carey Jr,3,9,3,0,3,1.0,3.0
Surrey 89ers,"Isiah Small, Owen Koonce, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,1,12,21,7",0,Isiah Small,12,Kino Lily Jr,3,9,3,0,2,1.5,4.5
Manchester Basketball,"Patrick Smith Jr, Max Jones, Matthew Nicholson, Zak Irvin, Kaiyem Cleary","Manchester Basketball|0,2,34,7,9",0,Patrick Smith Jr,9,Kaiyem Cleary,3,8,2,1,1,3.0,8.0
Cheshire Phoenix,"Tobias Cameron, Patrick Robinson, Michael Diggins, Jaxon Brenchley, Skyler White","Cheshire Phoenix|11,13,2,23,99",23,Jaxon Brenchley,13,Patrick Robinson,3,8,2,1,3,1.0,2.67
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",22,Joseph Anderson,51,Darnell Brodie,4,8,0,4,4,1.0,2.0
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",7,Cameron Holden,51,Darnell Brodie,4,8,0,4,3,1.33,2.67
Bristol Flyers,"Marcus Delpeche, Joseph Anderson, Zachary Anderson, Cameron Holden, Jonathan Brown","Bristol Flyers|21,22,4,7,9",7,Cameron Holden,21,Marcus Delpeche,4,8,0,4,4,1.0,2.0
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",99,Skyler White,23,Jaxon Brenchley,3,8,2,1,3,1.0,2.67
Bristol Flyers,"Owen Mccormack, William Yoakum, Darnell Brodie, Cameron Holden, Jonathan Brown","Bristol Flyers|13,3,51,7,9",51,Darnell Brodie,3,William Yoakum,4,8,0,4,3,1.33,2.67
Surrey 89ers,"Isiah Small, Kino Lily Jr, Tayo Ogedengbe, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,12,15,21,7",0,Isiah Small,12,Kino Lily Jr,3,8,2,1,2,1.5,4.0
B. Braun Sheffield Sharks,"Dirk Williams, Rodney Glasgow Jr, Jalen Deloach, Rodney Chatman Iii, Jordan Ratinho","B. Braun Sheffield Sharks|1,11,23,3,9",1,Dirk Williams,23,Jalen Deloach,4,8,0,4,2,2.0,4.0
B. Braun Sheffield Sharks,"Dirk Williams, Rodney Glasgow Jr, Rodney Chatman Iii, William Lee, Jordan Ratinho","B. Braun Sheffield Sharks|1,11,3,4,9",3,Rodney Chatman Iii,4,William Lee,4,8,0,4,2,2.0,4.0
Surrey 89ers,"Isiah Small, Kino Lily Jr, Tayo Ogedengbe, Nedas Cholevinskas, Ronald Polite Iii","Surrey 89ers|0,12,15,17,7",7,Ronald Polite Iii,0,Isiah Small,4,8,0,4,3,1.33,2.67
Surrey 89ers,"Isiah Small, Kino Lily Jr, Nedas Cholevinskas, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,12,17,21,7",7,Ronald Polite Iii,12,Kino Lily Jr,3,8,2,1,3,1.0,2.67
Caledonia Gladiators,"Charles Jet Speelman, Matthew Ragsdale, Ethan Wright, Lloyd Alvin Bryan Jr, Kyle Jimenez","Caledonia Gladiators|22,24,40,56,6",6,Kyle Jimenez,24,Matthew Ragsdale,3,8,2,1,1,3.0,8.0
