Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Mervin James, Rodney Chatman Iii",7,47.0,15,4,13,30.8,2,3,66.7,5,6,83.3,0,2,2,7,3,1,0,4,15,15,30,4.3,34.6,101.5,133.2,-31.6,38.5,48.0,175.0,0.0,6,2,33.3,4,0,0,3,2,66.7,0,0,0,0,0,1,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Rodney Chatman Iii, Rodney Glasgow Jr",6,32.2,5,2,8,25.0,1,4,25.0,0,0,0,1,6,7,7,0,0,1,2,8,17,22,3.7,38.3,115.0,132.6,-17.6,31.2,31.2,350.0,6.2,1,1,100,3,0,0,4,1,25,0,1,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Nick Kern Jr, Rodney Chatman Iii",7,27.4,12,5,6,83.3,2,3,66.7,0,0,0,1,0,1,1,1,2,4,2,9,0,12,1.7,23.5,109.5,116.0,-6.4,100.0,100.0,20.0,36.4,2,2,100,1,1,100,3,2,66.7,2,1,0,1,2,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Prentiss Nixon, Rodney Chatman Iii",6,25.4,2,0,3,0.0,0,1,0.0,2,2,100.0,1,3,4,1,2,0,1,1,4,3,5,0.8,10.9,100.5,101.3,-0.7,0.0,25.8,0,17.0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Nick Kern Jr, Rodney Chatman Iii",7,21.8,7,3,8,37.5,1,5,20.0,0,0,0,0,0,0,1,0,1,1,1,9,2,9,1.3,20.8,115.8,105.1,10.6,43.8,43.8,33.3,10.0,0,0,0,3,2,66.7,5,1,20,1,0,0,0,0,0,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Nick Kern Jr, Rodney Glasgow Jr",8,21.1,17,5,8,62.5,3,5,60.0,4,4,100.0,1,3,4,1,2,0,2,0,10,2,19,2.4,46.5,127.3,125.7,1.6,81.2,87.1,20.0,15.7,3,2,66.7,0,0,0,5,3,60,1,1,0,0,3,5,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Mike Ochereobia, Nick Kern Jr, Rodney Chatman Iii, William Lee",5,18.6,12,5,7,71.4,2,4,50.0,0,0,0,0,2,2,0,2,0,0,0,7,0,12,2.4,32.6,111.3,95.4,15.9,85.7,85.7,0.0,0.0,2,2,100,1,1,100,4,2,50,0,0,0,0,0,7,3
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Prentiss Nixon, Rodney Chatman Iii",4,18.0,16,6,8,75.0,2,4,50.0,2,2,100.0,1,4,5,1,1,0,1,1,9,5,21,5.2,59.6,99.4,90.9,8.5,87.5,90.1,16.7,9.2,2,2,100,2,2,100,4,2,50,1,0,0,0,5,4,2
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Mervin James, Prentiss Nixon",4,17.8,17,7,9,77.8,3,3,100.0,0,0,0,0,3,3,4,0,1,0,0,9,5,22,5.5,58.4,135.5,107.8,27.6,94.4,94.4,57.1,0.0,3,2,66.7,3,2,66.7,3,3,100,0,0,0,0,3,5,2
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Mervin James, Nick Kern Jr, Rodney Chatman Iii",5,17.1,10,4,9,44.4,2,5,40.0,0,0,0,0,4,4,0,0,1,1,1,10,3,13,2.6,35.0,102.3,109.2,-6.9,55.6,55.6,0.0,10.0,3,1,33.3,1,1,100,5,2,40,0,1,0,0,0,5,3
