Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
London Lions,15,Chaundee Brown Jr,,2,25.4,50.7,31,15.5,12,17,70.6,2,4,50.0,5,5,100.0,3,10,13,2,1,0,2,2,76.5,80.7,19.9,146.2,20.9,2.7,7.6,22.2,15.4,6.6,1.1,0.0,9.4,0.29,11.53,5.97,5.56,6,5,83.3,7,5,71.4,4,2,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,21,Aaryndeep Rai,,1,26.1,26.1,7,7.0,3,5,60.0,1,1,100.0,0,1,0.0,3,4,7,1,2,3,2,3,70.0,64.3,12.9,94.1,9.9,1.4,12.1,19.8,15.6,5.2,4.4,12.4,26.9,0.2,11.51,3.07,8.44,4,2,50,0,0,0,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,1,Joel Scott,,9,23.9,214.9,150,16.7,59,100,59.0,12,26,46.2,20,28,71.4,24,27,51,8,9,2,7,18,65.0,66.8,26.3,125.7,23.0,4.0,13.7,14.2,14.0,7.4,2.3,1.0,5.9,0.28,11.13,6.02,5.11,60,38,63.3,14,9,64.3,26,12,46.2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester Riders,13,Donald Carey Jr,,13,32.7,424.5,217,16.7,67,145,46.2,28,68,41.2,55,62,88.7,6,46,52,94,20,0,49,23,55.9,63.0,23.6,98.1,21.5,6.7,1.5,11.6,6.6,37.1,2.4,0.0,22.1,0.43,9.08,4.92,4.15,47,26,55.3,30,13,43.3,68,28,41.2,28,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,22,Joseph Anderson,,21,30.6,642.2,276,13.1,103,247,41.7,45,142,31.7,25,34,73.5,10,43,53,103,40,1,32,25,50.8,52.7,20.9,93.9,17.3,8.9,1.6,7.1,4.3,29.6,3.3,0.2,10.9,0.14,9.07,3.95,5.12,56,38,67.9,49,20,40.8,142,45,31.7,22,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,33,Shavar Reynolds Jr,,11,22.5,247.5,116,10.5,38,81,46.9,11,20,55.0,29,31,93.5,8,13,21,54,6,1,17,25,53.7,61.3,21.5,103.9,14.6,2.5,3.8,5.9,4.9,37.0,1.3,0.5,15.2,0.38,9.01,3.5,5.51,25,15,60,36,12,33.3,20,11,55,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,13,Patrick Robinson,,20,24.6,492.1,378,18.9,131,223,58.7,16,42,38.1,100,139,71.9,25,51,76,77,18,2,43,33,62.3,66.5,27.7,115.5,22.8,2.5,4.9,10.9,7.8,27.5,1.8,0.4,13.1,0.62,8.99,6.59,2.4,130,92,70.8,51,23,45.1,42,16,38.1,16,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,1,Dirk Williams,,19,31.8,603.9,286,15.1,105,225,46.7,47,116,40.5,29,37,78.4,9,69,78,57,19,18,23,35,57.1,59.3,20.0,108.2,19.5,7.9,1.6,11.3,6.7,15.9,1.6,3.2,8.7,0.16,8.77,5.14,3.62,60,38,63.3,49,20,40.8,116,47,40.5,10,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia Gladiators,10,Ria'n Holland,,1,32.1,32.1,15,15.0,3,6,50.0,3,5,60.0,6,7,85.7,0,5,5,1,2,0,1,2,75.0,82.6,14.4,148.8,18.9,6.3,0.0,14.8,8.5,4.3,3.1,0.0,9.9,1.17,7.91,4.38,3.52,0,0,0,1,0,0,5,3,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,12,Kino Lily Jr,,19,33.2,631.2,330,17.4,123,270,45.6,65,146,44.5,19,24,79.2,11,38,49,79,19,0,38,25,57.6,58.8,22.2,103.6,22.1,9.8,1.8,6.0,4.0,20.9,1.6,0.0,11.9,0.09,7.62,5.9,1.72,33,13,39.4,91,45,49.5,146,65,44.5,18,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,6,Morayo Soluade,,7,15.2,106.2,36,5.1,13,26,50.0,10,21,47.6,0,0,0,4,8,12,11,8,0,4,8,69.2,69.2,13.8,120.0,7.2,4.2,4.8,8.7,6.9,15.5,4.1,0.0,13.3,0.0,7.34,2.23,5.11,4,2,50,1,1,100,21,10,47.6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester Riders,21,Raequan Battle,,15,30.4,456.3,326,21.7,108,227,47.6,57,129,44.2,53,58,91.4,6,64,70,20,16,5,30,42,60.1,64.5,28.1,115.4,27.9,11.1,1.4,14.6,8.1,8.8,1.8,1.1,10.6,0.26,7.18,5.04,2.15,59,36,61,39,15,38.5,129,57,44.2,10,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,10,Tyrin Lawrence,,6,28.4,170.2,105,17.5,37,64,57.8,7,22,31.8,24,28,85.7,3,21,24,21,7,0,18,11,63.3,68.8,25.2,111.3,22.1,4.6,2.2,11.5,7.5,20.0,2.1,0.0,19.1,0.44,6.92,4.18,2.75,23,18,78.3,18,11,61.1,22,7,31.8,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,23,Jaxon Brenchley,,21,26.8,562.2,207,9.9,75,161,46.6,29,80,36.2,28,39,71.8,27,59,86,62,24,5,16,29,55.6,58.1,14.4,106.6,11.9,4.6,4.6,11.0,7.7,15.8,2.1,0.8,8.2,0.24,6.82,4.71,2.11,61,39,63.9,20,7,35,80,29,36.2,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,7,Ronald Polite Iii,,19,29.5,559.8,282,14.8,101,213,47.4,15,63,23.8,65,84,77.4,20,58,78,122,18,6,50,51,50.9,56.4,23.5,94.0,18.9,4.2,3.7,10.3,7.1,35.6,1.7,1.0,16.7,0.39,6.8,3.79,3.01,80,59,73.8,70,27,38.6,63,15,23.8,19,19,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,,19,24.6,467.7,263,13.8,79,190,41.6,34,83,41.0,71,90,78.9,10,55,65,88,22,2,44,47,50.5,57.3,26.7,96.1,18.0,5.7,2.3,11.6,7.2,31.5,2.4,0.5,16.1,0.47,6.74,3.39,3.35,65,33,50.8,42,12,28.6,83,34,41,30,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,99,Skyler White,,21,24.8,520.6,280,13.3,94,212,44.3,57,141,40.4,35,50,70.0,26,79,105,38,19,13,22,63,57.8,59.8,20.5,109.4,16.1,8.1,4.8,16.0,10.1,11.2,1.8,2.3,8.6,0.24,6.61,4.77,1.84,30,19,63.3,40,17,42.5,141,57,40.4,7,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,2,Chasson Jermar Randle,,13,19.2,249.6,117,9.0,40,82,48.8,21,52,40.4,16,17,94.1,4,24,28,23,5,1,14,27,61.6,65.4,20.0,113.1,12.5,5.6,1.8,10.4,6.3,16.8,1.1,0.5,13.5,0.21,6.33,2.0,4.33,23,17,73.9,7,2,28.6,52,21,40.4,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,7,Cameron Holden,,20,29.4,587.3,189,9.4,64,160,40.0,12,40,30.0,49,92,53.3,52,60,112,94,36,6,40,55,43.8,47.1,18.7,78.6,12.5,2.6,9.0,11.0,9.9,27.2,3.3,1.1,16.6,0.57,6.31,1.49,4.82,102,45,44.1,18,7,38.9,40,12,30,27,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,3,William Yoakum,,21,26.4,554.3,269,12.8,101,197,51.3,24,65,36.9,43,59,72.9,24,52,76,23,27,9,21,43,57.4,60.3,20.1,110.3,16.9,4.1,4.4,10.0,7.1,8.0,2.6,1.8,8.6,0.3,6.1,2.2,3.9,100,67,67,32,10,31.2,65,24,36.9,4,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,3,Ray'sean Taylor,,21,28.2,592.2,330,15.7,110,243,45.3,37,105,35.2,73,86,84.9,14,78,92,91,29,2,43,52,52.9,58.8,24.7,101.9,19.4,6.2,2.4,14.4,8.1,27.8,2.5,0.3,13.3,0.35,6.09,2.96,3.13,83,52,62.7,55,21,38.2,105,37,35.2,25,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,0,Patrick Smith Jr,,17,25.2,428.3,204,12.0,73,164,44.5,35,83,42.2,23,28,82.1,15,44,59,64,15,4,28,26,55.2,57.8,21.4,99.8,15.3,6.2,3.5,10.5,7.0,23.5,1.8,0.9,13.7,0.17,6.03,4.67,1.36,34,19,55.9,47,19,40.4,83,35,42.2,14,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,16,Karolis Lukosiunas,,9,17.4,156.3,64,7.1,22,46,47.8,20,39,51.3,0,0,0,1,11,12,10,8,0,10,20,69.6,69.6,17.3,114.3,9.8,6.0,0.8,7.5,4.4,10.6,2.8,0.0,17.9,0.0,5.98,1.45,4.53,1,1,100,6,1,16.7,39,20,51.3,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,23,Kameron Mcgusty,,11,22.7,250.0,99,9.0,38,94,40.4,7,24,29.2,16,28,57.1,5,25,30,36,16,2,17,19,44.1,46.6,23.6,80.3,12.5,3.0,2.4,11.4,7.0,24.5,3.5,0.9,13.8,0.3,5.96,0.65,5.32,37,21,56.8,33,10,30.3,24,7,29.2,10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,4,William Lee,,19,19.7,373.8,161,8.5,61,113,54.0,23,51,45.1,16,25,64.0,25,91,116,17,14,19,11,36,64.2,64.9,16.5,119.3,11.0,3.5,7.3,24.1,16.1,7.5,1.9,5.5,8.1,0.22,5.94,2.81,3.12,38,32,84.2,24,6,25,51,23,45.1,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,11,Jordan Johnson,,17,19.9,338.9,191,11.2,63,150,42.0,27,66,40.9,38,51,74.5,6,30,36,91,11,1,28,24,51.0,55.4,26.5,95.3,14.3,4.9,1.8,9.0,5.4,43.2,1.7,0.3,14.0,0.34,5.87,4.46,1.41,53,32,60.4,31,4,12.9,66,27,40.9,15,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,22,Tarik Phillip,,19,18.6,353.2,136,7.2,41,111,36.9,10,40,25.0,44,56,78.6,16,48,64,64,22,2,38,32,41.4,50.1,23.5,78.3,9.9,2.9,5.4,15.3,10.4,29.0,3.4,0.7,21.9,0.5,5.72,0.54,5.18,50,24,48,21,7,33.3,40,10,25,20,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,13,Owen Mccormack,,18,23.9,430.4,190,10.6,63,121,52.1,37,78,47.4,27,35,77.1,19,78,97,32,10,6,28,46,67.4,69.6,17.6,115.6,13.9,5.7,4.5,19.3,11.8,13.7,1.2,1.5,17.0,0.29,5.7,1.96,3.74,38,24,63.2,5,2,40,78,37,47.4,16,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,21,Aaryn Rai,,19,22.1,420.2,116,6.1,48,95,50.5,11,35,31.4,9,22,40.9,32,74,106,24,14,4,17,34,56.3,55.4,13.9,95.3,8.4,2.5,9.1,19.4,14.5,9.2,1.8,1.1,14.0,0.23,5.61,1.01,4.6,49,33,67.3,11,4,36.4,35,11,31.4,4,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,31,Deane Williams,,20,21.4,428.7,165,8.2,57,132,43.2,17,59,28.8,34,47,72.3,29,66,95,33,11,15,28,49,49.6,54.0,20.2,91.3,11.4,4.1,8.0,17.1,12.7,12.7,1.4,4.0,15.5,0.36,5.53,0.93,4.6,50,31,62,23,9,39.1,59,17,28.8,10,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia Gladiators,10,Rian Holland,,13,29.9,389.2,148,11.4,52,121,43.0,11,38,28.9,33,42,78.6,14,39,53,58,37,1,26,32,47.5,53.1,19.4,89.4,15.1,3.9,3.8,10.8,7.3,24.9,5.1,0.2,15.7,0.35,5.52,1.53,3.99,39,23,59,44,18,40.9,38,11,28.9,11,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,0,Isiah Small,,19,30.1,571.2,289,15.2,108,230,47.0,13,47,27.7,60,85,70.6,52,124,176,57,22,10,37,61,49.8,54.0,23.4,94.9,19.4,3.2,9.5,21.6,15.7,16.5,2.0,1.7,12.2,0.37,5.43,2.98,2.45,121,71,58.7,62,24,38.7,47,13,27.7,13,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,5,Mohammad Al-Amin Abdul Adamu,,3,13.9,41.8,17,5.7,6,7,85.7,3,4,75.0,2,2,100.0,0,4,4,5,0,0,5,4,107.1,107.9,14.9,132.0,7.9,1.9,0.0,11.4,6.1,20.3,0.0,0.0,38.8,0.29,5.31,1.18,4.13,3,3,100,0,0,0,4,3,75,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,4,Zachary Anderson,,21,30.2,634.8,208,9.9,75,188,39.9,35,105,33.3,23,34,67.6,13,92,105,45,17,15,21,24,49.2,51.2,16.1,92.9,13.1,6.6,2.1,15.5,8.6,12.1,1.4,2.6,9.4,0.18,5.26,1.58,3.68,48,29,60.4,34,10,29.4,105,35,33.3,13,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,15,Cole Long,,22,30.6,673.0,271,12.3,96,206,46.6,40,103,38.8,39,52,75.0,36,100,136,42,20,28,27,58,56.3,59.2,17.2,105.9,15.2,5.8,5.4,15.9,10.5,10.5,1.5,3.7,10.6,0.25,5.23,2.48,2.75,53,36,67.9,50,20,40,103,40,38.8,12,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,13,Jonathan Williams,,14,21.1,295.2,132,9.4,57,97,58.8,0,2,0.0,18,31,58.1,23,39,62,19,12,8,29,36,58.8,59.7,22.8,94.5,13.2,0.2,9.2,14.9,12.2,12.1,2.2,3.1,20.8,0.32,5.17,0.38,4.8,78,51,65.4,17,6,35.3,2,0,0,8,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,5,Amin Adamu,,15,20.8,311.6,138,9.2,56,113,49.6,15,41,36.6,11,15,73.3,11,29,40,32,10,0,24,34,56.2,57.7,22.0,96.1,12.6,3.8,4.1,10.3,7.3,18.5,1.8,0.0,16.7,0.13,5.17,0.92,4.25,35,22,62.9,37,19,51.4,41,15,36.6,15,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,10,Ethan Price,,16,15.4,246.9,114,7.1,36,68,52.9,6,23,26.1,36,41,87.8,13,44,57,17,8,4,15,44,57.4,66.2,19.7,112.8,9.9,2.0,6.4,19.8,13.4,11.7,1.8,1.9,14.8,0.6,5.07,0.41,4.66,40,27,67.5,5,3,60,23,6,26.1,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,5,Frankie Policelli,,20,22.8,456.5,237,11.8,75,187,40.1,50,135,37.0,37,45,82.2,22,92,114,15,22,8,25,47,53.5,57.3,21.2,102.2,14.3,8.1,4.6,21.4,12.6,5.0,2.3,1.6,10.8,0.24,4.83,3.43,1.4,25,14,56,27,11,40.7,135,50,37,9,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester Riders,2,Marc Loving,,9,30.2,271.7,103,11.4,37,89,41.6,13,36,36.1,16,18,88.9,9,34,43,18,10,6,7,13,48.9,53.1,17.3,99.1,14.9,5.2,3.6,14.0,8.7,10.8,1.9,2.2,6.7,0.2,4.51,2.39,2.12,31,16,51.6,22,8,36.4,36,13,36.1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,3,Laquincy Rideau,,21,25.8,541.4,203,9.7,69,182,37.9,21,68,30.9,44,61,72.1,31,60,91,105,40,3,60,85,43.7,48.6,20.7,75.5,11.7,3.9,5.5,11.7,8.4,27.5,3.6,0.5,22.3,0.34,4.48,1.68,2.8,80,38,47.5,33,9,27.3,68,21,30.9,28,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,3,Gabriel Osbuhein,,11,20.5,226.0,73,6.6,29,62,46.8,0,2,0.0,15,28,53.6,26,30,56,45,16,6,17,37,46.8,49.1,18.0,79.9,8.4,0.2,11.3,13.7,12.5,29.3,3.6,2.5,18.6,0.45,4.38,2.06,2.31,47,27,57.4,12,2,16.7,2,0,0,10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,3,Ciaran Sandy,,17,12.2,207.0,63,3.7,22,51,43.1,7,24,29.2,12,20,60.0,5,27,32,12,12,7,5,24,50.0,52.7,15.0,97.2,5.1,2.0,2.9,14.6,9.0,9.1,3.2,3.9,7.7,0.39,4.29,-0.11,4.4,15,8,53.3,12,7,58.3,24,7,29.2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,9,Kaiyem Cleary,,17,24.0,408.0,224,13.2,78,175,44.6,26,81,32.1,42,46,91.3,18,54,72,24,8,11,17,35,52.0,57.4,23.3,105.5,16.8,6.1,4.5,13.5,8.9,9.5,1.0,2.5,8.0,0.26,4.19,3.66,0.53,51,34,66.7,43,18,41.9,81,26,32.1,3,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,11,Tobias Cameron,,21,21.2,444.5,192,9.1,68,146,46.6,26,76,34.2,30,39,76.9,31,50,81,46,13,4,31,43,55.5,58.8,18.2,98.9,11.1,4.4,6.7,11.8,9.1,15.2,1.4,0.8,16.0,0.27,4.02,3.05,0.97,43,27,62.8,27,15,55.6,76,26,34.2,14,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,2,Prentiss Nixon,,16,21.8,349.4,182,11.4,60,163,36.8,24,77,31.2,38,43,88.4,5,42,47,57,12,1,24,26,44.2,50.0,26.8,88.4,14.7,6.2,1.5,11.9,6.9,27.9,1.8,0.3,11.7,0.26,3.99,2.01,1.98,38,18,47.4,48,18,37.5,77,24,31.2,16,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,34,Matthew Nicholson,,17,20.8,353.2,113,6.6,43,62,69.4,0,0,0,27,60,45.0,37,75,112,10,13,22,12,44,69.4,63.9,12.7,112.5,8.5,0.0,10.6,21.6,16.1,4.1,1.9,5.8,12.0,0.97,3.89,2.17,1.72,50,39,78,12,4,33.3,0,0,0,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
