Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Newcastle Eagles,Maceo Jack,14,Maceo Jack,22,30.6,674.3,323.0,14.7,111.0,256.0,43.4,23.0,82.0,28,78.0,94.0,83,13.0,77.0,90.0,43.0,18.0,10.0,41.0,57.0,312.3,22.9,18.0,2.4,5.0,106,429.0,19.5,23.9,45,3.8,32,11,61.1,42.8,12,-2.73,-5.08,2.36,3.2,3.3,91.0,56.0,61.5,83.0,32.0,38.6,82.0,23.0,28,11.0,23.0,0.0,7.0,31.0,103.0,58.0
Newcastle Eagles,Cole Long,15,Cole Long,22,30.6,673.0,271.0,12.3,96.0,206.0,46.6,40.0,103.0,38.8,39.0,52.0,75,36.0,100.0,136.0,42.0,20.0,28.0,27.0,58.0,211.1,15.5,15.1,2.3,7.6,91,362.0,16.5,20.2,26,2.9,15,7,71.9,18.1,9,1.57,-2.37,3.94,4.4,3.3,53.0,36.0,67.9,50.0,20.0,40,103.0,40.0,38.8,12.0,11.0,0.0,4.0,47.0,70.0,45.0
Newcastle Eagles,Mitch Clarke,41,Mitch Clarke,22,22.8,502.4,166.0,7.5,54.0,142.0,38,19.0,71.0,26.8,39.0,48.0,81.2,9.0,58.0,67.0,72.0,23.0,1.0,39.0,68.0,185.4,18.3,9.2,4.0,3.7,154,320.0,14.5,17.8,23,2.3,19,7,52.1,29.1,10,-3.45,-6.77,3.32,2.2,2.9,47.0,24.0,51.1,24.0,11.0,45.8,71.0,19.0,26.8,23.0,13.0,0.0,3.0,14.0,44.0,34.0
Newcastle Eagles,Sauveur Kande,9,Sauveur Kande,22,6.1,134.5,40.0,1.8,13.0,26.0,50,12.0,22.0,54.5,2.0,4.0,50,1.0,11.0,12.0,2.0,3.0,3.0,0.0,16.0,25.7,9.5,2.2,0.1,0.7,5,45.0,2.0,2.5,3,3.0,2,0,75.0,2.0,1,0.18,-3.3,3.48,3.3,4.0,3.0,1.0,33.3,1.0,0.0,0,22.0,12.0,54.5,0.0,0.0,0.0,0.0,0.0,15.0,11.0
Newcastle Eagles,Ray'sean Taylor,3,Ray'sean Taylor,21,28.2,592.2,330.0,15.7,110.0,243.0,45.3,37.0,105.0,35.2,73.0,86.0,84.9,14.0,78.0,92.0,91.0,29.0,2.0,43.0,52.0,297.4,24.9,18.4,5.1,5.1,203,533.0,25.4,29.7,18,2.0,14,10,48.9,20.4,9,2.93,-0.97,3.89,2.2,1.3,83.0,52.0,62.7,55.0,21.0,38.2,105.0,37.0,35.2,25.0,10.0,0.0,8.0,26.0,119.0,65.0
Cheshire Phoenix,Skyler White,99,Skyler White,21,24.8,520.6,280.0,13.3,94.0,212.0,44.3,57.0,141.0,40.4,35.0,50.0,70,26.0,79.0,105.0,38.0,19.0,13.0,22.0,63.0,220.8,20.5,16.1,2.2,6.0,87,367.0,17.5,21.1,35,3.5,20,8,74.4,24.5,10,3.23,-0.12,3.35,3.8,2.9,30.0,19.0,63.3,40.0,17.0,42.5,141.0,57.0,40.4,7.0,12.0,0.0,3.0,41.0,58.0,39.0
Bristol Flyers,Joseph Anderson,22,Joseph Anderson,21,30.6,642.2,276.0,13.1,103.0,247.0,41.7,45.0,142.0,31.7,25.0,34.0,73.5,10.0,43.0,53.0,103.0,40.0,1.0,32.0,25.0,272.6,22.6,17.3,6.5,3.3,235,511.0,24.3,32.0,34,4.9,24,12,58.1,32.3,7,3.22,-1.6,4.82,1.2,2.0,56.0,38.0,67.9,49.0,20.0,40.8,142.0,45.0,31.7,22.0,8.0,0.0,2.0,26.0,82.0,62.0
Bristol Flyers,William Yoakum,3,William Yoakum,21,26.4,554.3,269.0,12.8,101.0,197.0,51.3,24.0,65.0,36.9,43.0,59.0,72.9,24.0,52.0,76.0,23.0,27.0,9.0,21.0,43.0,211.2,20.3,16.9,1.4,4.8,45,314.0,15.0,19.7,28,4.0,15,6,79.4,18.6,7,2.49,-2.74,5.23,3.1,2.8,100.0,67.0,67,32.0,10.0,31.2,65.0,24.0,36.9,4.0,12.0,0.0,5.0,45.0,79.0,57.0
Cheshire Phoenix,Michael Diggins,2,Michael Diggins,21,24.9,521.9,245.0,11.7,97.0,209.0,46.4,26.0,83.0,31.3,25.0,35.0,71.4,35.0,64.0,99.0,20.0,11.0,15.0,23.0,43.0,203.9,18.9,14.1,1.2,5.7,50,295.0,14.0,17.0,28,4.0,17,2,78.3,21.9,7,-1.3,-2.94,1.64,4.1,4.0,87.0,60.0,69,39.0,11.0,28.2,83.0,26.0,31.3,8.0,9.0,0.0,6.0,46.0,67.0,38.0
Bristol Flyers,Zachary Anderson,4,Zachary Anderson,21,30.2,634.8,208.0,9.9,75.0,188.0,39.9,35.0,105.0,33.3,23.0,34.0,67.6,13.0,92.0,105.0,45.0,17.0,15.0,21.0,24.0,202.5,17.0,13.0,2.8,6.6,104,312.0,14.9,19.6,9,1.1,10,1,43.1,12.4,8,0.42,-4.36,4.77,3.5,3.7,48.0,29.0,60.4,34.0,10.0,29.4,105.0,35.0,33.3,13.0,6.0,0.0,2.0,23.0,40.0,46.0
